name,country,mbid,youtube_channel
Persefone,AD,071607c3-488d-4d9e-8c0e-c5469ddc4ce3,
Akiba Jonze,AD,a8d6570e-1b52-4091-bb50-f07817e9af6d,
Lluís Cartes,AD,d9d3014c-afe5-494c-9ae6-faa516924b14,
Lluís Claret,AD,4deddce5-9dc9-4aec-a660-024a314c4c91,
Nami,AD,54b19c75-d086-427c-969b-4b670fea0b01,
Marta Roure,AD,4c35ea5d-ecf2-4864-b8f3-b1b644fc58eb,
Patxi Leiva,AD,c91f2d73-93f1-446f-88fb-00f1408f61c7,
P Y R E : N U M E N,AD,66aa9ce5-4d21-40d2-be5b-704a5632d721,
De Veneficas Inferi,AD,f5e2ff5c-d75c-4e51-bc40-502185281418,
Dilaghran,AD,6fa3100f-b642-43e1-b25b-54818a021e6e,
Among the Mist,AD,026bf68a-cd4c-496c-a7ac-571a8b8e1d08,
Susanne Georgi,AD,55d365c3-2a9e-482c-9b39-b4dbcb27ece8,
Otzdarva,AD,4d9bcf92-2d24-4d10-a1cd-72074dbfb67b,
Jenny,AD,8e5032be-5848-4acf-84b0-4aabb6794ab8,
Anonymous,AD,86637bc3-4663-4ba9-bf50-a21e4f6fa150,
B R Y T H O : N U M E N,AD,f0c7a387-dfd0-47e2-ab02-59e10d6a2a69,
AH-Project,AD,e43d39a8-dc53-4c85-82f9-8f67bcf1e889,
Marian van de Wal,AD,048b1a67-709f-4901-a573-2d59adf23ce4,
Ira et Ignis,AD,fced40eb-1b3c-4f57-8690-5d4be5880702,
Sergio Brea,AD,e1db8e99-c80c-4fd9-b8dc-b381e5859cad,
Enric Marfany Bons,AD,892469a4-dbe8-4ca5-9b72-1225bb11acc3,
Double J,AD,ba6c7ed6-57b2-4403-9f4e-1bef58d196ff,
Mordigans,AD,25c504b8-6995-4738-8331-83184706cdb9,
Gerard Claret,AD,c3ec526d-922a-4ab6-91f2-fa0ea0a62095,
Rüdi Gannan,AD,7195f291-b866-4960-ad38-05b089e5c49e,
Hysteriofunk,AD,d4b40322-b4e4-450a-a226-fafa304005d5,
Qüèstia,AD,21ec65d2-0456-4002-8d9d-a682964818b9,
Akollonizer,AD,04f66bf7-9cf6-4687-af5b-c9900c44ab40,
Isak Férriz,AD,4e97ff90-a7ec-490a-9e0f-03fe7d14f06d,
Horroris Causa,AD,29ac6a6a-3149-4053-92ce-07252214c533,
Martin Locker,AD,486cdc4b-773d-42eb-a820-e10ba5960357,
In Eclipse,AD,7e0270ff-4b96-49ec-b030-96f83f757c4e,
