name,country,mbid,youtube_channel
حسين الجسمي,AE,33ff0f96-fe04-49c4-a2fc-cdbb710d0121,
Ahmed Romel,AE,529caa40-f395-4c55-9009-9bf145b12f32,
Emily Linge,AE,c0dd1401-929c-4354-9a4a-27a7e0ba9203,
بلقيس,AE,5838f72f-6d16-43be-a5ed-67a83b60cc30,
أحمد بوخاطر,AE,471f2a8c-45a9-416d-9979-4a514bfe0cc9,
Zone+,AE,4ef73faf-8c77-4950-a284-a49fbb6a3627,
Nervecell,AE,d4d76b0f-2af8-455d-86fb-415759397306,
sobhhï,AE,33501a0c-91e9-4a3c-8544-fe144c050e2f,
شمة حمدان,AE,4f65e6f0-bccd-414b-a0a1-6ad93b1aa08c,
Dead Turns Alive,AE,e11a5284-682d-42cf-871d-a7128a3d7b18,
أحمد الهرمي,AE,dcab0847-808d-475b-95d2-c01509723dcc,
Sanathana,AE,32046cb1-b7c0-4b98-9407-b9c76cc37882,
Nuances,AE,bbbf5bd1-f727-436e-b674-478ab89bb8a6,
Empty Yard Experiment,AE,fef43d7a-296f-4918-9aea-a47c5863f06f,
عيضه المنهالي,AE,fe1fb2d2-d0cd-4118-afe6-3221d4401344,
DJ Sadcat,AE,e475e97c-1053-442a-aea5-125fca0823d5,
Anuryzm,AE,0aa93682-4218-40ac-ad2b-96fd3371e95f,
Benevolent,AE,0628f570-3d40-4528-b571-5bd989fd8fcb,
Perversion,AE,9547a8bd-1f21-4bab-b298-bf261c0d0de5,
Riff Raff,AE,42554bd3-38cd-4c6e-87ec-b6bf54e4253b,
Almas,AE,3012d3f2-7ca8-449a-a731-af41737e7bc5,
ياسر حبيب,AE,2136804c-7b60-4846-ae54-f40c473dc251,
Revelries,AE,be59944a-19dd-4af9-8bb8-08813b142205,
Philippe El Hage,AE,e29be1fc-72f1-4f78-8636-b8934d995f0a,
Winterburn,AE,b4785c72-33b4-4e7e-ba3a-2edb7e481873,
عادل ابراهيم,AE,bdc5037f-eeb6-430d-a357-c26398e558cf,
Ascendant,AE,7dc6d915-e36f-42c8-b144-3533214ace81,
Tsvet Reptilia,AE,fd8174d8-de10-451b-83a5-326f192f3c81,
ماظوط,AE,854a44fe-75df-437e-bb68-1fde01f0f1e3,
Dion Mavath,AE,5153e1d1-0ff9-4b97-88d8-f236486415ef,
Tetrachromacy,AE,0da343f5-b923-4fc8-8acf-46c8036d20fb,
Jack Sleiman,AE,e79115a9-fac2-4466-b4f7-5664733de39b,
Vesislava,AE,59b43d9b-2508-4659-b00f-aed5adf1de09,
rone jaxx,AE,f4ef93cb-75b3-406f-ab27-ec079243ac75,
Amen Graves,AE,12e34aa6-5613-4298-ba11-96cf010ad2e7,
Blue Bedouin,AE,17611717-f810-4161-9039-c61b660ceb3e,
Sandwash,AE,8d7fd574-ea71-4762-ba44-acdfa63822bf,
Akitrash,AE,7b383d2c-df72-46c1-bc83-8e3f5f048192,
MOii,AE,52d6435f-5fcf-4c37-a67d-ca62a49e1c60,
Sanjana Nuwan Bandara,AE,e413b2d1-b0b0-407d-ac59-63e6248ab026,
Mausoleum,AE,ebb2b4ed-bb83-45f3-a61b-0d53abd6e610,
Barry Kirsch,AE,93f7d750-4f30-4a50-8061-aedc6adb4196,
Fraktal Sequence,AE,a3b649c2-46e7-490e-b44e-0bbdd89bf4b1,
