name,country,mbid,youtube_channel
Ahmad Zahir,AF,5a87198c-97d1-437a-ad90-a30f143cfc71,
Hakim Ludin,AF,5e0c1795-2b47-401a-af5e-6fa2da3adf72,
Almach,AF,d4c39476-06b9-4c66-a862-c14e77b61447,
anna RF,AF,d2576008-df88-409b-bf37-6910aa53550f,
Ustad Mahwash,AF,9c3cacda-ab03-4722-8f11-450bc6a7ebc1,
The Devil'z Rejects,AF,76809037-64cd-443e-a004-513d61276c97,
Aziz Herawi,AF,e1649a97-6774-49b7-9d6b-78087d41982f,
UNDERTVKER,AF,8e3bf482-e1e8-4f44-8003-1d93b23d7d91,
Kabul Dreams,AF,e4773f15-08d8-425f-ad03-08121fa1ba97,
Siar Hashimi,AF,034015ee-1c12-4f80-ac4a-669f50790f00,
Valy,AF,d653ab10-7d11-47e7-99fb-7c5dc4dcf3ac,
Frantzeska,AF,878d8b23-d885-49f8-ac51-a75b2e125b8c,
Ahmad Sham Sufi Qawwali Group,AF,2d4e41b7-9b69-45ef-beb6-7e428ed9044f,
عبدالوهاب مددی,AF,7a9157cd-71c5-4724-9fb4-ae0a7a668aea,
Afghan Ensemble,AF,881a2664-39dc-4801-95f9-d9ecaa9f725c,
Mohammad Omar,AF,d2c7b5b0-312e-4784-8c50-974f3bc8eed6,
Ustad Amir Mohammad,AF,f3b3989b-b235-46e0-b53c-542dbfaa053e,
District Unknown,AF,c7b3885f-3792-4b83-85e5-59006efa8d3a,
Haidar Salim,AF,c33b006b-faac-4603-8efc-70027db9d47f,
Tawab Arash,AF,638e29c5-8df8-45c8-8528-6c792443126d,
Afreet,AF,4382f77f-8d7d-47d3-a1f4-fbe8759f486a,
Shakeb Hamdard,AF,67fafd8f-afc3-4d1c-ab96-a360db1215aa,
Abdul Jabar,AF,94b6a4c1-7af4-4142-902c-c0b8e2b3f09e,
Hartmut Geerken’s Rock and Free Jazz Group Kabul,AF,3cb64e4b-f415-4912-b1b0-6f116d295cab,
Mohammad Naïm Mazari,AF,ba887e7b-3ab5-47b9-8047-80ca0c775886,
Malang Nejrabi,AF,58c0e41d-fe4a-4297-a240-659d37903c8f,
Al Qaynah,AF,10ed33ba-aa2c-4901-bb74-c544f36c1171,
Abdul Majeeb,AF,27673958-de87-4c4d-b586-c76b6479d787,
Ralph White,AF,47b42c39-9027-4ce2-828a-52fd3f1efc15,
Aryana Sayeed,AF,b6074f3c-ff7f-47af-ad46-e65ca1ce4dc9,
Moussa Kassimi,AF,9ca5c1e7-6bdb-4617-a44a-00f7e40dd4d8,
Biltoon & Hamidullah,AF,f01d5c43-e4b4-4d61-8865-d8648a91f2d8,
Ustad Doray Logari,AF,636b0ee5-f413-4aff-89c8-da369d72d6a0,
Ostad Jilani,AF,34bbcd01-11b2-467c-9086-c592231970b1,
Coileight,AF,349d4bdc-fcf9-4145-9983-a9c0c37e1100,
Adam,AF,f2ad0e54-58da-47ef-8f5b-346e75a6fc27,
Rafi Naabzada,AF,5487f3da-00db-4320-a702-435e64b0d2e0,
Hameed Sakhizada,AF,7e362e97-856c-46d2-b90e-b81b39646473,
Mariam Wafa,AF,01a17d7d-11a2-42d4-a40f-0059f7465a73,
Tamim Hejran,AF,5a247e76-6293-4279-a256-64812609d1c8,
Ghulam Haidar,AF,8b533860-69e1-49e2-9c23-0939b0d4b08f,
Ghafur Khan,AF,7a9a686d-38e1-4af3-a209-4da2e40fc239,
Aq Pishak,AF,04747895-f68e-4254-854f-c84de6b53a88,
Mohamad Qasem,AF,eb75fb04-6a94-492c-a2f3-b98be165b304,
Akhmad Bakhhshi,AF,5f314c00-eef6-4e12-a441-5ad03b9ceea7,
Baba Qeran,AF,77be698c-f924-4c62-95bf-c9bc19e6e9ae,
Setara Hussainzada,AF,9f1d81d3-a153-4680-90c5-71389c887869,
Mostafa Miri,AF,91bfce23-94ac-496d-bb25-1312aa47c313,
Pashai,AF,ea40316c-3ce8-4a34-9f24-5c85568ed189,
Paykān,AF,a6fa3e91-42ea-44ed-a361-441588df2dd7,
Aziz Ahmad Amiri,AF,ccd6dd27-1f6e-4cab-a7c8-1794796d5ce6,
Asef Habibi,AF,a22dd064-de5f-4317-a9a3-f997b73b649c,
Seeta Qasemi,AF,cdfa6619-1e7a-481c-8792-f02d6d13a65d,
Jawad Tabesh,AF,3ae6331e-35c8-4e5c-9f07-99e5c5b46c20,
Thella Mohammad & Faqir Mohammad,AF,5ef363f7-2078-41f0-b748-36a188e9cfcc,
Rahmut Khan,AF,8b8022b9-a5e3-47a1-a70a-6e437a63685b,
