name,country,mbid,youtube_channel
Au/Ra,AG,87df4c21-1235-491e-b63e-e2f4d9ffd59a,
Burning Flames,AG,6fabb83a-3e54-49e8-97e4-4f9bc6148e9b,
King Short Shirt,AG,e83ea8f4-3d95-425b-b164-62f99faecafc,
J. Nation,AG,29cd39bf-b120-4368-b170-cedcc1a40a26,
King Danskie,AG,4c637dd7-20b1-4340-9ba8-8f435268e02d,
Island Academy Chamber Choir,AG,9d60f08c-5e8e-4073-999c-7a5b3c0f7d69,
Dead Vegetable,AG,29b5fccf-44e7-48d7-b6d2-ff40e12cb558,
Wadadli Riders,AG,41c70ddb-df72-427b-829e-680dc35173e0,
Roots Steel Band,AG,2f9c4042-3ce0-40b3-82e2-42dc1ac22ef5,
Onyan,AG,ddb62fef-33d3-4be2-b5a4-b5f1878e85d9,
Ethno Worlds,AG,fa1fcaf5-6de6-4832-902f-6e2bc943b214,
Joshu,AG,90652d94-648f-4e2b-baba-fca2ee827f31,
El-A-Kru,AG,c6d83291-53a6-4cc5-b8be-c71ffb077f40,
The Brute Force Steel Band,AG,dc97f0e6-ac31-411e-a1f9-cead6d215ed0,
Claudette Peters,AG,a76db32a-5318-474b-91fe-79298d34c32b,
Minister Sousa,AG,4b80adc4-e489-4a11-a432-183e00df8149,
Johnmark Wiggan,AG,721a494e-8ad9-4965-87d4-a48c84503675,
Logiq Pryce,AG,6a919f7f-21ec-4345-b76f-3a8f48d5ac80,
lo. batt.,AG,205138fe-0d45-47c0-bfbe-de070fa7a4d5,
Theo,AG,5ba48d1d-31cf-49ad-a470-80b8f8e3a662,
Hell's Gate Steel Band,AG,91df434a-521a-4df0-bdb3-24ead21c066e,
Cider Massive,AG,f24425a6-d493-4b35-9d90-b9238c29111a,
