name,country,mbid,youtube_channel
Luba,AI,9e19b9c4-489d-4430-9069-52edafa11053,
Bankie Banx,AI,5790bf70-b5f2-43e2-8038-f71e7140a2c1,
Daddy Roots,AI,4e44814a-f030-4b4c-80f4-429249f62a30,
Jaine Rogers,AI,57ef6f0c-c346-4506-a168-93656e26c6e8,
Nyne,AI,ee7d4bbe-b883-4c24-be06-b99c5185d03d,
Cosmic Switch,AI,ead697af-081c-43ee-af17-8773aebca736,
Deanna,AI,cb74d124-583e-45a8-9a82-344d95d49167,
Omari Banks,AI,2b636a30-ddce-463f-9c96-ad5340ac8072,
Furo,AI,92294a1c-3293-4d37-86ee-dd69e7559fea,
Raskim,AI,66275eed-3083-401c-b2f7-e129943446d1,
Shara Vallee,AI,966cf4ab-aa9a-4dfb-95d6-7cac7c240982,
Roxxy,AI,61d5afd2-c18c-42d0-a4d2-b130f9014c26,
True Intentions,AI,0c261e79-42f3-4fb6-94fe-a4666f7c8dcb,
Keria Hughes,AI,cfac74d5-412d-4a15-9999-b101922f4a33,
Deanna Mussington,AI,825f3ed9-6272-4d2c-bc24-95b890b0d4e1,
Gershwin Lake and Parables,AI,cf34e50e-7d62-493d-81c2-17a525b083f9,
Catriona Lake,AI,88eaaacc-8c45-4ca7-ac80-f317b0b88631,
Exodus HD,AI,d38e1ff7-6bc7-4738-babf-de1d66448ed0,
British Dependency,AI,c823d86c-0edf-413c-bab7-44c94eda790b,
Pantha Vibes International,AI,1454a982-6ec5-4b08-be77-49e79e3524ef,
Natalie,AI,020a8973-726b-4178-8f21-8fc96045e8d0,
Florence Brooks,AI,3e1b4b21-2959-43f5-ae2f-fca92db6915b,
Darius James,AI,07ffbda3-2ce8-4557-a88d-cf36d5b7d9e7,
Mercat Bordell,AI,9de37dfd-6e1e-47a9-9133-9b6119282a76,
Imorly Richardson,AI,05a81a8a-19b9-4f84-a3a3-9f53d4f02836,
