name,country,mbid,youtube_channel
Redi Hasa,AL,9322a367-4a3e-406e-b28a-8f68d70ee371,
Tedi Papavrami,AL,68fbb1a9-d898-46d5-be5e-145276309a63,
Elvana Gjata,AL,2b4d210e-84de-4e6b-80f9-65e2dea2f4ab,
Tingulli 3nt,AL,2c4146e3-0ce3-40fb-ad6a-4d5b03ad8e03,
Cryptorsatan,AL,7d4c2020-733c-4945-9a78-01ff1fad95d8,
Alban Skënderaj,AL,8f20651f-8f65-4c39-a058-16bbf97eba70,
Mad Alien,AL,f03ced7a-cabe-49b4-adce-a3da21ced7d0,
Vaçe Zela,AL,67343621-8ef8-4bfe-89e3-d5e4b51a587e,
Arif Vladi,AL,cc959ca4-539e-40ff-8111-2b9b9c0795f1,
Fanfara Tirana,AL,230449b7-b653-404d-b7b4-30ab4b4686e4,
Eda Zari,AL,cbf0673e-66ba-4872-baf1-2f176d4affcd,
Crossbones,AL,f81c0fde-5860-429e-8a97-26e47ad59532,
Inva Mula,AL,c86c747c-87be-411e-9fd8-f605f3c332b1,
Tuna,AL,b4800242-2776-47a3-8509-5e8362a1736b,
Shkodra Elektronike,AL,550e40ef-8359-44da-a725-130570d13e84,
Ilir Shaqiri,AL,08ecf9c0-68af-4f4e-826c-4c1b5e9bd046,
Nikollë Nikprelaj,AL,1a92b85d-d12c-469d-adc7-edb51becab08,
Thomas Simaku,AL,15703667-2f47-471a-8b24-bc30db2a14cc,
Daniel Abazi,AL,c0d37be2-3ee4-4a00-a280-5af251ea8691,
Saz'iso,AL,b3fedc32-228c-4df1-ab50-ba3d9e147878,
Klaidi Sahatçi,AL,0983b99c-6dc5-4d45-ba7f-56c2ee32b7b1,
Centaur,AL,fb1b54d3-ed3c-4cf5-8342-d2af1d0f60cc,
Arilena Ara,AL,8d394d06-bf11-4628-967c-bd93838cebb6,
Kuarteti Pentagram,AL,3f43b93d-37ea-46d9-8deb-327dc3de2e6b,
Elgit Doda,AL,97a8febc-867c-4c09-b16d-b4ba70ef3679,
