name,country,mbid,youtube_channel
Georges Ivanovitch Gurdjieff,AM,494c401e-328c-4e6b-8926-a7bad28b4eb8,
Ջիվան Գասպարյան,AM,9e06f50c-aaed-48d2-8fa6-72935359ec4a,
Armen Hambarsumian,AM,8814485a-b589-436b-bd2d-fff9795ead49,
Tigran Hamasyan,AM,c57e3280-5182-42a5-812b-02659a079c44,
Sadael,AM,4f1f0cca-ccdc-4409-88ee-271eefeecad9,
Կոմիտաս,AM,01fbf8ab-34e2-4a0a-8dcc-8d9a8026d782,
Mikael Ayrapetyan,AM,a6416d92-422b-4135-90dd-38f6c4746845,
Andy Madadian,AM,70eccad0-2d80-4205-b143-d22cc6cfe1a9,
Հայաստանի պետական ֆիլհարմոնիկ նվագախումբ,AM,49ee9267-e14c-4b3e-99ad-e70f19c1c75d,
Armenian Navy Band,AM,5ead7b56-3e5f-49a1-aa27-d15bf05e2bec,
Sirusho,AM,fe525302-478a-4629-b439-06299ffd6d73,
VEiiLA,AM,aba253d7-518f-440a-8ca9-0e2a7e334b92,
Shoghaken Ensemble,AM,79829d79-8165-4429-9c33-fa41e9954911,
Haig Yazdjian,AM,ac1e60e1-ff65-4139-902c-adb4065e489c,
Dogma,AM,c0f1574b-04b5-471a-b628-9fdd217b0149,
Samvel Yervinyan,AM,9374c847-6ddf-40fa-9a4e-1ec167909c96,
Rosa Linn,AM,3de05898-e662-4b53-8c69-28bda89ad6fe,
Արամ Ասատրյան,AM,68700df8-7712-49aa-9063-d47608685eef,
Ambehr,AM,863142df-2c89-41f8-b52d-cdfa658e8785,
Գևորգ Դաբաղյան,AM,7449bf5e-fd81-4560-b985-3ced165ad476,
Ալեքսանդր Գրիգորի Հարությունյան,AM,e7e15be1-8118-471f-b342-603efd613799,
Տիգրան Մանսուրյան,AM,247c80ca-393f-4f07-b245-b9fc9d795976,
Blood Covenant,AM,15bc129d-1fc8-4d19-ae89-301a413ab3fd,
Brunette,AM,56f7d8c6-3095-4fc9-b688-6069d0d948f7,
Hraach,AM,cdcbfc91-f209-4168-baab-64db0a706169,
Trio Liudvig Garibian,AM,41d7ef75-9bea-470a-b99a-e42d560d7f66,
Lilit Hovhannisyan,AM,a1d4bba3-70ad-4642-a54e-a06d713debc8,
Սերգեյ Խաչատրյան,AM,7fe5b36a-9ef7-476f-8a5e-ca78fcea4d8e,
Ռահվիրա,AM,3ed48684-d64c-42e9-8f40-cbe4ba0fe6ae,
Anhidema,AM,011792ce-62b1-4099-8f05-901e492917a8,
Հայկ Մելիքյան,AM,d55b27ac-852b-47ec-b76b-715d9094b4aa,
Lilit Pipoyan,AM,0eb0c2f1-8b97-4a0e-a186-57475f762bae,
Alex Seropian,AM,46591ead-0b6a-4ca0-b1f0-2fa0d316ad01,
Mikayel Abazyan,AM,5b272920-69a3-452d-a572-4f3da0354535,
Ghoulchapel,AM,45be599e-8182-4a0e-83b9-8a273904c283,
Vache Sharafyan,AM,5385998b-3799-4c6a-85de-ea0a8a3a68fe,
Ayas,AM,c77d03f9-b2f1-4abc-a0bd-c44b0fd40b3c,
The Gurdjieff Folk Instruments Ensemble,AM,23614f2f-497e-41aa-9d4c-c860ac0e51e9,
Eva Gevorgyan,AM,3eb3a798-a606-4522-93dc-1e5c4aaf0081,
Nemra,AM,894c0fa6-8d04-44a1-9dbe-24e3dc216c46,
Cloistral,AM,b4d51dc8-9a6b-4e50-9640-183e50b581fe,
Aram Mandossian,AM,ef55c7d0-b4d2-4d00-9b71-db30dd4c51b2,
Vardan Mamikonian,AM,ff157ce2-fa0a-4b4a-95eb-1959e55f21e5,
Թաթա Սիմոնյան,AM,f68bca56-be48-4485-b91c-c74fdfb1ec8e,
Vahan Mardirossian,AM,3c94b740-1fe3-4977-b426-e930ae094791,
lurp sheets,AM,139c0f20-e6fb-43ce-be0c-9e34e4ab92bf,
Kosmos,AM,aae2e136-cd61-40a5-9ffa-d14795deb1f9,
Gegham Grigorian,AM,12b344c1-ec57-4fa9-a26b-4bc04cd4d389,
The Naghash Ensemble,AM,9e4ad1fa-757a-44f4-9b41-dcc94bed407c,
Lost Capital,AM,47a0700f-66cf-4c98-9553-f746f5bc7abe,
Lilit Grigoryan,AM,7fde538a-c74e-4858-9035-9b88cf0ac7bb,
Stéphan Elmas,AM,9c99afe4-aa35-40a9-9281-b36388d417fe,
Inga & Anush,AM,5dc5e8c7-cd04-4553-97dd-60063548cf0e,
Oaksenham,AM,15c89edc-9d56-4285-b164-52a3eeab24b0,
Sworn,AM,e8c0259b-2907-442c-8c50-4fc928c09b15,
Levon Eskenian,AM,35f00c36-fd4c-424b-b0f2-20a703e896cf,
Արա Այվազյան,AM,bb160276-a4b7-4efb-8102-a31273d87d84,
Ara Gevorgyan,AM,f43ed2be-489f-415f-868c-267b963af9c3,
Lusine Khachatryan,AM,b2163e94-7b90-41a0-9d1e-e954e654d04f,
Ashot Ashikian,AM,6782688d-52cd-405f-922a-07bbccc30c53,
Nemanoe,AM,b18cfcfe-9606-48fc-9aa1-0acffd8df415,
Yerevan State Chamber Choir,AM,816721bd-9699-4955-ac3c-f0bad89db73f,
Հարություն Թոփիկյան,AM,2dffcc79-9009-40e2-add9-333e4ee62cb3,
yellowheart.,AM,1f8c3382-931f-4d3f-a771-5adcb75de8f7,
Khatchatur Avetisyan,AM,41ef86b3-0bd1-4157-8c55-2716a7cd7307,
Eternally Scarred,AM,d95cabe5-e968-4ac0-84a9-78a3aa596a08,
Ալեքսանդր Սպենդիարյան,AM,54fc2519-145e-4042-bc24-71d2a9b8ca5b,
Հայկո,AM,1317ce9e-9a1b-439b-a071-a9e4528e19d8,
Haïg Sarikouyoumdjian,AM,d8988be0-d18a-4d17-873f-d2e8b1e5aff6,
Ildaruni,AM,78b20fe0-02da-40fb-881c-0332e7e585eb,
Karineh Hovhannessian,AM,742f9791-10f5-45b2-a55d-15765f889a30,
Vnas,AM,d3288d37-93c5-4a41-8e14-de3e18e56467,
Arbor Mortis,AM,833d3872-4061-4289-ab4d-8a0c2cb87fda,
Yerevan Women's Choir of Armenia,AM,07b1dbf7-a57d-4e81-8d38-0a1c6c2f3990,
Avet Terterian,AM,bdc46e67-ddab-4eb9-8461-08722d8ef115,
Arutjun Kotchinian,AM,b8145fc6-6527-4e90-834f-7d4e9fd61041,
David Haroutunian,AM,956c21be-c727-48bc-8d53-000eccb39070,
Adana Project,AM,d0eb6925-67c4-47e1-8d96-10c5db1a87ea,
Benik Abovian,AM,34b72229-bb83-4f06-8384-e1a308379444,
Norair Davtyan,AM,165e4455-5020-4145-b515-dead734280a6,
Zaven Azibekian,AM,5cf307de-ca77-4d42-8a0e-a9fd3d611b46,
Alexander Chaushian,AM,29fbc2c7-7aca-4d7e-9258-8e2693bad23a,
Rouben Hakhverdian,AM,5cb60075-28b9-4764-8dda-804d4c6846c7,
Mikayel Hakhnazaryan,AM,22a1b3be-2ff9-461d-819f-54ae8f4849f5,
Էդուարդ Բաղդասարյան,AM,ac4211e4-db84-4785-8fc2-d670e57b72e2,
Nara Noïan,AM,5e860397-8d97-41e5-88ac-afee3ee25b24,
Samvel,AM,b00a94ff-5e70-44fb-a821-5038f1cfe6cb,
Արթուր Մեսչյան,AM,8c45aca8-e0cb-4539-b423-bd7041f1a09e,
Հասմիկ Հարությունյան,AM,02f45a32-5183-46d3-9e42-7f8235971702,
Raffi Haradžanjan,AM,0ff99514-36ed-4ace-ae21-efa540258272,
Էդուարդ Աբրահամյան,AM,87b72e5b-5460-4f1c-bc06-b4707cda4f53,
Lusine Grigoryan,AM,f61af93d-64e5-42ba-bec8-818830d30fc4,
Lusavorich Choir,AM,7de1564e-93cc-411e-b7dd-713595cdc966,
The Indianapolis Quartet,AM,9831bdda-2b38-4558-8c24-1fb747d67159,
Inessa,AM,0723cff2-6752-4db3-8ded-725db1773059,
