name,country,mbid,youtube_channel
Bonga,AO,15b1dbc3-f113-44d5-88b0-7a258ae57dca,
Anselmo Ralph,AO,e98df8be-d2f3-4055-98fa-45b873ebf655,
Paulo Flores,AO,27e464ba-5b3f-4764-9519-c1bb0962c776,
Sam Mangwana,AO,d2f6f28f-d44b-4338-a0f9-079da0faf2e6,
Duo Ouro Negro,AO,98029094-27d8-45d8-847d-5f6ec94f0487,
Aline Frazão,AO,fca119d9-5c1f-470d-ab18-80b6fcd51d62,
Matias Damásio,AO,a828a2dd-2f6e-45b7-8219-557f29258b24,
Elizio,AO,0d550c2c-1a56-4d37-9a34-5b8faa3b4b9d,
Artur Nunes,AO,e6d56982-effc-41dc-8d70-0b3650052b7e,
Irmãos Verdades,AO,8a7c6d3f-82bf-4054-ab76-14b1af92ef56,
S.S.P.,AO,be707176-ba51-4183-9ec4-66a7ae420b79,
Titica,AO,d27e9cdf-9b74-4a6c-9ced-df3b1e659474,
Ary,AO,75b7ba37-9f63-4d28-bf60-150682b8543c,
Gaia Beat,AO,0d257bfc-17b2-4415-ba4b-45a8bec4785c,
Teta Lando,AO,41a1128d-5d13-4312-b7ea-81d359ed44d6,
Sofia Rosa,AO,f86b2f00-ebd9-4ebf-9fe6-f73115826fa1,
Sérgio Beatz,AO,3108e2fe-98cc-4268-b626-3d0b88149fc5,
Kalibrados,AO,7389e55a-d7ff-4396-8639-655c399be914,
Ikonoklasta,AO,e02d50d4-f8d1-4485-8f66-9f0b89b406f4,
Kyaku Kyadaff,AO,bdb7713b-cc8b-4ebc-96bd-9d46c284761a,
Don Kikas,AO,780e43be-3582-43fc-bbfa-7d4a03623f50,
Os Kiezos,AO,fef1200d-2453-4558-b3e3-90abf219d80d,
Os Jovens Do Prenda,AO,c45dd83d-5f74-401b-97e4-958138d08f78,
Ruy Mingas,AO,1fc1b669-20c4-4691-8a99-2bff738912a2,
Carlos Lamartine,AO,41ec8ae6-612c-4bd6-b5de-0aefe5432ed5,
David Zé,AO,d5e762eb-4c1a-490a-aac1-3eb122db631e,
Mário Rui Silva,AO,b3d9e591-dd69-48fe-be2b-2e221a449d60,
DJ Znóbia,AO,58e7b47a-f8b2-43c4-91bb-ae5d4e414696,
Master Jake,AO,110d2041-7bfd-47bc-88fb-c11dba26e884,
Dog Murras,AO,7d27c9b0-4735-4b74-971e-d0cefd01d5fb,
Neblina,AO,8bd37242-6872-4bdc-8dde-b816eaecfe24,
Yuri da Cunha,AO,11187a17-37ef-4064-ba79-13af844e47eb,
Sands in Darkness,AO,6bbc2dfd-0298-421c-a1c3-d35396e9cd73,
Guelsony,AO,b32d14d4-f35c-4a9b-b4bf-8230c0500b41,
Yola Semedo,AO,43b9819d-71bf-4e19-96d7-720e22dc2f1e,
bonjr,AO,170c9603-5a34-4308-b6b2-f57cdfcd28b8,
Irina,AO,62894b73-a176-4ab4-855c-b385953e5009,
Filipe Mukenga,AO,418bd321-140e-42d6-b230-3f0984486cc7,
Gingas,AO,a0be9b09-4e05-4d16-9ee0-3471af49f969,
Wyza,AO,1d421176-ec2c-4558-a0ce-b26b446eff50,
Patricia Faria,AO,8b77463e-7073-4662-a4ba-70eb99f5d651,
