name,country,mbid,youtube_channel
Astor Piazzolla,AR,e280268a-a5ab-4bb0-be4d-ec470ca59131,
Lalo Schifrin,AR,adf017f5-76d6-4d31-b1b9-a0211675e7c2,
The Cherry Blues Project,AR,87546615-6344-4829-8f8d-6dafcf65e3df,
Carlos Gardel,AR,bb54817c-6829-4ccc-bc58-030abb85c583,
Daniel Barenboim,AR,fac566b2-7a0e-4977-ad92-533f43420975,
Juan d’Arienzo,AR,d09ac963-025f-4eb6-853c-cc383838ee60,
Luis Bacalov,AR,500053c3-d673-4768-94d0-9e02aea5d0bf,
Atahualpa Yupanqui,AR,291aaf6f-3553-462a-92ed-0f91f19f75fb,
Mercedes Sosa,AR,324b9329-7be6-491f-9ee1-65bfa10c7577,
Aníbal Troilo,AR,9a7f8969-387f-4161-b643-4b0e733f8d64,
Andrés Calamaro,AR,5a092e7c-faa9-45d0-88c6-052205804e6c,
Osvaldo Pugliese,AR,813a79f0-1878-466a-831b-cec332ba510c,
Gustavo Santaolalla,AR,3abc3eb1-7318-41d2-a52b-cbe14a14d8a0,
Charly García,AR,dd999ced-1dd4-44b8-ab67-ee5ec23e52b7,
Francisco Canaro,AR,a7389752-9e5d-406d-9a02-9141600e4315,
Los Fabulosos Cadillacs,AR,cfe85625-10af-46c1-99fb-765ed3a4f1ad,
Soda Stereo,AR,3f8a5e5b-c24b-4068-9f1c-afad8829e06b,
Alberto Ginastera,AR,8df82ee7-bb7d-46c2-804b-6fefef50c6c0,
Martha Argerich,AR,3bb8b89e-5700-4d7a-aa0b-d48f8706831d,
León Gieco,AR,dbe1d6c8-1319-4369-924a-65bb1f9fced5,
Fito Páez,AR,54bd120a-6bac-4d7c-8b10-ba167bc7e26c,
Patricio Rey y sus Redonditos de Ricota,AR,956301d0-4b3c-4ffc-9898-b39305d25112,
La Mona Jiménez,AR,7a7b2399-883a-4142-b1d3-d4c6f1d427fc,
Divididos,AR,fdae985a-b8e1-4a2b-919d-8ee12cec403e,
Giora Feidman,AR,16501378-eeed-44e9-bc8f-46f0508a2fed,
Carlos Di Sarli,AR,c48308eb-1419-4021-bb84-527ead30722d,
Luis Alberto Spinetta,AR,1fc56cff-f0a0-4ce2-ab1f-ac49cf3b073f,
Alberto Cortez,AR,9965a96a-d838-48be-bcad-dd22fb76fc70,
Palito Ortega,AR,f2054773-70d6-47fe-923b-62585ba97fee,
Attaque 77,AR,f74e2126-0bbf-4a3a-8e91-ec23d8d63921,
Gato Barbieri,AR,406160eb-24ad-4880-83e0-5f48f077004b,
Babasónicos,AR,e6e1e76f-afee-4990-aad0-056199d94918,
Sandro,AR,0245e0b6-f6e8-4d7f-93b7-49b83fba5edc,
Alfredo De Angelis,AR,e77a055f-bb96-4317-bfd0-45ec69c9e852,
Pedro Aznar,AR,21dcc3a2-9fc8-41d2-8736-cdcbde270f4c,
Los Enanitos Verdes,AR,598469a8-3bd6-4f8a-a5bc-a2e15e128eae,
Los Auténticos Decadentes,AR,2d6d27d3-b18b-4436-b174-b155ca917ab6,
Roberto Goyeneche,AR,03da2ea1-bf64-4052-a15e-d18c6f9f637a,
Gustavo Cerati,AR,979d01bc-a4da-4c80-8cc1-be40bd35cd5e,
Osvaldo Fresedo,AR,a0e3d6ab-4fdb-4886-a0f8-f950e638bcc6,
Rata Blanca,AR,c7e3d0fe-a1e7-490f-8d8d-7580e67e6d52,
Semino Rossi,AR,59b59e94-d07f-412c-af34-9de4f15f146c,
Daniel Diaz,AR,41cbe1ee-8b6e-43ce-9aa2-c306435f738b,
Miguel Caló,AR,932644cd-1269-4a52-bfba-0f14a4279a9d,
Los Pericos,AR,fe50841b-f14b-4882-a4be-38a04f69374b,
Los Violadores,AR,a093ceb2-3c31-4105-9596-60114980ba3b,
Los Calchakis,AR,ff98eada-25e4-44ea-9a72-6a63d1b55031,
Alberto Castillo,AR,c67f5072-35db-46a0-b7be-de46f31c8eac,
Cheating Spouses Caught on Tape,AR,bf1e9ea3-8be6-4b0d-8626-a2dcfdc8fb08,
Los Palmeras,AR,692ea437-1333-40ee-bf00-35e74790041c,
Los Natas,AR,40877739-c290-4c41-b803-5809f4cb4c90,
Miguel Mateos,AR,3557099c-890f-4417-8d97-681f1f2ae3b4,
Pimpinela,AR,80ccf0f1-f836-4e77-a89e-27031e4cf622,
Pez,AR,67d4b573-6962-46b0-a5e6-59e3e3009502,
Edmundo Rivero,AR,1da92d89-9dc3-4dd4-be61-a485f4b4fbdd,
Miranda!,AR,226ab2f2-592b-4323-94f9-5b3f0ef86158,
Daniel Melero,AR,36692ed2-ee62-4dd1-8de5-35f6323149b2,
Round Wave Crusher,AR,fbabd909-b7fd-4028-8d0a-a3de506058fe,
Ángel Vargas,AR,054f06dd-7f90-4694-bdf7-be80b31097aa,
Rodolfo Biagi,AR,f2030ec9-6ca4-405a-b69a-148196b0e4ae,
Catupecu Machu,AR,ac00aa43-3fb1-44c1-953e-62d01858168b,
José Larralde,AR,bd60c06e-c6af-42c2-a098-5664b042a6c0,
Los Chalchaleros,AR,32ca9065-c1f6-4c48-9855-875c1dc4d3f0,
Litto Nebbia,AR,dbf8e699-5940-42c4-9aed-fa444e01c754,
La Renga,AR,560449c4-cdc1-46ef-b759-f64abf73ba61,
