name,country,mbid,youtube_channel
Wolfgang Amadeus Mozart,AT,b972f589-fb0e-474e-b64a-803b0364fa75,
Joseph Haydn,AT,c130b0fb-5dce-449d-9f40-1437f889f7fe,
Franz Schubert,AT,f91e3a88-24ee-4563-8963-fab73d2765ed,
Gustav Mahler,AT,8d610e51-64b4-4654-b8df-064b0fb7a9d9,
Johann Strauss,AT,8255db36-4902-4cf6-8612-0f2b4288bc9a,
Udo Jürgens,AT,20e903b8-4b5f-414a-a467-dd6e46933d3e,
Peter Alexander,AT,1f27d918-b658-4918-aa18-80897433e14b,
Anton Bruckner,AT,9debb4c3-dc10-440f-9c96-b777d51ea998,
Wiener Philharmoniker,AT,d770374d-05e9-4ed3-a068-3fbd4e6e4dd6,
Herbert von Karajan,AT,d2ced2f1-6b58-47cf-ae87-5943e2ab6d99,
Andreas Gruber,AT,574de5a7-279b-4fd2-a58f-a04ef752f05e,
Arnold Schönberg,AT,9b490b96-ad82-4d7b-9055-f0a196ad64cc,
Jonny Hill,AT,3edc0ad0-c000-4c1d-b5fc-866832474842,
Heikko Deutschmann,AT,db55ac9c-44ad-47fd-8d6b-53206689007c,
Hansi Hinterseer,AT,05373d3f-20bc-4056-af1e-ab7439584ff1,
Nikolaus Harnoncourt,AT,98b95966-64db-4631-8b9f-8aa66f32cc98,
Ernst Vlcek,AT,3f885339-c80a-46b7-9b2b-7964cb29eed7,
Wolfgang Ambros,AT,6add35d5-1e7f-47a3-ba3e-2765a52ab6bf,
Andy Borg,AT,02b21439-02f9-4d46-9938-27da30088ef4,
Falco,AT,dcd95aa4-f3ff-492d-a621-8518ada0f58b,
Peter Matić,AT,cd2fca35-883a-4c87-be18-2c7b721160c2,
Hugo Wolf,AT,21f39bff-fdec-4424-8ad7-86207565d571,
Heinrich Ignaz Franz von Biber,AT,66197dbc-c16b-4c95-9e1b-cc617783cb8c,
Erich Wolfgang Korngold,AT,71b79646-5a0c-465b-b4da-e26af5120165,
Nockalm Quintett,AT,a22f2dc5-117d-4e4f-a6a8-09eaab135719,
Alban Berg,AT,f61c909a-db95-4a61-bc23-65a86e0d2907,
Rainhard Fendrich,AT,007bf6ea-117d-49aa-8981-67fc4fda19eb,
Concentus Musicus Wien,AT,9b891046-35af-4eb0-a058-eba4c9b8d01f,
Fritz Mayr,AT,78fc323b-049e-4e84-a9d6-1509c56b8ba7,
Max Steiner,AT,e466fb04-0175-4875-bb39-f50200b66805,
Georg Danzer,AT,6a65cfbe-d198-4f24-aff0-e0ce1d500863,
Anton Webern,AT,7be0b588-030c-4904-836f-71ff43a2dfec,
Franz Lehár,AT,8efca5f7-663e-4a2e-a2f0-9fd1e563a801,
Christian Anders,AT,ed0a2ba7-46f4-4bbc-8e8b-806bd1c6288a,
Erste Allgemeine Verunsicherung,AT,c1a0178b-830c-4d4f-9ce4-89f5e56672dd,
Schürzenjäger,AT,9add1e33-bb89-4453-80fc-d1f710708c2b,
Fritz Kreisler,AT,590fcad4-2ba4-43bc-a22f-a4bb9b496fe8,
Marc Elsberg,AT,250841fd-2278-4d10-a8a0-9951fe322c7c,
Karl Böhm,AT,cdb34f45-c9d3-4f14-a79a-bc1da62455cc,
Wolfram Berger,AT,bc4fd693-8647-4c1d-b978-1d9322ad1bdb,
Alfred Brendel,AT,4a37c64f-4151-4c4b-ab69-a58450f9967e,
Klostertaler,AT,c49aa4fc-22f1-4571-8117-2318b71d12c4,
Friedrich Gulda,AT,e77e163b-e86d-4a06-a16e-8a06575c227f,
DJ Ötzi,AT,8d6a4455-1ae8-4e51-a481-08a85cb0141a,
Robert Musil,AT,c756d94e-2bc2-4570-b361-d99d73c6cb4d,
RAF Camora,AT,a5386648-7b2c-4e0a-8094-ac5d16b91e54,
Michael Haydn,AT,760357b4-37da-4271-8cb7-52786d335745,
Peter Cornelius,AT,42f6070f-febb-4bdb-af08-9a826d3803aa,
L’Âme Immortelle,AT,024c3b90-9d09-4c67-902f-fdf49649e4f8,
Alexander von Zemlinsky,AT,51ff9f19-22de-43d2-a8df-748b062e557a,
Money Boy,AT,eb989393-cd48-445f-9540-8bf0674a2507,
Jörg Demus,AT,0c2fc183-68d2-409f-a236-9cd3fcdaddeb,
Johann Nepomuk Hummel,AT,f7ef501b-2bc0-4083-ac52-3518255883a2,
Brunner & Brunner,AT,c47ca094-a1d8-4ade-aeb3-b1e4e7f4ed4b,
Tosca,AT,3231d12a-c42d-4977-b2a4-a6e4d87978e1,
Georg Kreisler,AT,53dd8212-8586-439e-b8ed-29461a4a3a5d,
Abigor,AT,22b99651-3595-4790-9d9a-c3f8baeb06cc,
Opus,AT,1ade789e-c133-43f3-8a92-ec69a30acb85,
farmersmanual,AT,9bea9fb2-b304-4d2a-a60c-1d9f1bec5c8a,
T. C. Pfeiler,AT,d2391f14-fc1a-43d0-b06c-46dcf615c06f,
Parov Stelar,AT,fe1a873d-2000-4789-a895-4187fe756203,
Gandalf,AT,0e49cfc8-6c12-426d-8985-5005f9256e18,
Ludwig Hirsch,AT,a3ca7670-cd35-4feb-b062-fc3dd7e06792,
Edenbridge,AT,82fc8db0-f366-4029-b6ba-e148b3639ef9,
Simone,AT,c09161c9-3281-4793-b3df-65ac760cd1a6,
Hans Moser,AT,e338bc71-2864-40d4-8e85-324e32515ce8,
Der Blutharsch,AT,6207d896-8568-49ec-9545-905a5f7b0c2f,
Die Paldauer,AT,c7435091-be8f-4ee9-8b97-c1c4d03010c4,
Josef Strauss,AT,9942ef92-91a2-46f7-aff4-32389df33c9e,
Chakuza,AT,40e7505a-4c30-4ac7-84d3-2a9aef92cc44,
Seer,AT,95e73998-e318-428a-9d2e-647624d80594,
Monika Martin,AT,5936bba1-c493-4d3a-bbe1-305c86d0daf5,
Lisa Eckhart,AT,51ba0416-9192-461b-8e13-763c8c7d3f13,
Otto Sieben,AT,0da56ec9-dbf9-4779-a16c-e688ce984fba,
Wiener Symphoniker,AT,fdec141a-f2a7-4b07-9257-8909c294546b,
