name,country,mbid,youtube_channel
8-Bit Arcade,AU,d68e2c4b-8411-4f80-8b55-6682ae70881d,
AC/DC,AU,66c662b6-6e2f-4930-8610-912e24c63ed1,
Kylie Minogue,AU,2fddb92d-24b2-46a5-bf28-3aed46f4684c,
7 Minutes of Nausea,AU,96843ba2-97ec-4120-8c25-044e001e95ed,
King Gizzard & the Lizard Wizard,AU,f58384a4-2ad2-4f24-89c5-c7b74ae1cce7,
Dead Can Dance,AU,ccda046a-2674-4f7d-97e6-f23d6c156432,
The Wiggles,AU,e684ed8b-bced-4e0f-bdfa-462861891409,
Nick Cave & the Bad Seeds,AU,172e1f1a-504d-4488-b053-6344ba63e6d0,
Olivia Newton‐John,AU,10ccb5d8-f9d5-4954-9441-3419b522a214,
INXS,AU,481bf5f9-2e7c-4c44-b08a-05b32bc7c00d,
Rob Inglis,AU,777e1c46-9895-4647-9c5f-c3dcb7de03d7,
Crowded House,AU,9854d99f-d954-4c0f-9ae5-58a0cdd885f5,
Sia,AU,2f548675-008d-4332-876c-108b0c7ab9c5,
Air Supply,AU,df9a1914-7fad-4900-bdd4-d7811712a2a8,
Midnight Oil,AU,05072650-4b05-4e8b-83d0-dba2576e306a,
Little River Band,AU,0b5df3f3-7f4c-4ffb-9279-dbab6cd9bea5,
The Go‐Betweens,AU,2fb4db11-8349-47ab-b1a6-f04f011699ff,
Ikon,AU,ad7b6571-9832-4aa1-8e58-d345d9ee06c0,
Hillsong Worship,AU,dabaab7a-e807-435e-b2d7-1403fcdc0671,
Rick Springfield,AU,88543892-2eef-4a6a-a84c-5b8502b80421,
The Seekers,AU,2c07a0d6-b71f-4530-8059-065137ee2a10,
Paul Kelly,AU,2353e48c-3b80-4ac1-be24-88f9b99c84c8,
John Williams,AU,8b8a38a9-a290-4560-84f6-3d4466e8d791,
Slim Dusty,AU,36ec3cbf-fe4f-419f-840a-aed9afdf0250,
John Farnham,AU,3b81f816-bdcb-42d0-a0dd-1aa4fc4e19ec,
The Church,AU,4fcb7864-42dd-4dcf-b269-6da0d9042956,
Goodknight Productions,AU,24237fd5-f6f3-448a-9b9c-864f2dbd42f9,
All India Radio,AU,53d2a4d1-556e-4701-a8ac-5fcb74a8e393,
Charles Mackerras,AU,69a7d073-869e-4af2-a58b-a62fe34454d6,
Cold Chisel,AU,29c52c26-5f62-46f5-a995-c9f30e3ffbef,
Jimmy Barnes,AU,acaacdc4-194e-45ae-9959-c8e83e3120b2,
Severed Heads,AU,4976edcf-58c3-49b6-b6f1-2d8277e60d26,
Dannii Minogue,AU,4cab12f3-af12-4a55-ade2-606bd9524425,
Nick Cave,AU,4aae17a7-9f0c-487b-b60e-f8eafb410b1d,
Silverchair,AU,b0799818-22cb-4564-8e68-3c410d0722ee,
Lisa Gerrard,AU,cd645207-1664-46af-9953-264e9ae54089,
Icehouse,AU,48834e28-8ca5-4827-be91-0bed0ca61d76,
TISM,AU,7c0e7dd0-d65a-44df-9486-7127de873bf0,
John Williamson,AU,1cc2232e-0db1-4ae9-92fd-572211556935,
The Angels,AU,06e4547a-bdbf-44a6-bca6-af015fb05376,
Men at Work,AU,395cc503-63b5-4a0b-a20a-604e3fcacea2,
Snog,AU,d7a2ea77-0850-4480-8964-246c0a3d6efe,
Tommy Emmanuel,AU,50c629c6-6f22-4bf9-a3c2-f2855e6704be,
Parralox,AU,627c5f46-e8a5-49f8-9192-c2752654bed1,
Natalie Imbruglia,AU,60530915-9371-4b16-bc31-5c4456317ae0,
S3RL,AU,81345215-6ac2-4ed6-9a21-a560bd97db3f,
Keith Urban,AU,f45da029-7b00-4bf3-962c-0eeb20309cc4,
The Triffids,AU,8f51eb15-9b4d-41cb-aa14-bec4f9234c2a,
5 Seconds of Summer,AU,830e5c4e-6b7d-431d-86ab-00c751281dc5,
The Easybeats,AU,dff0eebd-dbc3-4a60-aeee-842bde2c1372,
John Butler Trio,AU,7952b266-9fd4-4a09-a324-7dc84f11b5fc,
Tina Arena,AU,c1ccc784-9f18-4369-96b1-38106419b5ad,
Savage Garden,AU,a871fd87-50f7-4032-b06d-da56779edcce,
Trudi Canavan,AU,bcb322c4-d1d0-4628-b6e8-cf5c8dbf5257,
Leslie Howard,AU,9066b175-84c0-47f5-a792-dd7c23beb639,
Jay Kristoff,AU,a5a41fd8-581a-4323-a849-23de0e7a18f8,
The Saints,AU,0f1e84e4-2417-4f9e-a3f4-6db2cf11a46d,
Buddy Williams,AU,7455f0e6-fc4f-4a96-b5b8-c886186d6ad2,
The Living End,AU,cca49e52-1f1e-4c16-9e40-fedebcea065e,
Pendulum,AU,beff21d3-88c7-4ee0-8b7a-40b6db22c6d7,
Newsboys,AU,df0a1dad-f15b-4e4c-9f47-60cfca58a255,
Kevin Penkin,AU,9b30447a-eaa8-4e0b-b464-cc12005d3b5d,
