name,country,mbid,youtube_channel
Breatherholes,AW,8d641e3d-9a61-437b-ac3f-9e2092672d95,
Padu del Caribe,AW,5687980d-0fa5-4a74-8f93-afa8bd700461,
Smiley,AW,17c9656a-a4b3-472b-b1f0-41c041901854,
Central Pieces,AW,c4c88e8c-dd9f-430a-94aa-0416e3d7b430,
Los Juveniles,AW,1dac8741-c00b-4455-8022-98e49a3b263c,
Jeon,AW,e9361cf8-ff08-4cb8-ba9b-b18f88e21a31,
Aggression,AW,06d7bc06-e23c-4dda-91e5-52cc396ac89e,
Maddentune,AW,2687b9bd-5ce6-4222-b3ca-472d296cdb92,
Vince Irie,AW,d0ca686f-5552-492b-af36-777d799c8082,
Roger Peterson,AW,0bbb152d-9f06-4751-817e-716bc790294f,
Fuego333,AW,cab04b3f-5278-49f8-8407-30a6f271cd6f,
Academy Brass International,AW,a0c9d9fa-f020-4b8b-9d1e-db059b75c1d6,
Edwin Abath,AW,e9bd8941-c857-44e1-b4d6-e7e147d52fb7,
Sonny Reeder,AW,2a18c2cc-2c9b-4c6c-a0e2-665c180a6518,
Hildward Croes,AW,4cb412a9-58e3-4a0f-90ec-8ce02c9bdad3,
Melushka Quandus,AW,0b546e4b-e12b-4176-ad18-052db6bc9233,
DJ Rogger,AW,ea49b335-a150-4453-bf87-8936dda4e1bc,
B'Jay,AW,6d8861ed-6b7f-479f-8d99-78e071c6027a,
Reno Steba,AW,f6a4ab5f-1b78-419c-b8d9-626274a36370,
Juan Chabaya Lampe,AW,90c1851a-9025-4e79-beab-51fbac291562,
