name,country,mbid,youtube_channel
Aygün Kazımova,AZ,0d8117e6-f3f6-4a2d-aaa1-2c4d02b4af49,
Amina Figarova,AZ,3bd7810d-b791-4bda-9cd5-04e9369a3074,
Vaqif Mustafazadə,AZ,1aeb03ff-0fce-4186-999d-8443d3af5f2f,
De Corbul Destinul,AZ,42bd2b63-6719-4933-956c-68d0ca33fb9f,
Jay Aliyev,AZ,13d8cdee-e1d2-451f-89e6-d36111e7d65c,
Qara Qarayev,AZ,d63853e7-b07c-4b2b-bd0d-b2d23a98c8e2,
Alihan Samedov,AZ,1d4a61a0-2265-44b0-bf53-f7d3a0318c08,
Alim Qasimov,AZ,53379c81-7201-46fa-9515-cf4d8c96a83b,
Rəşid Məcid oğlu Behbudov,AZ,93e339d6-ea82-4675-848d-730093e3da54,
Fikret Amirov,AZ,10e81a80-6e70-4ad2-a644-d2c59bc86f08,
Гая,AZ,35b3e9ea-7227-4e86-9bc1-a9c2e24d66f6,
Rain Sultanov,AZ,9131bcde-1952-4d59-93cb-2546ff5d3c6f,
corandcrank,AZ,767024de-aabb-45a3-8e75-296340d0a5cf,
Pyraweed,AZ,4650e3ee-df4f-4818-8c6b-85e91ea8382b,
"3,14…",AZ,3b2d4a87-7568-4094-bf49-9440a0a9a82d,
Isfar Sarabski,AZ,ac7a6151-f497-4e62-b461-544a3fc22e52,
Miri Yusif,AZ,97dcd485-8934-4b8c-8960-9c253b25302d,
Silence Lies Fear,AZ,21755e5b-8e60-44c3-b26c-df1fe8c3374a,
Sevda,AZ,fc737bcc-5432-4fac-b48e-3bfaba2f4585,
Chingiz Sadykhov,AZ,957bc649-91e0-48db-8d72-be1a2a08d5dd,
Nadir Qafarzadə,AZ,c9a25878-d4cc-4e1a-a472-13ecd6c68442,
Олег Маршев,AZ,d5697f5d-2047-4731-a923-23f29fe7d61e,
Sadiq Mehdiyev,AZ,2f8768aa-550c-473b-b11a-511ebdb6928c,
Fargana Qasimova,AZ,75a7dc5c-545e-475a-9159-bb71009e6443,
Firəngiz Əlizadə,AZ,fd33624a-a34a-4954-a109-a0f9d92e8c05,
Safura,AZ,a94927a7-014f-49e7-b2e8-91a024a6443a,
Shahin Novrasli,AZ,ca2a5bf9-6640-4017-907a-18d444877ae3,
AISEL,AZ,bd4aea9a-ae89-4e90-a502-5f2d20d78912,
Rüstəm Quliyev,AZ,856572e5-6ffc-4ac1-81a7-5869983563de,
Habil Əliyev,AZ,cc0a2d77-0636-4d6e-9f0c-7776da9aa8c3,
Sara Qədimova,AZ,c12695ed-a575-4fd8-ac2a-24202972f7d1,
Ялчин Адигезало,AZ,10308659-c206-4059-9c29-ea9a97e3be8b,
Bahram Mansurov,AZ,becf304b-152f-45e2-ab40-9c47da2a31b0,
Tünzalə Ağayeva,AZ,34950364-2d05-4b9e-9541-a174c5aaa4b6,
Azer Gürgün,AZ,48c35c7f-4848-494e-9750-199abdd0f6aa,
Cavit Tebrizli,AZ,31349f76-7503-40c2-8ac2-dc01f0513709,
Orkhan Efendi,AZ,a3929008-a5d0-4dc5-85ce-85b1db2377a2,
Hoar Demigod,AZ,452a1ff4-a99c-43c3-9115-dfb553bbf9b2,
Eldar Mansurov,AZ,a624735f-a3bd-409e-9c49-88268c4b823b,
Cavanşir Quliyev,AZ,9a7fe081-80d7-43fa-8a00-069025146146,
Nazim Rzaev,AZ,b81528c1-643f-41ef-b5c1-90acf96e8b16,
Namiq Qaraçuxurlu,AZ,524851e8-97b1-47f6-acdd-33c771b75f29,
Goat Ripper,AZ,f61a33cf-ae5c-45a3-b04f-b037377fbe46,
Rauf Abdullayev,AZ,abaf37bc-a7fd-4657-bbcc-35d6211adede,
Röya,AZ,5f0f4b91-6fd4-4e9d-bd86-5279236cc6cc,
Azərbaycan Dövlət Simfonik Orkestri,AZ,600ece49-5882-45f9-9f2f-46b5960727b5,
Aysel,AZ,8a89942b-8869-4d85-bc5c-8d7dbe713a0a,
Zülfiyyə Xanbabayeva,AZ,cec32f6e-0b85-4c96-8b5d-4793271db827,
Avtandil İsrafilov,AZ,08bf1dec-df1e-49b0-a342-35c8aa679979,
gneeeeeeezlℴℴℴℴℴℴℴℴ0000̴̨̛̛̮̰̳̲͕̈́̓̑̃̋͋̉͌̆͐̀̚ͅ,AZ,36dc4932-f7eb-4a10-b954-9d39d4bc4ea8,
Maria Stembolskaya,AZ,2ea3d792-6e83-4797-8d7c-210c584cfa57,
Üzeyir Hacıbəyov,AZ,7921bc29-f896-4555-b4ae-82700ffe91c2,
Samira Efendi,AZ,80993fa1-be36-4088-89ac-8fa81ae121c1,
Fərid Məmmədov,AZ,4858a7cc-e2e1-463d-a1c3-ff44b7a1ff36,
Azerin,AZ,0330e3a1-7c7e-41af-953e-7b6e3b8e37ec,
Vaqif Gərayzadə,AZ,209e7136-e921-4bbe-8ad4-522b74aae06c,
Üzeyir Mehdizadə,AZ,806c1d48-9f3e-4107-8921-d97cab28fd72,
weirdo girl,AZ,f84dacbf-5e2b-4cd8-af5a-e2c5504474fb,
Ell and Nikki,AZ,75b69fff-df7f-4e05-969b-bef4b75fc77f,
RAEM,AZ,7b8d1fb1-2d44-4bff-9308-e5e096cb7efa,
Elçin Cəfərov,AZ,0b29c516-0f90-4554-a001-eac158273259,
Rauf,AZ,3b9ec02b-7150-4d8d-96f7-800f09cdee58,
Jabarov,AZ,f9183813-b380-4587-9e56-adac0b6a621d,
Ilhama,AZ,37e0eac3-4883-48e7-9180-7d73398268d8,
Sabina Babayeva,AZ,0deace2c-9173-481e-9d01-023f700c6243,
Rafig Babayev,AZ,9548c07c-c4d7-48d4-a1b0-71816c2f1168,
Parvin,AZ,b23a402b-6fb8-4475-9cdc-78802e460d4c,
Zommm,AZ,59ed1075-e17c-4341-a3e5-6a7417a30616,
Eliağa Göyçaylı,AZ,5a7af8c2-8b0a-4bc7-9164-285cfbe49a7d,
Зейнаб Ханларова,AZ,074c8343-b71d-49e7-ad4a-0b065eb40fd8,
Minimorum,AZ,b1ce0f29-eda0-42bc-9c8f-f0253a10ea38,
Ilkin Dovlatov,AZ,37d6d6d2-a65c-45ee-942b-861bff0854c1,
Xpert,AZ,e0adef30-9fa3-4058-b733-26207bcf2a13,
Overkill for Profit,AZ,86b572fa-c0a9-4ea5-8d8e-41e1f1dcb02e,
Aqakhân Abdullaev,AZ,81e76b59-9395-4444-b193-0d8e317e312b,
Alexey Ryasnyansky,AZ,ec0fc627-0d0c-43e9-934a-408ac9d95b96,
Dilarə Kazımova,AZ,633da856-06e3-442a-924c-3db876c72a24,
Ramiz Quliyev,AZ,c2451af4-0537-4e22-9a81-94556e4dd16e,
Nadir Rüstəmli,AZ,dd148a78-f517-4ef7-9643-60992ca8d36c,
Rəsul Əfəndiyev,AZ,5ece2fa9-55ea-4924-8cba-173fc02c2d05,
Chingiz,AZ,51e1eb35-7ed6-48e0-8793-4b4b981e0dec,
Fahree,AZ,37233bf3-d42d-4674-8da4-c7694a634280,
Gochag Askarov,AZ,6cdcbf8e-c282-495d-b2cd-0949e6781e1b,
Ilya Levinsky,AZ,1fc74a64-1aa8-469b-803e-78797757c780,
Elnur Hüseynov,AZ,afc3b3cc-26da-4e84-b399-558e8f79e546,
Djamil Amirov,AZ,e5392c55-dcaa-4094-830c-44d1a1082655,
TuralTuranX,AZ,e674694e-c8ea-4f3a-bec6-9d1d2f0cc565,
Rövşən Binəqədili,AZ,62725279-c158-47f1-8373-8ab6fdb2f5f4,
Ceyhun Zeynalov,AZ,17a04527-e2f3-4c7b-bce5-3b82b0c14d16,
Dihaj,AZ,3aaa3844-df49-4d60-aef7-04084bf4e110,
Uomo Perfetto,AZ,bb0f7a05-af42-42d2-ae87-1be146957ee6,
Elman Bədəlov,AZ,82ffee5e-1fa4-4e7c-8764-e83ef2363c3f,
Cövdət Hacıyev,AZ,271d54dd-d283-4df7-b217-7d39ce7db0bd,
Farhad Badalbeyli,AZ,59e0fda9-1ed6-41dc-85ec-fa74247eb8fe,
Firəngiz Rəhimbəyli,AZ,fec7af07-a8fb-4872-90c4-9ddb54d0158a,
The Half,AZ,9f119867-31d9-4da2-88e5-57d3d88f079d,
Samir Cavadzadə,AZ,719d3b76-b076-41e1-a645-c87c8fdd10a9,
Ələmdar Manafov,AZ,fb807e69-9e9a-4a12-9367-606c032bf02e,
Emil Mammadov,AZ,115dfd79-c2e5-4029-bcbd-bef5870c1ad0,
Hiss,AZ,8149408b-10ef-46d4-8cec-198e9a210ffa,
Firəngiz Rəhimbəyli,AZ,fec7af07-a8fb-4872-90c4-9ddb54d0158a,
Hiss,AZ,8149408b-10ef-46d4-8cec-198e9a210ffa,
Mamagama,AZ,9a357abb-d38d-465a-91a8-fbc8cb147e28,
Elshan Mansurov,AZ,53894cf3-e276-4d9d-9fce-758dd446b297,
Ad Gloriam,AZ,71637c77-5b42-4548-986a-fa2f1b2beaec,
Tofiq Quliyev,AZ,405e76b2-c464-4493-ae51-2b4d34cc7e1e,
Samra Rahimli,AZ,2fdb98aa-1637-4ea8-8149-66a40a7fa2bd,
Rast,AZ,60f273ae-d83f-4406-a351-24adde7092cb,
Edem,AZ,6500b050-6705-4b7b-8676-107d6f3c792e,
Fuad Ibrahimov,AZ,53e5fff0-18b8-4827-9b70-1c6c7ec68f79,
Kamil Jalilov,AZ,8fc63db1-5c86-4b0b-a1e8-93256bc62e82,
Murad Adigezalzade,AZ,2f173019-3f80-4d60-b320-f4e0e808322e,
Elmira Nəzirova,AZ,bd33cf8e-67e5-4cc4-a3bc-700b31e9008e,
Vasif Adıgözəlov,AZ,d798dc61-fb53-47a8-8723-bde8eca8fa9d,
Omar Sultanov,AZ,49af67fd-4df1-406a-9a53-28ae6420352d,
Suada Alekberova,AZ,019d5319-4974-434b-bdf6-079d81f32303,
Emil Ibrahim,AZ,ac6f0cd5-cd4e-41e0-b90d-384ff6eb4d3f,
Murad Arif,AZ,3004b4a8-8113-4981-9b77-f4c8a5bc4efe,
Ramil Nabran,AZ,dc830580-e91b-4ac4-914c-b2b6c83b0276,
Dinara Alieva,AZ,055497f7-6a24-44fd-80c2-29187b361265,
cruzmuzzic,AZ,b8338333-fa4a-4e8f-939c-befe116b792f,
Qəza,AZ,0b9fa45f-f695-4164-a291-9639f4cd03d5,
Zabiollâh Kuliev,AZ,90fefa58-f30b-4e53-b896-14b02055c8e5,
Fərhad Xəlif,AZ,d09fc14f-31c8-412b-a237-694e54db83bc,
Flora Karimova,AZ,22b7df1b-ab3f-48cf-9ee4-98a8992e1d60,
Ilqarə Kazımova,AZ,026f133d-9179-4f8c-b179-98659202cb62,
Sevda Yahyayeva,AZ,4fdc65c9-d930-4187-8dfe-a83b88c49be3,
Khalid El Bargoni,AZ,7be8e0a7-6aa7-47f8-9847-b8b380ccee54,
Orkhan Musayev,AZ,207af1b9-8ffe-4a22-a584-582300f2c31f,
Kənan,AZ,8b1736af-10fb-4576-a813-2bd1e00bb9fb,
Tofiq Əhmədov,AZ,032cf2c6-0ec1-4df0-a8d2-d7660759a2db,
Arzu Huseynov,AZ,f11ff57d-ed38-4975-8c4b-0ae153fc1edf,
Beri Bakh,AZ,bf9cd456-da8e-455d-bbb4-64040b7f78b2,
Snafu,AZ,659a24bd-99d3-4d11-91da-23fd6f04164a,
A4,AZ,91ecdd1a-d988-4e0a-9eea-5189bd45ab4d,
Pünhan Azim,AZ,47d94666-a786-41be-833f-5cd23c3cd37a,
Edalat Nasibov,AZ,c0c2d391-30db-4354-bbce-329931ea9d13,
sex.drugs.space,AZ,9f58a808-a2e0-41bd-8237-4e040b444fb2,
Vagif Sadykhov,AZ,80c32788-a441-42e2-8a1a-b5caf871fba8,
Elxan Mansurov,AZ,2c237314-bc14-430b-9ec2-8d038270dcf7,
Anar Tağızadə,AZ,e7cfb16a-0990-4b2f-87cc-78406d0e2691,
Rauf Hacıyev,AZ,d6b9db43-b26e-4df1-b4bf-790360a74e0e,
Arif Məlikov,AZ,d1da7e23-38cb-4c40-b334-15bf3eabba3f,
Niyazi Hacıbəyov,AZ,029bdb24-5b7c-49f1-991e-13ecca113314,
Eldar Aliev,AZ,bcaa6052-7bba-4060-b978-92e8424ad849,
Dihaj,AZ,12beb946-0909-4140-8798-1fcbf78aa8da,
Gaya,AZ,b2eddfa2-085b-42bf-9919-143caccab7f2,
İlhamə Quliyeva,AZ,e030d546-2b51-4f3b-985c-05ddb879ccc3,
Yusif Əzizov,AZ,701c116f-9faf-4ce9-a03e-98a9e9bab5f0,
Ağamurad İsrəfilov,AZ,bc0e6c15-621d-4714-ad3a-0856def267db,
Erkin Osmanli,AZ,73242d4e-52ae-4e2a-9310-6d080da4c8ec,
Fiza,AZ,6da3dc03-ab92-430a-b6ee-5e79a0f53306,
Ibrahim Babayev,AZ,6fa55267-f4ef-4978-9d06-2b67cfe6d55a,
Aşıq Altay Məmmədov,AZ,ae6fa096-f94c-4991-ae51-941dedf4c382,
Mirjavid Cəfərov,AZ,6b3a5fc2-4543-4175-a617-3d3990bf31f4,
Sona,AZ,ec547b88-816d-455d-86d6-dea791805bcb,
Kamran Kerimov,AZ,01465852-c998-4b87-8566-1fdba919d939,
Mircavad Cəfərov,AZ,f836c4ae-8ad1-4f91-a958-8239c779667b,
Shirzad Fataliyev,AZ,086eb4d9-cec6-4823-bc16-56ef488274f2,
Arif Malikov,AZ,7cd95d94-cfe6-49ba-ba25-bdba98de272a,
Midnight,AZ,a5371886-39b1-47b5-ba51-86ba37914365,
Fidan Huseynova,AZ,bdf3b4b9-6bff-4784-ac6d-6f59073b0e45,
Faiq Ağayev,AZ,520c7676-642c-4b63-aca1-46bc3b050c6a,
Şeron Qrupu,AZ,32c0ccc5-efb0-4862-9a36-a1fdda0e4adb,
Samirə Allahverdiyeva,AZ,9bfb30b9-6514-4c74-b6fc-64307831d53e,
Eldar Qasımov,AZ,dfbafb29-8d68-4fdf-b4d5-1bc5f7f970e3,
Samir Bağırov,AZ,e63c815f-9824-498c-926d-17b3e19d6b0c,
Səməd Səmədov,AZ,731b3c80-9582-4381-96e0-51e73a61ec9c,
İlqar Muradov,AZ,aee9422f-7727-4a27-beec-29e76c396a5e,
Faiz Guseinov,AZ,64bcfb8f-4f92-4ef4-9815-5e0e63f93a49,
Elnur Ahmadov,AZ,615d5a04-18f8-4352-a5da-07adb98a7bbf,
Aydın Əliyev,AZ,4b34de01-056c-461a-b4c4-d3fbe938e1c7,
Aslan Quliyev,AZ,71ae5ad0-78b7-4946-b2b4-c3616e79bdc8,
Arazbarı Balaban Qrupu,AZ,7dab0c39-8e47-4b85-bd5b-dc949b51097a,
Bülbül,AZ,0037db1a-32d9-4f96-abf9-f37c7f4a83ec,
Albina,AZ,f31ae89e-a25e-4273-8fce-f810d1fb7185,
Ağadadaş Ağayev,AZ,d76fb2d7-18e2-48d3-ab45-af04b6301507,
Rovshan Rzayev,AZ,0ffcf0a8-bc49-45c9-8fe3-fc0368f85b4c,
Faiq Sücəddinov,AZ,a812db1e-818f-4b52-85f2-6b1b2ac3806b,
Elnara Ismailova,AZ,b482d9fb-8b49-4548-92f8-7695d7b37cfa,
Arzu Əliyeva,AZ,d0fa010b-f3cd-4e8e-87bb-683fb27f7762,
Aygün Bəylər,AZ,ce0cbc62-8292-4ae5-86d8-47eebff7e9fc,
Yaghoub Zoroofchi,AZ,8ada2740-f957-4736-b63a-17b85a799bcb,
Rafael Asgarov,AZ,cf3492bb-5c14-4447-a71a-005992831bed,
Məmməd Salmanov,AZ,bde7a37f-e3f6-402e-9684-0f9638b0f91e,
Said Rustamov,AZ,089024cd-ad53-4203-a32a-3f9b1f1beb80,
Rauf Islamov,AZ,ddba7361-0d05-4bd3-a24c-aa20a190521a,
Ali Asgar Mammadov,AZ,40448a66-c5f9-4679-954b-132458866f62,
Ruslan Agababayev,AZ,43817cea-d115-4a75-a318-edcc840ff28c,
Aygün Bayramova,AZ,47e94d33-198e-4d02-aa6f-4b0e9079b6c6,
Güllü Muradova,AZ,7a59a3d7-11ee-40d2-8616-63b4835c9c67,
Habib Bayramov,AZ,3c3f48a2-80af-477c-be2b-6d0ee963d9f4,
Nəzakət Teymurova,AZ,e72668c4-4dd3-4616-ae73-084b062976bd,
Gülyanaq Məmmədova,AZ,f1edbc95-10db-4b02-b724-ffffb016a7b3,
Mirələm Mirələmov,AZ,0f7c0659-79d5-47d2-bb92-0cfe161a7846,
Babek Niftaliyev,AZ,70a0137a-122c-4494-a82c-458c6ba0533a,
Mənsum İbrahimov,AZ,3ab7756f-731a-4f24-8c25-d32e8c743f1e,
Arif Babayev,AZ,1bd610a3-6f67-4989-9e04-debcb87fb2b3,
Nəzrin Vəlizadə,AZ,35efbdc7-0a69-4cf5-8ec5-55f2f026ed82,
Faraj Karaev,AZ,a925bc9c-f61c-47d8-939e-a6a3dc936f80,
Faraj Karaev,AZ,a925bc9c-f61c-47d8-939e-a6a3dc936f80,
Həsən Rzayev,AZ,0827850c-e57c-4607-bd72-6673de0c2596,
Omarli Kamran,AZ,7a4fc306-b729-4491-bcb1-0a1d6a27e873,
Soltan Hacıbəyov,AZ,afe403a9-27f4-4760-b18d-8e033540ec48,
Oqtay Zülfüqarov,AZ,66615cb3-8a11-4709-9577-f60e6e3d21c8,
Elmina Hasan,AZ,6852a82f-9a4d-4667-8aa6-247675107df3,
Magsud Ibrahimbeyov,AZ,248837a6-ee4d-4347-9968-6e3798e4312d,
Eyyub Yaqubov,AZ,bea0e393-6adf-4899-a4f3-26d57a31c58c,
Abeezz,AZ,04318ac5-f863-4485-b4bb-cf31c062a4f4,
Break My Silence,AZ,c53e7327-c51a-45d4-b396-2797351cb6b6,
Evil Decay,AZ,f5e137bb-6362-45d6-a832-e57cafbf430f,
Джанали Акперов,AZ,d762b120-d7a2-4634-9209-514f5a6be8fb,
Leonid Ptashka,AZ,cd6c3ed0-09e2-411e-aedf-5234c4b8955c,
Void,AZ,5df3ef8b-daa1-4851-9d50-5b4301231b07,
The Nails,AZ,a7ce8767-2eef-4ffe-8c4c-94361026acb5,
Vozmezdie,AZ,880d73d4-57ff-4a72-8301-331e03ed7578,
Anar Nağılbaz,AZ,31e073d8-f786-47bb-b6d2-d6860184a7ef,
Aşıq Zülfiyyə,AZ,9f8d6df4-0279-4f3b-956f-03162032783c,
Aligee,AZ,921bd8a2-b24c-4307-9248-0819a8256582,
Fatal Nation,AZ,f9655c72-3830-4b13-af69-58197a191b6d,
Gatteria,AZ,6bf46e8c-78c3-4b03-bd4a-46ac2a5359d7,
Isa Melikov,AZ,cbc33576-2af5-46ad-89ee-8c3194578212,
Rustam Ibragimbekov,AZ,fc1ac5c0-3c10-47f7-b0b1-8cfa050f74ec,
Cəmil Məmmədli,AZ,b36a30c5-bc6b-4cee-8d2f-6468cca5c1c2,
Cəlal Qurbanov,AZ,f32aa3e9-3e63-4387-8622-6de231dde9a4,
Vahid Əziz,AZ,23485ea2-876b-49f2-9eab-53ca63f82552,
Gövhər Həsənzadə,AZ,8d42ec29-74ae-40d6-96bd-d1bca4a8b313,
Ayşen Mehdiyeva,AZ,490a7252-9bac-4500-997a-ef3f419e4439,
Alieff Green,AZ,b21db2e2-8229-4ec2-9b91-49c98ab80709,
Lalə Cəfərova,AZ,956cdf26-f664-4621-a585-2392d3f34b6b,
Tələt Əyyubov,AZ,fb35d460-4704-415e-b34d-deb94ca1c4cb,
