name,country,mbid,youtube_channel
Hari Mata Hari,BA,0dd72c0f-81a5-408f-b27d-3343c12d6b91,
Crvena jabuka,BA,e46cf239-77ed-4aa4-a12a-17264f747935,
Goran Bregović,BA,883ece23-2779-4091-b527-62eb07ee79d4,
Lepa Brena,BA,9b0f6048-5f17-4c2e-9530-71d521979f65,
Damir Price,BA,f8a576e0-18d0-464a-8d3c-c10898024abb,
Safet Isović,BA,4be1b996-828d-44d4-b58b-7738214d19c0,
Zabranjeno pušenje,BA,2d894992-3b83-4718-9df9-2a48323b1967,
Divlje jagode,BA,be5c9a3a-95f4-48d0-b014-97a8bca09756,
Plavi orkestar,BA,0257566f-db68-44e7-baad-e23e38e28a98,
Solomun,BA,dff718ca-db66-4ce5-98b3-9585935b3dd1,
Saša Stanišić,BA,8a95e097-e926-44d2-a77f-e50397ccc115,
Indexi,BA,ba2af009-8d68-4624-bfa9-de00c5d913bb,
Edin Karamazov,BA,a472827c-096d-423a-998c-65e9b6440e14,
Jadranka Stojaković,BA,57e0f2c8-5387-41bf-84be-9341d9c5c2f9,
Alen Islamović,BA,20bd7647-2495-4dd9-b0b3-469790e1bd9b,
Billain,BA,0fdddab4-4aa2-4e59-9789-210af9aae3f4,
Kemal Monteno,BA,9b2a0c09-09ad-49d7-9a3c-74cfdc50521b,
Mostar Sevdah Reunion,BA,7a432caa-44ec-4713-9c4a-d3390565eb77,
Beba Selimović,BA,52c9cb6e-1a05-484c-b73e-10d6424da805,
Dino Merlin,BA,ad28e34b-51f4-4ce9-ac33-1b79ec2c0c76,
Dubioza Kolektiv,BA,8ba46d6a-ed97-4e05-b946-85a8ef93e688,
1389,BA,ab300d0b-02b0-4468-9441-92b2eb73ea71,
Frenkie,BA,7e76fb69-f8a2-49db-aed1-e7b09e3aec4d,
Necrophilisma,BA,4516ba54-1b04-41ee-b491-f934e30c411d,
Baja Mali Knindža,BA,93b43ff8-e606-4a2c-a399-cfcb0a2c5dfa,
Halid Bešlić,BA,c87a8980-045b-4491-b085-c682c82cd39b,
Saša Matić,BA,e3702c12-e490-4795-9c5f-ea17cced1e65,
