name,country,mbid,youtube_channel
The Merrymen,BB,45f715bb-d51c-4ce0-81ca-1d864e3c7c3f,
Rupee,BB,72cbb076-2053-4649-ba52-eb4fe8826dd0,
The Kadeem Ward Project,BB,5f5eddcd-8802-407b-9294-b120b2548311,
Shontelle,BB,cfb2b49e-a921-4171-b089-853d9fc16d2c,
Cover Drive,BB,f2ccc8d0-1144-44b5-8d9a-4bcc5e0ab140,
Square One,BB,e071c122-753d-4fb9-8012-43b6e374af79,
Jackie Opel,BB,e2ac8c06-b7f4-45d5-bb5d-480c8b3c89f2,
Alison Hinds,BB,4b03d5b0-e5e7-4ce8-9fbb-e09fc17f45f6,
Charles D. Lewis,BB,f9d0984a-03a9-4f9e-ad7b-8fdaf2a16baa,
Krosfyah,BB,849d4cc1-1bea-4d4e-8ffc-95865153bb19,
David Kirton,BB,d13825fd-d4f0-4739-a977-2d9e4b4edf6b,
Luv Machine,BB,8a1e6461-7b7f-43f4-afc6-674081927c0b,
Livvi Franc,BB,472dc0a5-8212-4469-9194-95c52e5a32ff,
King Bubba,BB,37afeeeb-56a1-4aa9-aa92-837be8483ca0,
Jaicko,BB,48010347-acda-4cb8-b79f-72f1c6d0f1a9,
Spice and Company,BB,f6320099-87d3-4f2b-9639-e1c48560f903,
Gabby,BB,b3375704-423a-4437-be84-51c3dac2983f,
Miss TC,BB,335c25f8-78c1-4b26-9961-32e817fee9af,
Conrad,BB,5917881a-af95-4568-8bdf-9c73b9575d03,
Darwezy,BB,9af7dbda-7db6-426e-a8e2-813c44c05824,
Arturo Tappin,BB,e3067d7d-7096-4f61-a260-f22fb5f0a8cd,
Grynner,BB,74f2fddd-2103-493d-bae1-9575643041cd,
Joseph Niles,BB,f8a0ed25-dc91-47c2-82f7-5a4be4ec43e2,
The Draytons Two,BB,eae7b6af-91a1-4ecc-9c3b-8c2d6197abc4,
Amanda Reifer,BB,9d7a44f1-ec57-4d36-a9d3-a665c69d19f0,
The Consolers,BB,67157a30-ab42-4e5c-ac38-9325cceb5f0c,
Viking Tundah,BB,b85ce5ab-74e8-451d-8de8-5bac8727e25d,
RoRo,BB,424db988-ec9c-457f-9da1-9eac1888d272,
Anderson Armstrong,BB,2f437dae-d443-4929-a431-8f980e9084e0,
Barbados All Stars Steel Orchestra,BB,da9acd0c-7868-4839-9199-0e3355b6a007,
Organization,BB,abd21d4b-fbcc-46dd-b53b-e39599574326,
Indra Rudder,BB,a5c42338-02cd-41b0-a659-42d4523587ea,
Red Star Lion,BB,15e375cd-4c65-4270-8cc5-d6c461fa4df7,
Biggie Irie,BB,22a2f902-2fd1-468f-81a8-122a2376b294,
Red Plastic Bag,BB,6514f3e1-9cff-4502-8a0b-6389de9d96c7,
Neesha Woodz,BB,d16abc4a-6daa-4e7b-8883-72403d4bcdec,
Hypasounds,BB,740c8b4a-a4b9-4fe5-9aa0-150d798acf42,
Kingservant,BB,de2665de-2f7c-4a43-8244-d002dc8d0cb9,
Blestina,BB,d521a8ca-996f-4951-b6aa-8fee3d7411da,
Tboptpias,BB,698358ef-6b73-4b3b-9c71-208fd791756f,
"Bert ""Panta"" Brown",BB,d5a052f9-71b3-4bae-8fd4-2be77c2c354a,
Barbara Hernandez,BB,b823a9e7-8e69-4e70-b497-15c6636e5248,
Sherry Ann Maughan,BB,5448c669-9387-482e-95d2-a69449fc80a4,
Director,BB,c7d3eb2c-0de1-4818-aa5c-d3d3ef7cafc3,
Glenworth Joseph,BB,99d94017-ec70-4089-b167-45d366ace321,
Nadine Tull,BB,b9369571-bb88-426a-af66-72d08c3d86bf,
Khamaal,BB,6a071995-247a-4b78-9ab4-7f07cf64be4d,
Mikey,BB,7d09d2cc-78b3-4baa-afc4-98659efabeee,
Nick JR.,BB,a4a98161-520e-489e-ae3f-89a76af53d66,
Karlos Cobham,BB,3151a9d1-a939-4109-a99c-586f08dfbaa7,
Excellency,BB,2351ece5-044c-47ad-8f72-f8134af307ba,
Rhea Layne,BB,e7e44de9-3823-4210-8556-d653f24e18a3,
Snakey Dan,BB,dbe6d563-0b3b-46cb-bd33-c27895f03d65,
Kristen Walker,BB,0b8aba8b-c3aa-4841-af91-95f3171c5867,
DJ Ky,BB,b2247c52-f3ab-45ad-b46c-7f59c5f08eb2,
Legend,BB,c2696976-3665-4089-b1c2-4eb58bb33aa8,
DJ Puffy,BB,e7be929b-2906-4b97-8362-6dc67dabf907,
Mistah Dale,BB,c68be025-3c62-4e26-9309-2ac93346e6dc,
Nicholas Brancker,BB,7ae6ee5d-9413-46db-a128-d8fa166ccdb2,
Magnet Man,BB,2d66b64e-50ba-46bb-afdc-95b325221333,
Omar,BB,09778ed7-abed-4d9a-8125-39bb55b6d9ef,
Hal Linton,BB,da4ff4e0-7970-4098-b307-12ad1970ca4e,
Jehan,BB,cf879f15-3bf9-4435-a8c5-a7d9dab7a68f,
Richard Stoute,BB,f1a64ea5-07cf-4948-80b9-2cfc560d6dfa,
Cavite Chorale,BB,4d684161-31c7-4fea-8d0a-b111315077b4,
Aubrey Cummings,BB,025f1ef2-db14-484c-9c50-671ae52ba02d,
Dave Wilkins,BB,6103a688-70d9-4b43-a4d9-85b9cc994f78,
Nazarene Silvertones of Barbados,BB,cd13005f-b3ab-4bd4-9523-6c88a4a9cc2a,
Jesus Army Productions,BB,9da2dd4d-b63f-415e-9a12-d289a9748d68,
Royal Barbados Police Band,BB,4d95be24-5ac0-4635-a8b3-5700a8ceeef3,
Michael Paul Welch,BB,de1818f1-34bf-4e70-9417-ca1a0fadaf6a,
Barbados Chamber Orchestra,BB,f56697ef-0f39-44f1-ba7c-9a6ce4b8549d,
Barbados Defence Force Band,BB,d1466796-7f48-44f9-b666-7d07bea2c728,
Shane Forrester,BB,647b7b23-03d8-4d92-9f00-3cbf5c3090af,
Lord Radio & the Bimshire Boys,BB,7a582091-af8c-4f23-9ddb-07e768ed6504,
The Silvertones of Barbados,BB,2e97cfb0-4fc7-49d0-bacf-14d9a2be1627,
Forty Legs,BB,ae3204ab-73c9-4544-8570-4a1df347228a,
Schofield Pilgrim,BB,846caeb5-79ed-4d60-9da4-cb336f77af63,
Terry Bellamy,BB,d02eea09-2716-4d39-9bb6-ccda020f8932,
Ebe Gilkes Quartet,BB,09e9f464-f61f-455a-a8d1-519ee63c1617,
Sean Jackson,BB,331f29f0-6448-4188-9885-8aaa0c4d7e42,
Corey Worrell,BB,6fdbcac8-c79e-4b46-acfe-7db0e32705f5,
Anthony Kellman,BB,56c636eb-3ecf-4bed-bfb6-ec3e2b8f8174,
Shirley Stewart,BB,6012ac82-3dcc-462d-8fa5-c3a57a274ead,
KDB Band,BB,e9397c9b-e02e-459c-a8a7-ed9220254243,
Third Stone,BB,120f53d5-eac1-4205-96a8-25b2fbaa5e7c,
Rebel Union,BB,e4cbcbb3-91aa-4d3f-9721-699466fae4e1,
Black Amali,BB,0ae1ad1f-40b1-42b7-bbfc-aabb682e7c35,
Hal Archer,BB,78d8d04b-759c-40c6-b22d-ddadfb534f6c,
Faith Hoyte,BB,22c7f9c1-409f-4338-934e-84ebdb504173,
Chris Allman,BB,8a8a4637-0ed1-45fd-bfa2-8529456cac29,
Waterford Music & Cultural Society,BB,e52090ff-2819-428c-83e7-a5a5595c8a44,
The Escorts International,BB,f44ab422-b24d-4963-963b-bf90c41ff4ea,
Emdeka Anubis,BB,73c9b29c-e834-4af1-b087-810c86788a67,
Phillip Brennan,BB,73c815af-375b-46de-afde-f471dc2e21a9,
Mallevs Maleficarvm Experience,BB,4efcde26-62d6-4a5c-b38a-32439475f6fd,
Standing Penance,BB,848b7c75-56f4-40d7-9ffb-4a79684f869e,
Cecil Riley,BB,ef441f1c-30f7-4668-9cf0-fbb8382f24b9,
Omatali Beckett,BB,4aa264e2-f71b-493f-9cb9-8fcfdf1eef09,
Terry “Mexican” Arthur,BB,a5bf8790-5632-482e-baf9-b7a1f5735b49,
Mickey Hulsmeier,BB,501d1ed2-9102-48df-8ede-046333c5f2c4,
Cecil Riley,BB,ef441f1c-30f7-4668-9cf0-fbb8382f24b9,
Omatali Beckett,BB,4aa264e2-f71b-493f-9cb9-8fcfdf1eef09,
Paul Slater,BB,79aa6304-8ba1-42b4-849b-eb905d5d6242,
Peter Coppin,BB,151d3f50-38ab-4e5f-8568-340eb6236e1d,
Phillip Brennan,BB,73c815af-375b-46de-afde-f471dc2e21a9,
Mycelium Ghost,BB,15a62e67-bbf1-46ae-867c-dea08d0ca9f9,
Paul Hanna,BB,744d41e2-1056-4dd4-991b-1f7cb7780779,
Conrad,BB,7d0499e3-1183-47df-a5a5-c9135a4f57e5,
James Lynn Duncan,BB,2fd9a8bd-3912-47ef-9df9-4761b6a97c81,
Kamau Brathwaite,BB,448b87bb-2818-4ad7-a151-ac1b8bfefa97,
Herbie & the Royalists,BB,62800f84-3035-475b-a07a-4269113b4514,
