name,country,mbid,youtube_channel
Agathocles,BE,4a2e0104-e6ea-42ec-9399-1f670418c134,
Jacques Brel,BE,91eda19b-1437-42cd-b7af-69df24b7f275,
Adamo,BE,d3132eab-36d1-476e-a736-cb6dbb08a4a2,
Will Tura,BE,bf46f24a-91ff-4e0e-b4a6-4d95e42d0858,
Wim Mertens,BE,bc2fd8bc-91ea-4b7e-a52e-d67bea5c0313,
Front 242,BE,8fb6c00f-61d8-4f27-98f9-53e1ba481626,
Technotronic,BE,62173ce5-37ef-41b1-86cd-45401a8955fc,
Bobbejaan Schoepen,BE,0f272089-81c4-4b83-8c93-a90ac88cf81a,
Vidna Obmana,BE,3211fd9d-a5b6-4413-9782-4fd01825919c,
Frédéric François,BE,ceb214fe-a6a5-49c3-a665-0a7f329b0c13,
Hooverphonic,BE,62dc94cc-f611-4345-87cb-b914796a4a45,
Suicide Commando,BE,c37412cd-f0cc-4507-8825-48f95aef3624,
Toots Thielemans,BE,20404789-b0f3-43de-bbe1-f4fe39e83e87,
Lara Fabian,BE,7a1daf7f-b972-4808-bc03-2e1e3a79dce0,
De Strangers,BE,d6cd01e6-e143-42d7-a46e-196a6bd5ea4d,
Milk Inc.,BE,67bb73ee-e70c-4bfd-9bf1-e7a09768f9a9,
Julos Beaucarne,BE,d2db2cdd-d3bb-4cab-a2e7-32826992469f,
Rojinski,BE,dc868b96-d4c4-48a7-9987-efed16fe8123,
Lost Frequencies,BE,ea7260de-e1b1-43f1-bb11-f78274a36308,
Kate Ryan,BE,89d746b8-7d18-4baf-8cee-659b07771568,
Raymond van het Groenewoud,BE,ba6f20f8-d777-44d4-abd6-4fcb840783a3,
Push,BE,1b9e6350-f7f8-483f-9917-a8c9fcf52e99,
Sigiswald Kuijken,BE,8dde51e7-de48-4cfe-9904-7b8af564f2ef,
Francis Goya,BE,b555b016-d03c-4fa4-8c2e-eafff7d94ae9,
Yves Deruyter,BE,2c028a5b-f873-4638-80fc-002b2c9b484f,
Clouseau,BE,e24a10ec-55b4-408e-858a-3d348e5fa47c,
Paul Severs,BE,5fd1b27f-4f1d-44b9-90a1-ee1e9e7ee219,
Praga Khan,BE,56cf82d2-fecc-4bc4-876d-aea841f74e77,
Dana Winner,BE,c136759e-c98e-4dc0-b5d2-1922943da8a2,
Philippe Herreweghe,BE,411bdab3-0606-46ef-81c6-92390211fc6e,
La Petite Bande,BE,1ce79c93-e3c5-42c7-b09e-6b43a2d1fdd2,
Urbanus,BE,def73d8d-9241-48bb-b7d0-19bf7c6a7fe8,
Vaya Con Dios,BE,3f31e084-41f5-4a74-93e6-19bdafcf237d,
Airwave,BE,def65e2b-b632-4fef-a375-584ffe07dce9,
K’s Choice,BE,9bd1e632-b17b-4842-b520-ddfce3b538b9,
Het Geluidshuis,BE,ba260791-fe4d-4167-9fef-b92b57c07539,
Implant,BE,f99eac6f-8b24-42a7-87c8-f432a927a9cd,
Lasgo,BE,361b282b-c7ac-4c50-a115-cf54e9e788f7,
René Jacobs,BE,47ba9b5a-a059-4bf5-a7b8-803b17145b92,
Ian Van Dahl,BE,9fe4e32c-f2fa-4c06-877e-b827e95c587b,
Sylver,BE,b910d27d-dc4f-4f2e-9a10-43057eb96a5a,
Annie Cordy,BE,40cc2c66-28c5-4552-b174-2daeee7da1a5,
dEUS,BE,2d0ec174-2bff-4f46-ae1b-dfea0ed9391c,
Lords of Acid,BE,b0e81c40-ea89-40b9-95b3-e63d5cad5e67,
Eddy Wally,BE,107d1f88-8136-49de-b590-140499ae875d,
Arno,BE,03a82b66-d021-4754-aca2-399d51ee6199,
Soulwax,BE,68ec1b08-3c2e-40b3-b0af-8f323743fdff,
Dive,BE,fdefb292-50fc-4794-b36b-14be4c1d46fe,
Maurane,BE,f08c24b5-3374-42b2-a255-f27345cbd002,
Junior Jack,BE,e96ab876-83bc-4f5d-98da-91dc8589acbc,
Helmut Lotti,BE,ed0d833d-8a7d-4475-afa5-58ed5b49c316,
Lio,BE,2793d3b1-9210-44b7-93fe-4c4005064e76,
Axelle Red,BE,2334787c-a3d6-4dd2-a9ef-9c02b35e7485,
Johan Verminnen,BE,1c5e78bd-933e-4004-841e-a59e7f7d89ee,
Scala & Kolacny Brothers,BE,1dd13698-ce0f-438e-85af-d97cdd967056,
Ozark Henry,BE,9b78890f-9f89-48a5-924b-efb99d802496,
Jo Vally,BE,b98f4737-76ab-42b0-822f-dd182b25c150,
Huelgas Ensemble,BE,393ec3fa-66f4-4f34-b181-0e3e84232f41,
Telex,BE,b5a6b147-ff97-4f12-928b-25588d20e2b0,
Willem Vermandere,BE,ea1bdc4f-1172-4085-864e-491ae5c54811,
Bobby Prins,BE,f5959a94-d3d7-4865-a1b9-64ac8e59a4fe,
Basto,BE,44e38089-4f9a-4fec-911c-9cf99e5bb698,
Kapitein Winokio,BE,cbf9d9f7-3c58-4690-834f-e126e94c7184,
Absolute Body Control,BE,d917571a-237e-42f4-961c-b9dde53fc76b,
Marco Bailey,BE,32a821fe-7e6d-4215-a118-2d828d867a7a,
| RG |,BE,45753cf8-f6b6-4a56-84a9-36584820ecbd,
Milow,BE,cf6e878f-4ad1-4b32-a105-f832c69a4f51,
Katastroof,BE,fd5ec9d7-66c2-49fc-8558-6bb8282d3513,
Frank Michael,BE,80943d84-2dbb-48cc-bb98-07f07643bf64,
Dimitri Vegas & Like Mike,BE,c5931849-7c9d-465e-b717-29e2af974c6b,
Eugène Ysaÿe,BE,6df14eaa-212b-4806-833e-4254fa0d6cb4,
M.I.K.E.,BE,c9dd9303-6a47-4677-85ff-552693d3d857,
Collegium Vocale Gent,BE,95790653-fbba-495b-8701-c857a815880d,
Philip Catherine,BE,fb819206-21d9-4b80-91e7-233039337da6,
Mieke,BE,0ede8532-8f99-44d6-bbb8-910fdaf767ce,
CJ Bolland,BE,8ab9a62f-b8e6-4719-8e0a-0f9ea94b1955,
Vive la Fête,BE,ef6a8aab-9dfe-46ac-a225-67df4601ad69,
Belle Perez,BE,e889cbb6-fca8-43ba-a755-f0c8940032bf,
Wannes Van de Velde,BE,39afa87a-c04d-430a-ade1-25cd0895c16e,
Paul Van Nevel,BE,be09216a-f1bd-4bd2-812d-616a5464e055,
Psy’Aviah,BE,a000f146-474d-49b8-92e8-1fdc5ded793e,
Samson & Gert,BE,1f5a99dc-5260-4abb-9f70-4d3a33e965c3,
Klinik,BE,eb5a1cc9-fe82-4a39-84c3-c52ffb7a1b20,
Aborted,BE,5e13f1c0-6648-430d-92e8-6435119b0036,
Ah Cama-Sotz,BE,e8e8538f-859b-49e1-b4fe-fefb478e355e,
Stromae,BE,ab2528d9-719f-4261-8098-21849222a0f2,
Bart Peeters,BE,6cbddeda-39b0-4d89-90e1-b2f21295b3d0,
Liquid G.,BE,a8dfbbef-a9e5-4499-9cca-bcf0d4905a2e,
Chœur des moines de Chevetogne,BE,8c1082a8-7a6a-478d-8d1c-c9131b232b1a,
Marc Dex,BE,4de61852-0ee2-4a28-b723-b921a8f4f7a5,
Netsky,BE,587fd8ec-2e9d-4ce6-8bc5-97d0a9334883,
Willy Sommers,BE,e0cc44e0-e112-4a52-bdac-177b7cfd747c,
Buscemi,BE,92205d28-0090-4a64-8fa9-592e366d2cbb,
Coone,BE,8ec5439a-ff50-4b0f-9e75-fc3e517e75ff,
Dirk Brossé,BE,801cf63c-627f-4a6a-8728-bc67f50e90f5,
aLTERkRANKERmANN,BE,bf0194f9-9b63-4a44-969e-afc52a45e175,
Hypnoskull,BE,b100f580-e137-4515-8907-0a8dc90e9f14,
