name,country,mbid,youtube_channel
Amadou Balaké,BF,92adfa77-ea65-4af8-bb73-ea458bf77dfb,
Farafina,BF,61e74161-71e4-40d5-bfc0-61313f276d43,
Victor Démé,BF,3e60a800-54cb-406a-9c63-83815281b206,
Adama Dramé,BF,6122b0fc-b8c8-43c3-b146-05e24ce662fe,
Zêdess,BF,c7cfd23c-5758-4e1f-a0d8-b5cf11f572b5,
The North Sea Scrolls,BF,66c8e3c0-dbf4-429d-9bff-7b53acb0eaeb,
Hermas Zopoula,BF,4de69e4e-b706-494a-b12c-6faddb428d59,
Volta Jazz,BF,de80b212-9109-427a-a121-fc7dd5a481e1,
Burkina Electric,BF,07f1311e-8b1e-4098-8138-bc88c46cc22d,
Baba Commandant,BF,f6467a79-b431-4ce4-be1a-247ad60acbc7,
Kady Diarra,BF,37328932-b192-4283-8e5c-ed87dad52926,
Gabin Dabiré,BF,99421efb-39d9-4426-8810-05483af021f9,
Alif Naaba,BF,e055ad68-3561-48aa-bd5b-59becf419b36,
Koko,BF,956bbca4-49df-4fbc-a621-02b055da75df,
Badenya Les Frères Coulibaly,BF,86141d24-7664-4d5d-b901-4b1aa29dbc64,
Bil Aka Kora,BF,eb9dcdf6-5003-47e0-9dfe-ebeccb13965d,
Salif Diarra,BF,25a34e24-acba-4a21-8948-b5b42a29cc42,
KPG,BF,e24e18d3-d592-49d9-b577-559c4078716e,
AMA,BF,3e761b90-bc60-4167-8d9c-c9030674c92e,
Simon Winse,BF,6fe3fda3-37f3-4a7c-beff-ad8dc5535311,
Sofaa,BF,25a879e8-d5e8-4422-979e-aead19da8f66,
Smockey,BF,44d43895-7abe-4624-bf0c-b5c981a13792,
Floby,BF,5852dd45-e65d-47ad-b0e8-8c2f70432bf0,
Abdoulaye Cissé,BF,da76581c-099f-44c6-9b0c-b79f6a0dac1b,
Kambou Smaïla,BF,9da97210-86f8-49a9-a1ce-3caaae83f20c,
Kambou Olo Sankoné,BF,cdc81bce-9104-4cab-bd9c-f54c37268ddb,
Kambou Belhité,BF,2b607560-04e6-450f-9950-6ae4b42fc1b9,
Massa Dembele,BF,86a9ecbb-81e1-432d-9716-571f0bc11242,
Super Volta,BF,bed82296-46ab-4775-bcf6-23120d5a0bb7,
Yeleen,BF,05d29009-9abe-41f8-8acb-bf971906c126,
Smarty and the Bolo Benn Roots,BF,0736b996-5a8a-40f2-8147-480a3dfdb034,
Alphonse TIAWARA,BF,f7bd2386-e8aa-491f-b93f-cacd52563d73,
Big Desal,BF,ccd28245-2128-456b-8230-a1795c0d78de,
Joey le Soldat,BF,2dcacb03-f0ea-44a0-b0f9-b285b4ab5cf3,
Suprêmes Kombemba,BF,f49eb1f8-b8af-46bb-b951-28542d41d2f8,
