name,country,mbid,youtube_channel
Bulgarian State Radio & Television Female Vocal Choir,BG,80fb9c75-af15-4a6b-9528-715f9ef4ebea,
Лили Иванова,BG,ab634a19-20e3-4801-975e-a230f899af8a,
Borislav Slavov,BG,ec62bda5-4563-4db4-bdb7-9ab6bde8f29b,
Борис Христов,BG,5306aa52-87a5-4216-8cd7-a1fa2470c550,
Alexis Weissenberg,BG,3853264a-83d9-4197-9de3-c0157a9f7266,
Funkware,BG,6a91effc-b211-4c09-a776-c19528f6b26c,
Dimiter Inkiow,BG,552b5b00-9134-43e8-9fc2-e57be8d89121,
KiNK,BG,38bf7ee7-dac2-4aeb-a86b-73c3685d711e,
Глория,BG,8acd6257-aaf2-4a58-b00f-1b5103c39284,
Панчо Хараланов Владигеров,BG,469c4b84-5d83-4975-bc7c-7cc1bebbbee0,
Слави Трифонов и Ку-Ку Бенд,BG,dc9fdd4b-0d9a-49d6-b79b-dc500cd7f7e3,
Ивана,BG,216ff3df-6555-483b-81ec-1180e00c7f34,
Gena,BG,5d2deac3-ef08-440e-be4c-8246c7d97a7e,
Азис,BG,797ea961-54fc-4ed8-bfd6-f8ead7e7c44e,
George Strezov,BG,7721fc62-d400-4d3c-ae90-8ac710a5f829,
Емилия,BG,cc25adb0-13c5-4bb2-8894-0970c078a477,
ФСБ,BG,39d686fb-debb-49c7-ba2e-09af2fddd9c9,
Щурците,BG,e5c557a7-2d64-4da4-b97d-4061104f5563,
Sofia National Opera Orchestra,BG,4049bed9-595e-45d0-ab73-8e435bb5fab2,
Cooh,BG,b2a57736-3cdd-4dac-afef-ba6f8a9270cd,
Мария,BG,d86ba505-a14f-445a-a679-cab927768206,
Екстра Нина,BG,169910df-36ff-4fe8-a5ca-8f6b697dc21b,
Петър Дънов,BG,b67b4603-b5ff-4afc-a6b8-72cc83ca9554,
The Bulgarian Voices Angelite,BG,fd6afd7d-7c3a-4c0f-8758-b7087ae2a77a,
Софи Маринова,BG,e4951664-69c1-4432-a898-5558f47aa695,
Sofia National Opera Chorus,BG,f8ed9c8b-3848-4436-8c78-371c3b46955f,
Esem,BG,151615c8-9095-4041-bfc6-2ff44badb813,
Софийска Филхармония,BG,b8a27549-acb7-437d-bb04-3a5211546591,
