name,country,mbid,youtube_channel
Osiris,BH,d096fb46-bbb5-4c89-9265-67e51f4fb8f7,
نار جهنم,BH,ecb1c18e-1cb4-4f57-9faa-0e68bd84b79e,
Smouldering in Forgotten,BH,9c3df018-14c7-4e65-9fce-770d32e92add,
Sarah Haras,BH,4b618e15-e683-4a08-b3d6-6e5c947423ef,
Flipperachi,BH,d54cc6e7-97d7-495d-b92c-4f5f454507e7,
Dhul-Qarnayn,BH,2137cea6-82dd-44bd-bb96-501858a65417,
قفص,BH,eb4c773c-365b-4a4f-ab66-0a169745fd40,
YAD Oud,BH,7d5d9222-2f8c-40ab-86ec-5261a7d7b0b0,
Lunacyst,BH,bbdac519-7f65-45e9-9f11-c9ae45aef873,
Dar Disku,BH,319729f6-0bc5-4aaa-8679-3ec1eaae02db,
Motör Militia,BH,b110256e-807c-4747-b62a-5057589f6f4a,
فرقة الأخوة,BH,69cb50ce-f079-463d-bf63-ff28a157371b,
Kusoof,BH,81e4838a-2f71-4336-8782-fe47c72e200c,
Necrosin,BH,26eb3240-f45a-4cf6-85b1-4ef33c1f5fc8,
Mt Sol,BH,f26631b8-9936-4683-bb95-e92b32423bd3,
محمد قمبر,BH,5e99890e-718c-415a-bdff-d9984ce64a01,
AUDEH OverDose,BH,c35091a2-28fc-44e0-8b02-eccbd1444a64,
Muḥammad Zuwayyid,BH,ce083248-0e6b-40b5-946f-59fb02317e5d,
محمد بن فارس,BH,71a2dd9c-352a-4a9c-882c-558662abeaed,
Yūsuf Al-Fūnī,BH,a29ee043-d83d-4713-a602-3d9eb7260304,
Project Synthetic,BH,fd25e78a-8394-4b8d-aa92-1f4e31a5bdc2,
Rifa' Disctrict Ensemble,BH,ed759bf2-235c-4c2e-8e43-e0375fe68155,
Fatimah Um Rashid,BH,53bb02f1-7798-414e-9a18-0e022affc2f6,
Khamis Ben Nafel,BH,51b4b7ec-184d-4d05-b109-45303191c783,
Mohamed Murbati,BH,ee1f2d06-0b24-4281-8ee9-81567fe3b584,
Dar-Bet-Harban Ensemble,BH,4fb173d6-224e-4963-9323-6a14014e4398,
Hellionight,BH,dfe79d93-504e-454d-8eba-7994298622e2,
Muhammad Rashid al‐Rifa’i,BH,bba7fb00-dc06-42b5-9504-5d1d7e641936,
The Pearl Divers of Bahrain,BH,5995a2ea-ef65-41d9-9952-00a8b1ced111,
Saad Ben Salem,BH,1486f543-4130-4066-83e3-5e789b6110d7,
Salem Ayyash,BH,0646ed45-28ac-48fc-9e8d-b04b2b3be439,
Manamah District Ensemble,BH,d6e5728d-13ab-4e10-832d-26a0a5279621,
Ali Khaled,BH,8e1526bd-94cf-4636-8d42-121aa77470f4,
Darwish Hassan Ahmad,BH,7041cc61-61d6-49b3-b33e-8feb63c6a1e7,
Through Sunken Eyes,BH,f4316472-2441-4a49-812e-eaef4a30ed8e,
& The Centurions,BH,92bd672f-2c21-4d9f-8732-efafd78830b7,
عصام الهاشمي,BH,1181df04-3853-4bb9-8bb9-83fbb42e0e21,
Bloodshel,BH,733e7b72-c593-49b0-8f34-33d76313ff6b,
Bloodiction,BH,dd7a2006-4cf7-43d1-b421-f38122ccbdec,
Majeed Marhoon,BH,41235593-bb4f-4fb0-8069-a2943bde31ea,
Gravedom,BH,3e036d74-0716-48b8-80d5-6f31e1228190,
Set,BH,a034cf97-771b-4cb7-aafe-4bb546eba24f,
سيروس عيسى جمعة,BH,171020ad-86f6-4e45-8660-375c03c91505,
Kamal Rasool,BH,b8b4da5b-705f-496b-94ae-6ee7fee76fae,
Confait,BH,ccbd6a80-77eb-4fdb-843e-538cc486a35c,
Must!,BH,fa0ff6e9-a0bf-4e21-b290-f9adc13b4e60,
Book of Anthems,BH,33863baf-fafa-4df5-8211-a9740b3ce219,
July's Dream,BH,9394b8c1-62a0-4783-a4cf-af76b2d58b0f,
Heritage,BH,de5179a3-7059-43a6-9099-d30bda71c5b0,
Belly of Paris,BH,94916bc8-ff00-49e7-9fd2-b7dabbe302be,
أمواج البحرين,BH,f60add6d-c3e6-4d46-a982-537f089af9e4,
وليد الحمادي,BH,bd8c2af6-313e-4ff2-ba12-1039366b1dc4,
أحمد الجابري,BH,01db3d3d-e274-4298-ae50-3550d9cc6ea8,
سلمان الملا,BH,068c1776-955b-47aa-9e0c-7d0080ab04a2,
هند,BH,29c853e4-d0e6-4a9a-801e-f0012905e7a1,
عادل محمود,BH,536df5d9-c1fd-48c8-8a8e-dd86398d0fe3,
حمد الجابري,BH,8ad7f73c-32a3-4e09-847d-e78ff161f4e9,
حلا الترك,BH,bef2497f-0dfd-4d02-8d8f-05f4ec1f8d59,
أحمد الجميري,BH,09f97d3a-2b14-4c25-bbd2-baa0934dff5d,
