name,country,mbid,youtube_channel
Khadja Nin,BI,1a472ec5-97b1-482d-b17a-9a3d6b3dbcaf,
The Drummers of Burundi,BI,3028b4e1-6069-4cec-82fd-1b6b97423939,
Kidum,BI,3afeabbd-45c9-40fa-9b20-83a6214ec21f,
Ntiruhwama,BI,b976cd57-113c-48ed-9673-db8976044569,
Bernard Kabanyegeye,BI,4f41b71f-c376-4c07-8412-22960378ea7c,
Rtyazo,BI,98e47480-b12f-4392-8c86-eb9c4879517b,
Nsekera,BI,9f559f35-b815-4273-adc0-451434aefb9e,
Daniel Ntakimazi,BI,6cd27e84-1513-4de8-bba6-bce354b7e3e7,
Kdagreat,BI,9e100707-86e9-44ce-b766-c4d50f845037,
Canco Hamisi,BI,21161d90-b276-408d-80e6-ed98ecf3e0ab,
Francis Muhire,BI,deaa1420-4cc1-462e-b2bb-a2974d0be65a,
Mr. MBONA,BI,f39c9655-c5d9-482e-89e1-364b384ffdd0,
Moutcho,BI,ed1c9d8d-7196-479e-91f4-6a926f986c6c,
Alfred et Bernard,BI,c175e7c0-74ef-4936-8e0c-8193fbdc4649,
19th,BI,abce9250-847a-43e6-bc62-598ec646f271,
Hiba,BI,497e0130-fcff-4f86-bc49-69cdc427f8e1,
