name,country,mbid,youtube_channel
Angélique Kidjo,BJ,80fe34d0-6b4f-4ccd-81c3-281ab37f0451,
T.P. Orchestre Poly‐Rythmo,BJ,6e2e4f60-1a79-41fc-892e-47d61edf4569,
Lionel Loueke,BJ,7aa056f7-9a57-4cdc-b856-6aa12c98624f,
Gangbé Brass Band,BJ,2f26a5dd-6807-45b8-800d-c5a9f40da117,
Gnonnas Pedro,BJ,bb980429-1c8a-473f-8a83-3efcec6a43ed,
Gnonnas Pedro and His Dadjes Band,BJ,587a410e-5798-4d76-990a-dd6dd896299d,
Les Volcans,BJ,d9be35ac-8828-4317-ab2f-d865f0c7afd1,
El Rego et Ses Commandos,BJ,b95249e5-f89e-4200-acad-fc1669785a15,
Ferry Djimmy,BJ,d03d1d2c-f44d-443f-85d5-8d277e3692fc,
Tchangodei,BJ,8ef75e5b-0d35-4ab8-bf13-1b1ed8774603,
Le Super Borgou de Parakou,BJ,65a183e4-3321-4a09-8f6d-c5c70a28966a,
CCB,BJ,cd6af97e-0be1-4ef5-ae29-84b1567b8fc5,
Stan Tohon,BJ,7a1b2252-1cbd-4bed-8bcc-bf0163303218,
Benin International Musical,BJ,b7a5e32d-0b39-4124-9134-da3f8db53b2d,
La Fanfare Eyo’nlé,BJ,86d81447-3f09-4efc-bf82-16e31eaeafb1,
Vincent Ahéhéhinnou,BJ,1e636f4d-1ff4-40be-98c5-d2dc4d8b3d33,
Les As du Bénin,BJ,5f8b01f3-9213-4b06-bc68-6d35c6de0013,
Antoine Dougbé,BJ,0535e487-3f14-48d0-8fed-ef63336bb798,
P.D. Symph,BJ,e5b83462-8830-49ca-9184-bea4206416eb,
Yarou Diguidirou,BJ,8b6898f9-d077-40c4-899e-dd997aad61e5,
Mouhamed Baboni,BJ,c3e8c885-12fc-464b-8e92-c6b10b267fac,
Carine au Micro,BJ,25681986-93f7-4bb8-afdd-8b31d7307699,
Dibi Dobo,BJ,eb60d4e3-ced8-4695-a150-ea6605317967,
Black Santiago,BJ,3bc96cb7-021a-4d48-826e-f26dc64f975f,
L'Orchestre national jazz du Dahomey,BJ,ce144674-306f-4c68-a846-45a58ae77131,
Honoré Avolonto,BJ,40caf15b-86d0-4bc7-87a8-ab86caf97b81,
El Rego,BJ,a5f7a28a-ac92-4b0f-a64d-2c5429c32e85,
T-Meel,BJ,6d69043e-6e7b-4ee2-b78e-3c43052654f0,
Boukakarou,BJ,475290a2-cc89-4f55-ba5d-96780e57e3a9,
Groupe Super,BJ,49a882d8-da51-40ce-b27f-e3ef88d8ad52,
Nestor Hountondji,BJ,fc27bbaf-7285-4392-8a53-18b734149a14,
Alfred Panou,BJ,1aa53eee-1ebc-4b53-8c98-96ebc4dd25d4,
Picoby Band D'Abomey,BJ,7f4068a4-4cef-4abe-8efc-88f2662497a3,
Shirazee,BJ,f70052a4-1aca-42ba-bc36-33ada6747dba,
John Hounsouk,BJ,6c06af52-de2f-4313-817b-69ebdf580113,
Orpair,BJ,0b68ddd1-b39b-496e-ae69-1dc7c5db2bd3,
Ignace de Souza,BJ,74517e93-4220-4a15-b55c-ba0d74890318,
"Bata Ensemble of Pobè, Benin",BJ,70130725-e810-4979-951d-366e2fda0508,
"Bata Ensemble of Sakété, Benin",BJ,4a6d016e-9cb7-4eee-ab67-b171844e3790,
Toffo Houssou Gilles,BJ,47c65d4f-b636-46de-9fa1-f8ed0ae703f7,
Patrice K. Nattor,BJ,b3413377-33c3-49a3-b900-da095387f716,
Assiongbon Jeannine de Lome,BJ,3e535a98-82ee-4e9b-99ec-b88f8a225623,
Germaine Jourias,BJ,4d3485a2-12b0-4f04-b7d0-44474cdaff0f,
Zoundegnon Bernard ‘Papillon’,BJ,60cf72a3-b78e-46d0-97fd-8604f1770415,
Bidot Audat,BJ,735ddc08-f9d5-4326-ba2f-a1b134a51c59,
Anos Band,BJ,daa84a4c-9775-4cba-91f7-3ddbdcda3a2c,
Les Sympathics de Porto Novo,BJ,1b6f6385-8e5b-4500-adb7-e71327d5c60d,
Apovo Timothée,BJ,7e5d725a-3828-4467-a8ff-0cbed01a0594,
D'Almeida Bluecky,BJ,a814b063-15ff-419b-b63a-5089d56f74e1,
"Dundun Ensemble of Adjarra, Benin",BJ,faf2c114-88f6-4931-89b9-5c29c903ba65,
Orchestre Black Dragons de Porto-Novo Dahomey,BJ,ef5e3629-dab2-4d80-a179-05f64ee64564,
Fanicko,BJ,93ad081d-f8be-47d3-b091-073d44806b60,
Gnonnas Pedro et Ses Panchos,BJ,be8e5506-4e91-4776-8040-faecbe68e9ab,
Zeynab,BJ,a4f07ac8-8e9f-44d7-a2bb-cbb77a2f5694,
Queen Fumi,BJ,f849706d-61d6-428f-8c4b-9011f013f17d,
"Dundun Ensemble of Atchoukpa, Benin",BJ,9e9dff30-8583-4e75-ab14-bc5a4431db98,
"Gelede Ensemble of Kétou, Benin",BJ,b9d34625-37ea-433b-b20e-f0d086c41552,
Chris Promise,BJ,78f501df-37ec-47ae-8227-e4b97f545f49,
Petit Miguelito,BJ,bd5606f6-c126-409f-8671-de2033ca0aa9,
Discafric Band,BJ,83ea13a8-184b-4bb1-808d-d4d9f30d0622,
Trio Teriba,BJ,48360084-ed00-45e2-a78b-a485095f5bd4,
