name,country,mbid,youtube_channel
Heather Nova,BM,d048022b-8e7a-48b4-be28-638922556639,
Mishka,BM,1460544a-76c0-484c-b22d-a280bde9714b,
The Talbot Brothers,BM,1c0c7492-9e41-4188-936a-47db4acab481,
Paradise,BM,0826477d-f27c-45d8-8a16-4dee44eca5e8,
The Invaders,BM,0cf48cb4-f3ce-480a-9087-db1048a5a6f4,
Ital Foundation,BM,27790c6b-a16c-470e-a512-eba668df67c8,
Rochelle,BM,8dc34f91-5687-430b-8df9-e05dfc2291bb,
cight,BM,79ed33e9-662d-4bb4-a34e-6d1a17a055cf,
Last Call,BM,11ad886e-0e8f-43e3-84e3-b7a7f1afcca3,
Zoom Lee,BM,37122fb8-0bf1-433b-9751-9aeaaa8f76e8,
Hubert Smith & His Coral Islanders,BM,29d4bcb5-b358-4d90-b56b-0bdfcada6d44,
Kuccii,BM,df3350dd-640b-4a7f-b058-ab9f13ff9b6f,
Gary Burgess,BM,9a8442b2-a70d-48d0-97f7-b638ef529055,
B.L.A.C.,BM,fc988bff-34bf-414a-a206-f2457bf2e94f,
YNMidas,BM,ab9eed45-a12e-4673-b6b8-c79981b3dafc,
King InFamus,BM,ffb1b027-b9ef-49d6-9565-5a1dbdcc939a,
Sidney Bean,BM,867fa47e-0813-4c19-9dbe-a6044eff1fb4,
Kenneth Amis,BM,4d2c703b-9601-4401-92c5-4f3ecbe0096c,
DJ Rusty G,BM,1dd41958-7514-4730-935c-6438626d55de,
Raven,BM,49d52a47-2f0b-48b1-9195-b2e3533c1cad,
Sacha Blackburne,BM,ec0b4197-02ed-43cf-bc5c-08042fc420fb,
The Gents,BM,12ec51a9-8842-4f03-9d91-2f0168178a5b,
Keith Caisey,BM,e63ebb77-fcdc-49a5-91e2-dbea1113ee47,
Candace Furbert,BM,e0fab054-d71f-417b-99c2-fba4b3c7f7db,
