name,country,mbid,youtube_channel
Bluemoongirl,BN,b15ad639-23f1-4124-8be9-07c449005bdc,
Zed Peace,BN,9c3cec74-9791-42aa-993e-b5a267ccb44f,
Tombcrusher,BN,11fb3b22-5979-4d4a-9d79-b287203ac255,
Surfvampires,BN,7b5384fd-1454-4d05-88e6-811790bd6079,
Hebiimetaru,BN,86a0c53a-1e04-47e8-a550-8594b2d0b581,
The Lo-F(b)I,BN,73cbef5e-d48b-4cec-9ee4-75870feaf734,
Darklord,BN,0ac789f2-49e7-4f32-8ccb-fe10289daf84,
Micbandits,BN,5d8e5865-1e33-49f9-b0da-f6eeabf2889f,
Wan Long Kok,BN,558ad1a4-0c35-4893-9347-e6d0fd64a8c0,
Imbeciles by Class,BN,8ff2b952-0ce3-4c85-ae69-160146a560fd,
Shadowmirth,BN,d57708f1-d889-434f-b0e9-87de6d029815,
Awang Haji Besar bin Sagap,BN,f8bee6fd-9975-4f86-b425-9611f72be4ab,
Prince Abdul Hakeem Jefri Bolkiah,BN,b36f0ec1-ca92-4a73-8ed9-a31c36b20d0b,
Nabil Iskandar,BN,2536c7ff-8dc8-44b1-a123-8b39d846bf33,
Nocturn,BN,1097b25c-5d45-44f8-9ceb-993d2d54b325,
Ammar Herbzangel Khristi,BN,0b502fbb-ad40-4a2e-8477-783e9bc0c141,
Aslan,BN,ba5e847b-17f7-40f2-bb17-63131e68eb2e,
Noiratasya,BN,4767eb24-34be-4cff-b47f-73a1198a2e88,
King Kimura,BN,78c484ab-14cb-456c-ac3b-bdbebf2dd86f,
Nawrael,BN,a57455cb-0ab2-4785-9716-cc3d97463e7d,
Funerality,BN,304a11d0-9c0f-4e00-9cfe-86052733ed03,
Luktujuh,BN,887a67d0-3b4f-4715-8be7-c035bb0a39bc,
Azmael,BN,28b63b86-28c2-444b-a77a-8023d023494a,
Beyond Fiction,BN,5b0724ef-5cd0-43c0-9a30-2129c469c9c9,
Daemon,BN,42cf0066-0809-4c7e-af32-f94a398a044e,
Draconaeon,BN,5993b230-8181-4f26-8c23-5ab53d3507f4,
Horace Divinity,BN,51b039e7-e027-47ad-9847-2a827a4890ca,
Masyghul,BN,569fafac-f904-411d-b087-478e19629df2,
Amnihi’ater,BN,0978bd28-fba3-4f80-984a-59c84c5b1c0c,
Ajdael,BN,6ac9764f-a048-428d-b09e-c6ed199557f5,
Ajzael,BN,52fa349f-d378-44c7-9e93-1b739fb08791,
Narsarakh,BN,70555df2-905e-406c-8883-4d0ba455ef78,
Anarni,BN,1229d2a2-ecf2-4028-a0f2-7f4e8612c4e6,
Grotesque,BN,6c4eeeb2-44b8-4370-9b8c-b57402289ecb,
Daslaughteus,BN,32975bfe-7d89-4289-b995-1ae26af8831e,
Pengiran Haji Mohamed Yusuf bin Pengiran Abdul Rahim,BN,6179def3-35ec-4b85-a7f9-bdcb49da3540,
