name,country,mbid,youtube_channel
Los Kjarkas,BO,76abcf9b-920c-4d63-a108-3736f2134d7a,
Savia Andina,BO,0ec55c00-c329-455f-a1ec-faf968106136,
Zulma Yugar,BO,0c02953c-9f2c-433b-95f1-c3d75a0ff15b,
Bolivia Manta,BO,9cc289b8-593d-43ca-963f-1fa85f0ff64d,
Jaime Laredo,BO,f50c6755-25c7-4970-92c5-87b230819a8a,
Alcoholika La Christo,BO,59496cc2-7528-487d-b579-ba22b2cdfa4f,
Rumillajta,BO,000842dd-08e9-485f-a9b6-8ada9f1c4a12,
Azul Azul,BO,9f59a530-6d6e-4f73-801b-5439e1a33c92,
Wara,BO,942b1989-b229-4880-8722-5f89dd1a4d6f,
Octavia,BO,fe2c8927-4e40-4e91-b891-c4390a1ec805,
K’ala Marka,BO,79f14258-38d8-4c40-b3f1-0f22a8b9fb4e,
Emma Junaro,BO,ab1474a3-0d6e-4e57-9d59-d573855e730a,
Sanctum Regnum,BO,1475bb47-d920-49cf-9373-a878ed8d06d4,
Matamba,BO,b5280d52-92d1-4316-8afb-8ca5737da337,
Gladys Moreno,BO,e5bffd78-9eb7-4e24-9fc4-6cb203878e0d,
Abiotha,BO,d9c50171-53ae-4815-bb6a-39804ed26d1d,
Kulto Maldito,BO,6dd6cda2-2555-489f-8cfa-32a4f884105d,
Erofex,BO,31ae704d-0773-4486-81cd-3cdd5ba9af9e,
Dalmiro Cuellar,BO,3e8a11b6-8dfa-4772-a152-3b87f3848591,
Eddy Navía,BO,a51599f6-1df0-4340-b191-a7cda60e6c57,
Awatiñas,BO,5f4d1f61-2dab-41c3-a78a-c9d0080a86d1,
Bestial Holocaust,BO,e7faf809-870a-4fca-b693-832a7f972dd6,
Llegas,BO,8b8bbcfb-3b94-4149-afb2-bbe5efe89f61,
Worship the Pestilence,BO,52a9ee58-a4ff-4cdc-be75-67fd7d737706,
Luz del Ande,BO,dff727d4-0ef1-4a34-b9c5-4fddffc9a693,
Lúcido,BO,cd5cf6ff-1bd6-4cdc-9f12-11c245ff6c06,
Estertor,BO,a872abe8-01b7-4f11-9c91-ee4baae2761a,
Los Wara Wara,BO,b55bd3f0-555d-4b50-8ddf-ee8c402d7c3c,
Nekromanteion,BO,acb3380b-48e2-445e-a8c0-7df430eb4b1b,
Ch'ila Jatun,BO,7fc18129-c128-4ff0-af6a-c5a85c2ff963,
Llajtaymanta,BO,6245c030-b218-43f1-8425-2cfb025be3b4,
Lilith,BO,274ad712-9425-4f53-ac4a-d3597946aace,
Grupo Aymara,BO,831d3463-739e-46bf-8eb5-91af017ead44,
Jaime Mirtenbaum Zenamon,BO,ac7ff8d2-d5a7-431e-96d6-f32abee6e5f8,
La Maga,BO,28ff019a-ce33-467a-88cf-46d146345fae,
Aeroplan,BO,dc64e9bb-f0f6-4dc1-bca7-f48fc9c5b4f6,
Gerardo Arias Paz,BO,1d0ac4ca-9e38-41ef-8f68-efbc9f6d969c,
Ruphay,BO,06188fe0-acd1-44a5-9edf-3ca3bcd9b562,
Grupo Bolivia,BO,2dfa66ae-db2d-40e2-b3c8-1da89bcf1ac4,
Donato Espinoza,BO,f93955a2-988e-495f-afb3-805b253c6fc8,
Ricardo Monrroy,BO,92be1074-8372-4e47-951c-b6a6d45dc02d,
Guillermo Butikofer,BO,dd74792e-55f6-48b7-998a-56310b39eb91,
Los Ecos,BO,f70eacfa-1023-4b38-8535-e3f60040b800,
José Coca Loza,BO,48cbcd86-2783-4f43-b4e4-142d22f8e90a,
Victor Ferrel,BO,66dca3c0-4325-4cda-aab5-a2f35afd9b3d,
Coral Nova,BO,b79ff43c-3a83-4cc8-8102-76c47de56bbb,
Hate S.A.,BO,883a57f5-a630-45bc-a360-b53e1fbad0e6,
Cergio Prudencio,BO,2d02a9eb-9a24-4790-bdad-92b252179a9e,
Esther Marisol,BO,95c71a48-d257-40b6-bbc3-256c260d4c2a,
Tupay,BO,98c51e8b-ea8d-4e02-9948-5d5e8ded1fde,
ZFC,BO,830b21e3-5a14-43ec-a378-1f3d3801757d,
Coda 3,BO,baafc266-71f7-4de9-95de-76e108631841,
Enriqueta Ulloa,BO,f12133f5-da96-4e7a-8d61-61ffd63aac34,
Sacambaya de Bolivia,BO,c26ba96e-fe12-45fd-a1b0-ba00785ca24a,
Los Olvidados,BO,1d1f2342-a26f-4cc8-ada7-1d16cfe32b7a,
Luis Rico,BO,f6da5cbd-cd93-4323-aab8-989f8e28fdd3,
Le Guide,BO,2f60c670-428d-4f6f-a762-2d5d4808ed08,
Javier Calderón,BO,78f1def5-29ea-4469-b677-cdaf8d57585a,
P'unchay,BO,0698ee2a-079e-409b-878f-e33066b21480,
Hysteria,BO,0e18ba08-457c-41d9-a588-c2aed3f75466,
Anima,BO,02ea799b-c07a-454d-9be7-da7b096a1b8e,
Anarkotizados,BO,2f771e30-ed45-4fcb-b075-eb92c8178c5a,
Indigo,BO,c01b5880-ac6f-47e3-89f4-e2b1b419f2f4,
Mónica Ergueta,BO,648139e6-b0c0-4a7e-8bce-c3e3f479377c,
Juan Marquez,BO,fdd87ac9-c672-4401-a112-280b9cccd2b0,
Samuel Mendoza,BO,18406879-9f05-40a3-a266-499d6669e999,
Héctor Quispe,BO,b95b7a93-3f57-4a78-8121-0561fd8f9522,
AMA,BO,3766e85c-8800-4250-8d34-2fae70f634c3,
Flamangel,BO,9e114a88-09d4-4754-9616-bcfc20e5a8cf,
Mallku de los Andes,BO,b2987347-8af6-43c9-afe4-f9e08af14ac6,
Roque Jacinto de Chavarría,BO,e748442a-b6ca-4bfe-b62d-64ad13bdfa60,
Arakaendar Bolivia Choir,BO,ccd3d90e-bfa6-43cd-82f0-836983b2f4b1,
