name,country,mbid,youtube_channel
Gilberto Gil,BR,cf6b70f6-2616-481c-912c-0263cabfc974,
Antônio Carlos Jobim,BR,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,
Caetano Veloso,BR,f07dbc2f-317b-470f-bad4-5f1b0eb6faf1,
Heitor Villa‐Lobos,BR,a8dbf22f-9788-4cf6-a0df-c9244384f295,
Sepultura,BR,1d93c839-22e7-4f76-ad84-d27039efc048,
Elis Regina,BR,e9e85a54-074c-4d29-a886-bcaaa9d44f9f,
Maria Bethânia,BR,b3998c06-04e6-4b1d-bd2a-d5b83572ae7b,
Roberto Carlos,BR,e43f8c07-2d2e-47fd-8279-dc0e9880882c,
João Gilberto,BR,286ec4c2-b5ca-4f85-b331-280a6d73dd14,
Jorge Ben Jor,BR,19499124-36d4-4ccc-b28d-04dde3d2076f,
Milton Nascimento,BR,1bfa27e3-0376-4206-a772-4586e25a64f5,
Chico Buarque,BR,3a5d1cc7-627e-48ea-aba3-fdd20d782c33,
Astrud Gilberto,BR,8d08cabf-03a3-4f38-a815-8197a0984f19,
Gal Costa,BR,fc63a914-272d-4b95-9221-61adcce6f793,
Luiz Caldas,BR,24ca9b35-f389-4472-bb62-37743dbd5d1c,
Amon Tobin,BR,630662ea-1c7d-4208-99fd-ba3afec20f0c,
Toquinho,BR,390ff98c-0614-4927-8b94-db7b40a92bbe,
Baden Powell,BR,ba617653-44e4-404f-91cd-f74adce5687d,
Vinicius de Moraes,BR,1c01cf84-07c7-408a-b5a8-7dae0b1312fc,
Alcione,BR,51bde19b-feed-4e6c-99e7-84327defabe2,
Alceu Valença,BR,7a08d4fb-e5c1-4c39-a99b-1908ca2e83b4,
Marcos Valle,BR,1ba347eb-58e8-45d6-b7e3-09873dc2506a,
Raul Seixas,BR,c4efd92a-5692-41d5-91bb-b23d4b75e735,
Luiz Gonzaga,BR,712fcc0f-25f5-45bf-bbb8-2601872d08e1,
Zeca Pagodinho,BR,7d3d9d52-a44f-4ba1-a080-cf64698912c0,
Nara Leão,BR,3a13549a-9578-4547-9308-4167816c51df,
Zé Ramalho,BR,5e2c3b33-b734-41ba-ac71-2148338840f6,
Elza Soares,BR,a619471e-ee2f-430f-b57b-262f94457559,
Sérgio Mendes,BR,6bf591c4-b050-478e-9d9f-167394d66c90,
Fagner,BR,d3d08827-5446-48c3-b795-a897ae6fe77f,
Ivan Lins,BR,2f31098d-1258-4f8f-af5f-95815b02f2d2,
Angra,BR,b0fe8ef0-d59b-4d41-afee-2d21b59112ab,
Ney Matogrosso,BR,67e97898-3bb5-412a-a51e-95a7b59a1bef,
Elba Ramalho,BR,fd655963-c774-4ef2-b683-5fb73235ef40,
Djavan,BR,751e517d-9663-4692-8c20-942e16d484c5,
Tim Maia,BR,446ac261-09ae-43f4-a7e1-2c753c0813ce,
Chitãozinho & Xororó,BR,59378495-b82b-4def-bb34-0d7c83a58e6e,
Mastruz com Leite,BR,df4aace3-a8dc-43fe-9e02-2b67fd5904dd,
Martinho da Vila,BR,88a13d24-7915-4b51-8d95-c8de00ab79ea,
Clara Nunes,BR,1fe4421e-850f-46e2-a8be-b760c57cb9c7,
Nana Caymmi,BR,c5597943-f7bc-48de-b00e-4b34c9f8558c,
Rita Lee,BR,3f962bf0-42a0-45a0-830f-07b66301d35f,
Azymuth,BR,5f86a079-be87-4eb3-8709-afe2498afa37,
Joyce,BR,f47a0968-f2c1-4ec5-b0e3-0a15ae73b88d,
Marcelo Zarvos,BR,cef45944-8eea-4332-9e40-ea271bcef09d,
Os Paralamas do Sucesso,BR,f197a8df-ac2b-4e78-9913-4abf13741f12,
Belchior,BR,d51c2d7f-921e-4f24-9fe7-92efc5189708,
Paulinho da Viola,BR,087fc778-c1ed-4f32-bff7-19f8eeba9e57,
Psirico,BR,e2fe8dd2-c3f4-4ffe-973c-a3ac3a33aaa7,
João Bosco,BR,150ffd99-a98e-486e-8c84-77d77f03747e,
Roupa Nova,BR,6e71462e-0e62-49a8-a2d0-ec7179f58f66,
Lulu Santos,BR,dc06730e-7330-40a8-9c84-4fe3b10c9250,
Beth Carvalho,BR,02809fda-8319-4628-b165-a51213bf30ac,
Eumir Deodato,BR,4b6d948c-372d-44e0-ba09-a649cc0e5c76,
Xuxa,BR,cf07508b-4762-4650-990a-23376e023f55,
Trio Nordestino,BR,4380b41d-9b68-465c-9cb8-15d3da5d9f9a,
Heitor Pereira,BR,00a1afe3-79c6-44a5-a666-c77e281ee7fe,
Bruno & Marrone,BR,f7c823d0-c49f-40d3-84c0-edc32d045ea2,
Dominguinhos,BR,d5956a2f-bab9-4aa3-a9be-ad393518e5b0,
Zezé Di Camargo & Luciano,BR,17022e90-a743-4c5f-89b4-c9243be7b7ad,
Jackson do Pandeiro,BR,64cb1159-2bda-458b-9127-a86fe5269339,
Quarteto em Cy,BR,592a91ea-aa85-452a-8d10-e538c315765a,
Guilherme Arantes,BR,27aadd58-a2a2-4df4-8167-d806be0f9146,
Erasmo Carlos,BR,c7c9fa4d-262b-45c1-9477-237849654948,
Egberto Gismonti,BR,2c9bfd68-38d2-4e9f-9baa-7f99ce7f2f79,
Os Mutantes,BR,a3212186-5da5-4e84-a935-6952b3e14921,
Simone,BR,4b7dfe15-9952-4a86-acd8-695c43858b67,
Barão Vermelho,BR,84ac395b-482b-48cb-b381-b9bc420b2dd3,
Daniela Mercury,BR,2cf241c0-0d6e-472c-be49-d7691a7aec61,
Ivete Sangalo,BR,d553e89c-3c2a-4f10-9ce1-9eaa74de0129,
Geraldo Azevedo,BR,145a7738-d7fb-4041-9da6-1c26790f899d,
Bebel Gilberto,BR,8777a849-fb4e-4430-9918-170f619c5286,
Titãs,BR,c1a669b9-30f4-4171-a2a9-a15d9461ca04,
Luiz Bonfá,BR,f926459e-1bd2-42a6-a174-8994ad950591,
Cement Tea,BR,5ef4a656-7900-4e4c-8c8f-250cf1468059,
Tom Zé,BR,9f284484-c949-4199-8741-aba416a497a8,
Sérgio Mendes & Brasil ’66,BR,491d8124-42e9-43f0-a828-e4a40c59e5ba,
Calcinha Preta,BR,0e3f5f4e-4ae1-422b-b451-298f87a8c922,
Teixeirinha,BR,88d56103-895a-4bdd-8630-65359bad2bf6,
Paulo Coelho,BR,6e855ecb-5e1c-4ca4-9bdd-1b365326c3fe,
Krisiun,BR,9e6458d6-7053-48eb-ac8f-bf6fdf9169c6,
Grupo Fundo de Quintal,BR,04f71d27-a65f-4516-acc0-e078839b4db0,
