name,country,mbid,youtube_channel
Baha Men,BS,00f82af1-6537-4d4b-9e03-103fffe19999,
T‐Connection,BS,e509b240-7d64-43ec-8d0e-c09090393c82,
Exuma,BS,a4b03ed4-14bf-4493-acff-743fa14ad9ec,
Joseph Spence,BS,c18b1dcf-02d4-4d7e-a6c6-dc66873958f1,
The Beginning of the End,BS,875885b7-9619-423f-b039-2046361d5c18,
Johnny Kemp,BS,9537be8b-b07d-4c8e-a2b0-8fe63f4cf525,
King Errisson,BS,4c951303-3ba7-41af-8183-8febc2b8358e,
Blind Blake & The Royal Victoria Hotel Calypso Orchestra,BS,5903617d-b6e1-4ad1-925e-107f9d3ba674,
André Toussaint,BS,0e0919a4-1450-420b-bf47-83a11a1f8c9d,
Worldfamous260,BS,1093883b-603f-4ca4-a527-395144717f6f,
Henry Lundy and spongers,BS,a8ae3168-6f09-4f46-8897-1bf2a82b4d8b,
Calypso Mama,BS,6146db0c-7721-441d-8051-e9904de60d62,
King Eric & His Knights,BS,abee8d56-d188-4f75-acbd-32652802ed2a,
Frankie Zhivago,BS,52fb123a-a206-4461-8c96-cd2dfcf9324d,
Blind Blake,BS,095590f5-65f6-4fc8-bcf3-4cfad699c4bb,
Ithalia Johnson,BS,15420655-ede1-48b3-a835-0e148dfea4fa,
The Pinder Family,BS,00fd0f9a-a5f5-4fa8-acee-124d86bbf5de,
Jah Nyne,BS,6dd29f78-8923-4c7a-a822-d76fa1097a71,
Pat Rolle,BS,7fb1d02f-aedf-49bf-a4a7-113efc957f72,
Giveton Gelin,BS,c36c8439-3732-452b-8856-50fd4f508792,
Mustangs,BS,843036a2-457b-417d-b197-84a31761b496,
Project R,BS,d3200df4-ce28-4eb9-b2e1-3839133e7cca,
NRBARZ,BS,59bf2cf7-f48b-4dcb-96e3-8d9084f04fff,
Count Bernadino,BS,d8664ec4-a04b-49f5-b403-95d34ab4f3fe,
elxnce,BS,d8489499-80c9-428f-9073-14d783d39717,
ChristianAdamG,BS,e6596a93-e03c-4636-a148-52ac7b1cc7f5,
Phil Stubbs,BS,0d15d9a9-e206-418e-af1e-0ffc364eead5,
Fritz Bootle Jr.,BS,01dc03bf-0c1c-41c9-a099-2fb8174fd63c,
Ray Munnings,BS,9ea12ee6-d56d-4648-8e44-3f9adf0c665c,
Dicey Doh Singers,BS,8adbf078-5f55-4864-8dbb-ed4366c62534,
Edith Pinder,BS,e38c6588-cd7a-4117-81ca-73b1416081b4,
Ronnie Butler,BS,03aa5b6f-522e-4837-98d0-5805ff32693c,
Soaky Siren,BS,4e972744-adf1-4ad3-bc7e-3905a6e6d838,
Peanuts Taylor,BS,c590a013-5317-43bf-a5a8-0c0b112eea33,
Dorr,BS,4eb38905-3e60-4690-9f7b-185b9aeacbaa,
Avvy,BS,cc596e5f-e3bb-4aac-9238-0fd9751e562b,
Nat Saunders,BS,5b53cdf0-047a-42f9-97ec-b11c1987fbf0,
Vincent Martin,BS,90e1040b-138e-476d-b71d-21ecb22b793b,
Tee Dames,BS,54ba000e-674d-42e3-b96f-0f42cb417684,
Thomas Cartwright and the Boys,BS,b2eb4ab8-b654-4534-b0b6-4c40f084d35e,
Sons of Andros,BS,b0f6695b-4156-4d4b-a60b-c0d439579e03,
Israel Forbes,BS,9742a214-6bc8-4114-96fc-218fb7d231d8,
Cleveland Simmons Group,BS,f30dd7b4-23dd-4385-86c9-66df9e2fa97c,
Shara J,BS,cc9f393e-1ae5-4d7c-80cd-9df393c22493,
Julien Believe,BS,8df52c41-80f1-4650-84e5-7c0263cf13a9,
BodineVictoria,BS,bcf32ad1-d40e-4cda-be6a-d78daf77d6ff,
Lady E,BS,95cedf07-fb3e-44d0-97c4-bbac145c4357,
drew Roberts,BS,2d4b9bc0-6f4e-44d3-8b14-a44559714d9a,
Bruce Buchalter,BS,7cea606f-d37c-46d5-90fc-91981fc0a1db,
Ed Moxey's Rake 'n Scrape,BS,09b76ad7-f966-41ad-add2-4745376e0b11,
Dwayne Simmons,BS,09431c11-9ad1-41bc-a47e-a6ebd3e32b89,
Sky Juice Band,BS,89f320dd-7af0-4070-8dca-f8999bdb4fc9,
Phephi,BS,f37573cc-1354-48cd-b152-be4503d54379,
Veronica Bishop,BS,5b923340-565f-4b9a-b40e-255f59a3da5a,
Emperor Mackenze,BS,776c2f34-0575-4896-9cbb-a4f0ae630080,
D-Mac,BS,7e8f6b72-3801-4bb0-8305-d5e1b3abdfe7,
Nathaniel Bailey,BS,948c7d92-24ed-478e-b1d8-43efc1ba8b30,
Cat Island Mites,BS,211c51d3-4343-4abc-b976-0a521b39609a,
Priscilla Rollins,BS,a41286fd-a76c-433c-9bea-6e0532c6916f,
Nakhaz,BS,2d3ab798-2e2b-432e-bd52-8e12a9b9c27a,
Brilanders,BS,246fc268-7b7d-43cc-adb9-151639ef3ea1,
Avante Guarden,BS,003933e5-3b1c-4950-994c-085152d844b6,
The Cooling Waters,BS,59b15354-794b-4471-b484-66c00dab93bf,
Eris,BS,39932a68-68c9-4398-9049-afc9604184cb,
Madlyn Turnquest,BS,7260900f-1052-4fc9-aa0f-dd5a3c3e5721,
