name,country,mbid,youtube_channel
Dzongsar Khyentse Rinpoche,BT,d7401f50-391e-4038-83f9-b491cdb051e0,
Jigme Drukpa,BT,2eef69e6-7f97-4341-b4f5-5b7cddd532bf,
Lhamo Dukpa,BT,aa1828db-175d-4ce0-bbae-8374fd92331e,
Bhutan Balladeers,BT,3af2361d-6a77-44d2-9bff-1c83b8de0b2c,
Pema Deki,BT,5aa11357-bcd1-47c2-87f2-1884c3b0c01d,
The Forsaken,BT,9d2bcdb5-6963-4cee-bd3c-3fef849745d5,
Kezang Dorji,BT,acf6946a-6f51-466b-b04b-437cf727d2a2,
Dechen Pem,BT,650555d0-c8dd-417c-8fac-a6d2e3b27d6c,
Nima Kelzang,BT,fc75bc01-7b86-4b4c-9f50-0fd3ab43e02c,
Misty Terrace,BT,82e834d5-2d65-48bd-bf59-1e507b088fc8,
The Baby Boomers,BT,6130243f-e4fe-4120-903c-1d98cf102773,
Pasang,BT,b2518e5e-a0d0-4737-b73b-bb5eaf55e673,
Dechen Wangmo,BT,6fc2492e-a791-4255-93c1-baa4077d3cda,
