name,country,mbid,youtube_channel
Skinflint,BW,5b6025ed-7850-4434-8697-ac46f78ee70b,
Culture Spears,BW,aa1c0c10-c6fc-45d2-82d6-1ad3010eafd7,
Metal Orizon,BW,34aafde3-6eb8-4080-a2b9-60034f7b59d8,
Wrust,BW,2ce76cf6-9d1d-4842-8d2a-50d3e0e88cc1,
Overthrust,BW,9efe728c-15c9-4f80-a6bb-f10690a75f4e,
Dramaboi,BW,8e3226e2-1718-4bef-8895-2649ec607491,
Magdeline Mogwe Lesolebe,BW,bc2225a8-54c6-4933-827a-a66f54d23d37,
Crackdust,BW,920d1608-eaef-47dc-91b6-505663ab2360,
MMP Family,BW,6a6ba427-5bda-4921-a712-1cb355312be9,
WiziBeatz,BW,23c8798e-ad25-4bb0-86ec-53371a3fb050,
Kgwanyape Band,BW,c0d51724-166b-4f27-ac67-092d26639049,
So Much Soul,BW,8c2b64c3-be85-499b-8f26-407b124714e0,
Stane,BW,84e9f487-45a0-4077-aea9-520ba79be1ee,
Sereetsi & The Natives,BW,af079452-282c-45fd-8925-100c978c43b1,
Remuda,BW,3b4d2736-3d1c-432b-915d-06280620d539,
Deejay Bengwas,BW,c0d9088b-c82f-4ef9-898e-e0412e1288cc,
Mpho Sebina,BW,5886d416-2b9a-4f72-a85a-2ddf7220f336,
Groove Cartell,BW,5938083b-0c84-47a0-b121-e672f76a4add,
Waterboy Nemo,BW,adc3303a-e012-47c7-91b0-823a50034f98,
Jr Vigro,BW,a196df65-7c2a-4f1d-95a3-00bec67508ed,
Afro Blue,BW,54e3b653-22bb-43ce-97fd-0b7a99f49058,
Zeus,BW,6e210b35-9241-4f12-af8b-fb36e7c0dc24,
Rxlee South,BW,4ab85f05-ae31-4dc7-8055-29c3db05d4ea,
Princess Kailina,BW,91b8f699-5f40-4039-9074-314198524767,
Sparks Wabantwana,BW,133adbc5-0d01-469a-b1e0-90ef14d07ae6,
PMMA,BW,1412839c-a1d5-400d-8b08-50fba4d0e76e,
Vulture Thrust,BW,0e28e2c7-a7eb-41c0-a617-e27bc09fc4a0,
Maxy KhoiSan,BW,83fd525e-5424-49d6-a8d1-409fe4844895,
Kgalemang Tumedisco Motsete,BW,79f66ec7-a976-401e-a306-b3c64323fede,
Wisdom Pedzisai,BW,0da1e17a-5cdc-4f57-b7ef-b9b7d655b473,
Okobedi Moreti,BW,f0332dba-9f0e-4461-b0fc-c4787f7d450d,
Vee Mampeezy,BW,13a8ca8c-43ef-4af2-8775-878a349f6164,
Ntirelang Berman,BW,baf349f1-d5c7-44c2-8222-d8979b43e359,
Amok,BW,dce233eb-2371-481f-ba97-3c62569fa83e,
Lucia Dottie,BW,5a92515d-17a4-4afa-a6ef-91c7532da532,
Kuseri Kumakili,BW,23d04a9a-c688-45fe-840e-7df1db4594d0,
Phemelo Kazuzu Jakobisi,BW,3d3e686e-0be1-4320-9795-c5cd11828c63,
Kabelo Mogwe,BW,62c65a10-3529-43e9-a240-f84297a5ea82,
War-Tog,BW,78ee17f8-cf55-4470-8423-23bb05f4e179,
Selaelo Slaezah Selaelo,BW,26e01756-cfb4-4f9b-8372-42c615ba3dda,
Dawg Thrust,BW,d88dc075-64b5-4f91-b978-d3b0500bec41,
Godfather,BW,f34d94b6-2974-469c-b069-6fdafd007bf7,
Methane,BW,1a530800-d95e-46af-9e83-aa930af7fdb8,
Multifillis,BW,6ae2bf95-deeb-48d1-9e3f-a760b20a0658,
Mmotseng Iron Rockbase Obonye,BW,e0a3c0fd-eec2-4ffb-b2f1-3244da89ad9a,
Slayar,BW,21b6ff57-788b-44d9-ac03-7a91098d35cc,
T'x,BW,1c63c9ba-85f4-462c-857c-eba996eb1da5,
Ace Seleka,BW,65c49470-169d-46bf-8c3d-68e9db3e2a3a,
S'Bond,BW,692e5bae-0be6-4c7a-9eef-898c51cc4342,
Dumisani Matiha,BW,013c6265-3861-4f1c-9440-a412916270d4,
Bophelo Santos Thabakgolo,BW,d18b690a-0356-4728-870f-7ef1ea27584a,
Spencer Thrust,BW,d58423f7-4045-4be1-ad65-df993b92c500,
Suicide Torment,BW,56491269-aed9-485c-8f5d-3644ab511f99,
Livingstone,BW,0f50d86a-954c-468f-bb01-71db4edd22f6,
Gaolatlheope Methyl Boipelo,BW,425b2758-ad8c-46dc-8e5c-8c73ef45c072,
Stux Daemon,BW,18e03fcd-96d7-4517-a527-bb8646c73f41,
Ben Phaks,BW,6190c2ce-5770-4ba3-a7a0-5552294def2b,
Oppy Gae,BW,0ec21079-545b-4357-b1cd-0d16d2654916,
Roth Gabonnwe,BW,d9680902-5f87-42a3-8b2f-2e07c2907338,
Lee,BW,901c1eaf-c780-4bdf-b3ab-75db48968c63,
Dlax,BW,d5bc74f2-f491-4e31-a7e3-dc37f1772b36,
Lawd Master,BW,28ae22d6-2d9c-4516-b5d8-58573c66b09a,
Gaone Rantlhoiwa,BW,956a399a-f8ab-4c9f-a67a-82f5c68d7e8c,
John Selolwane,BW,90fe0cd4-c709-4ba9-be7a-5a3f7177246a,
E-Force,BW,5a204bf7-5d41-4f44-972b-210c52e80e55,
David Molosi,BW,20992a35-b401-47d0-b0f2-00425474d444,
David Skizo,BW,dd32bc90-aee6-4094-bec8-e8744348e5d3,
Dina Milivojev,BW,0ef4e575-f461-4238-ada4-4cb6869fd45a,
EzzyMusica,BW,37d79fec-0436-4d88-baf2-06a8bb3e2d1c,
Kusterr,BW,669450b9-50ee-468c-b954-a2b14a45dd28,
Alvilianx,BW,9485280e-a52d-4e8d-aae9-083b137e1b38,
