name,country,mbid,youtube_channel
Boris S.G,BY,4f362749-5404-4e83-a0aa-058ac6e0b951,
Ляпис Трубецкой,BY,452b56d2-c904-4030-ad12-6d4fbd498e1f,
RxMxAx,BY,07ec16ae-0afd-4bd8-97c0-932d3c04405f,
Стары Ольса,BY,523c7f8d-b9a2-4fb6-9aad-f846ab0c4509,
Песняры,BY,a9472f04-a20b-418d-bc7d-183de027fa3d,
Ambassador21,BY,e817ae8c-e3c3-423f-ba5b-d64cb76068e8,
Серёга,BY,8178a020-3825-418d-9c94-e9a103acb686,
Kreazot-Maks,BY,469548cb-5b22-44d2-b71b-bfb86c09d0ad,
Нейро дюбель,BY,d4f71ef3-4d96-4414-a8e3-9ef1c9234b2f,
Краски,BY,bd973af4-30c0-403c-ae74-ffc9159d85d8,
Бьянка,BY,a09626ba-855e-46d5-a98c-58137d7562d7,
Fury Weekend,BY,46eb90e8-ce30-4439-8834-20d25469193b,
Høxde,BY,7ba77ac2-7cb2-47d3-bdeb-d11a31639bcd,
Угасание,BY,6c75564b-d228-444d-bf03-a6eed1171b15,
Серебряная свадьба,BY,19569f2f-f908-4bb1-89d7-841565294d1a,
Gods Tower,BY,394e32f4-3a67-421f-a42f-60e7a03eacc3,
K+M,BY,03cef500-4ffa-4bd1-83c8-ca665d09ca89,
Лявон Вольскі,BY,62af0da2-0275-4619-af04-0bf209b52d65,
Asguard,BY,898ab22b-9751-4024-9350-e7bf09cf7ccf,
Molchat Doma,BY,11bcbbf4-1252-496a-b747-06942f3d76db,
Макс Корж,BY,38cfabf6-080c-499d-b8e8-b48aa60b7237,
#####,BY,537db97d-372b-4648-8633-f1dcf52b1f47,
Крамбамбуля,BY,7717ea7f-33c3-469b-8e25-b1433afbce21,
DEgITx,BY,21656b87-85c1-40f1-81d9-2a269df4b4f5,
Садъ,BY,22d34699-c952-4ba6-af35-3ba66012ab20,
Raven Throne,BY,80db6858-1203-40e5-a713-feb1c9c41994,
Крама,BY,9a594f65-3187-4532-8a91-8c00b82f93a5,
The Winter War in Tibet,BY,de462cb0-d97e-4036-b794-f793d6bdf254,
beZ bileta,BY,008644d6-ae4d-46d4-b60f-f27956a6ca1d,
