name,country,mbid,youtube_channel
Neil Young,CA,75167b8b-44e4-407b-9d35-effe87b223cf,
Rush,CA,534ee493-bfac-4575-a44a-0ae41e2c3fe4,
Oscar Peterson,CA,ed801bdd-f057-41c0-94fb-76cb5676cd59,
Bryan Adams,CA,4dbf5678-7a31-406a-abbe-232f8ac2cd63,
The Band,CA,8c90ad8c-9150-4c51-a1eb-342232e99d06,
Céline Dion,CA,847e8a0c-cc20-4213-9e16-975515c2a926,
Paul Anka,CA,420c6768-0885-415a-bb59-d6a275121125,
Leonard Cohen,CA,65314b12-0e08-43fa-ba33-baaa7b874c15,
Joni Mitchell,CA,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,
Barenaked Ladies,CA,86e736b4-93e2-40ff-9e1c-fb7c63fef5f6,
deadmau5,CA,4a00ec9d-c635-463a-8cd4-eb61725f0c60,
The Weeknd,CA,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,
Alanis Morissette,CA,4bdcee62-4902-4773-8cd1-e252e2e31225,
Howard Shore,CA,9b58672a-e68e-4972-956e-a8985a165a1f,
Christophe Beck,CA,0df890e1-f4f2-4b21-a413-cd8af1af32d8,
Sarah McLachlan,CA,ce58d854-7430-4231-aa44-97f0144b3372,
Avril Lavigne,CA,0103c1cc-4a09-4a5d-a344-56ad99a77193,
Glenn Gould,CA,7002bf88-1269-4965-a772-4ba1e7a91eaa,
Shania Twain,CA,faabb55d-3c9e-4c23-8779-732ac2ee2c0d,
Dan Gibson,CA,8b91414e-6f3f-416e-8f2b-138c74b92635,
Drake,CA,9fff2f8a-21e6-47de-a2b8-7f449929d43f,
Justin Bieber,CA,e0140a67-e4d1-4f13-8a01-364355bee46e,
Cowboy Junkies,CA,b52211f1-49a2-4cd2-8535-dd1ba37ea90b,
Nelly Furtado,CA,13655113-cd16-4b43-9dca-cadbbf26ee05,
Diana Krall,CA,67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98,
The Tragically Hip,CA,e86ab653-bec8-46f3-b4b6-a1a866919ef6,
Anne Murray,CA,cff63c14-b081-4686-9357-eea84d5348fc,
Mychael Danna,CA,45926800-aa45-4bfc-a1f1-b25416d75215,
The Guess Who,CA,4c567499-3a26-40e3-9471-20feb6c73767,
Nickelback,CA,bc710bcf-8815-42cf-bad2-3f1d12246aeb,
Michael Bublé,CA,611700cf-27f0-4dc9-ae80-c513a767853e,
Delerium,CA,4279aba0-1bde-40a9-8fb2-c63d165dc554,
Arcade Fire,CA,52074ba6-e495-4ef3-9bb4-0703888a9f68,
Carly Rae Jepsen,CA,09887aa7-226e-4ecc-9a0c-02d2ae5777e1,
Percy Faith,CA,291dcfb8-b31c-496a-905b-9955509d75b6,
Gordon Lightfoot,CA,9d97b077-b28d-4ba8-a3d9-c71926e3b2b6,
Front Line Assembly,CA,b847e9d2-c931-4daf-900c-42c7b2c42e16,
Saga,CA,cc5b8e90-07fd-416d-bd90-8a524b29d1f7,
Voivod,CA,66cb12f6-6502-486d-bf67-efd5bdaee6ac,
Trevor Morris,CA,b8634d0b-e1f8-4671-9ed9-21e9a03973ed,
Loreena McKennitt,CA,c1e5344e-1bff-4727-9417-a4f55e41b5ff,
Psyche,CA,cf1894f6-f80a-4edc-ad32-6d32bede1438,
Skinny Puppy,CA,5a24bc1a-c093-4a82-84ed-8d7f2da0570d,
Bachman–Turner Overdrive,CA,7a3b3f80-04b8-4968-b432-fbcd3f350716,
Annihilator,CA,c30ebe30-514f-4e6d-823a-19adf0225a56,
The Countdown Singers,CA,9090c749-befd-4d1d-b459-674a9795aff8,
Daniel Ingram,CA,d870d247-95ba-48e7-be96-ae3061e16f53,
Devin Townsend,CA,93e8c41e-8e4f-4d08-bbf5-bc1a903b2423,
Tegan and Sara,CA,d13f0f47-36f9-4661-87fe-2de56f45c649,
Studio 99,CA,d4a9e4a2-a060-4d39-b5c0-252160b1154d,
The Irish Rovers,CA,500d2b10-b0fb-4615-a1a6-fa226a620d32,
Shawn Mendes,CA,b7d92248-97e3-4450-8057-6fe06738f735,
Bruce Cockburn,CA,254b70d3-4aec-4c64-ac95-b13a1dbb30cb,
Canadian Brass,CA,17e574e0-402a-4fe0-b513-4184c23f8873,
Devin Townsend Project,CA,b00cb756-0259-4a50-bbcb-ad22186c5518,
Metric,CA,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,
Billy Talent,CA,fd429857-5ace-4609-ae54-1502c3bdac11,
Cirque du Soleil,CA,0ea427c8-07d4-4f9c-92c6-bc4e8241799a,
Tiga,CA,58e5332d-383e-414c-9917-776d7b1493a2,
April Wine,CA,78761837-4b00-4935-b7be-601697900e66,
Feist,CA,a670e05a-cea8-4b37-bce9-d82daf1a0fa4,
Sum 41,CA,f2eef649-a6d5-4114-afba-e50ab26254d2,
Sloan,CA,5a63c831-5bdb-444d-a9db-974501e3317d,
k.d. lang,CA,675c1c5e-5625-4a5e-97a2-b02aab5db2fc,
Margaret Atwood,CA,54c82890-5779-4c98-9e59-eaed128685d6,
