name,country,mbid,youtube_channel
Papa Wemba,CD,07f9fb91-1147-4532-a522-ac36dacd1c72,
Viva La Musica,CD,60a78a0f-de0b-4c8f-a500-4ed031286cd4,
Franco,CD,2bafab0b-b22f-44d7-a046-119fb1298a85,
Zaïko Langa Langa,CD,cf8a81b7-1c57-41fc-a890-67dc28cb9ccf,
Koffi Olomidé,CD,45d921dd-aaf9-4f72-9a8c-101ec24b9186,
Tabu Ley Rochereau,CD,85a694a0-dde9-4d79-a3b5-11950be0f3de,
OK Jazz,CD,102046a0-945f-41da-a8e9-3655fcaea310,
Kanda Bongo Man,CD,aee0642c-1d8b-4a64-9993-443f94242b2e,
Lokua Kanza,CD,d7cadfa9-9639-41a9-afd2-a38060d250bc,
Fally Ipupa,CD,455a23c4-ec18-4e87-893d-db79514eb50b,
Grödash,CD,4bbdf42c-4fb0-45a4-a9c6-fa11f168fa98,
Zao,CD,19aa6883-301d-44b4-a020-7554e008616a,
M’bilia Bel,CD,e35d7c3d-69fe-47c1-8dc8-8258abedf12a,
Konono Nº1,CD,5abe0fc1-63d1-4dcd-902a-be4a5a46b90b,
Reddy Amisi,CD,8dfad182-294b-4b73-9258-6220ec91fd22,
Le Grand Kallé,CD,95618add-be0e-4bd4-b55f-5f1a9a1511b3,
Tshala Muana,CD,6cb2bc33-6e78-4154-8005-04eec75608ef,
Wendo Kolosoy,CD,e98df13f-cc76-406c-ad54-96c6e1bc1f41,
Kasai Allstars,CD,8846c9a4-f6c9-422f-99a7-0da5faae4fd4,
Dr. Nico,CD,6d1c9e84-c1a7-47df-aef2-df8d78065827,
Jupiter & Okwess,CD,a03e478a-a8b4-46e6-9c8f-239cb8e62823,
Mike Kalambay,CD,3931587c-4d99-48bf-9b55-174c3cea24bf,
Les Troubadours du Roi Baudouin,CD,9113ecdf-f23e-4aa0-ba93-c7d13b501744,
Pépé Kallé,CD,c2a1a86c-1219-4a03-b34b-e4db2506bcb0,
Matou Samuel,CD,f087828e-f621-4125-99c2-e8b25dd0df66,
KOKOKO!,CD,6983949c-bea5-4231-b7e7-09c4b1ead6fc,
Jean Bosco Mwenda,CD,d159a451-9e04-4bdb-b977-95bfb8fbffa2,
Wenge Musica,CD,14d41b29-0330-43df-84c4-a5b2ca0ee199,
Choc Stars,CD,b55005e5-c161-4ad5-86f1-e162afc34580,
Nyboma,CD,058e9e82-7efe-4fbd-9035-229e4e6e29ef,
Wenge Musica Maison Mère,CD,974bd3a6-7aed-4146-a4a4-254698e3b9ed,
Marie Misamu,CD,404deaa7-3004-490e-8b5a-e9a45f5c1771,
Aimé Nkanu,CD,0aebc549-810a-4531-abdb-3fd2dedbf552,
Madilu System,CD,83f58e18-23d1-40df-818c-5d5d8c536df7,
