name,country,mbid,youtube_channel
Pygmées Aka,CF,6a1d08d1-778d-4e74-ad8a-c78fe49b9423,
Gbáyá,CF,264dace7-59cb-4211-b9a8-e95d66ffcf4e,
Laetitia Zonzambé,CF,2039e000-0b43-4686-becf-bf4714894069,
Kangala,CF,a5dd8d43-85c1-430b-947e-c2dccd0196a6,
Good Family,CF,d84b79ad-250b-46fc-b325-28ccf43526a5,
[pygmées Aka],CF,4d645347-e02a-4a6b-81e9-3f931410730f,
Jude Bondèze,CF,e361eda8-61c1-4bdb-a73d-917124cac096,
Étienne Ngbozo,CF,c68fd21d-6286-4d5a-b2af-0e412351bf98,
Joseph Samba,CF,0829836d-ab49-43e8-9c36-9faaea3373c1,
Daniel Ngadiké,CF,09663cdb-d357-4de7-a5ac-e7428598372b,
Raymond Doko,CF,7b252e9a-422e-4abb-bc58-88d20df2cffd,
R. Ngbozo,CF,df3e8a4d-346e-4355-99ac-06d8c4f8cd8c,
Étienne Doko,CF,a53f70fe-d1c6-4efc-b2ba-b5dd9c6edc00,
Pascal Minang,CF,e0bd8997-bcdf-4970-8967-5bca06c2070f,
Martine Sénouané,CF,8966d22a-6110-40e1-83ce-90d194569ded,
Martin Kayo,CF,73ee4c2c-3d68-42ff-9f6a-436bc501d2de,
Robert Tarapai,CF,53bf5145-9e36-4e42-bf66-954b90c230c9,
Arone Singa,CF,138fb5c9-527d-48c9-b9d7-72e0034c04a2,
Maarlem,CF,651b0e97-f7a2-416c-a499-895d39764664,
Chanteurs Ngbaka,CF,5be00e8d-cbac-4573-8321-241352414ef3,
Bokoto people,CF,ebc5f2ea-b0f9-4bfb-9837-fb6fa6405966,
Orchestre de ongo,CF,4dabf14d-c162-4cd3-b653-294f3b3bb7fa,
Nicolas Masemokombo,CF,18f39c0d-e22a-4e8e-abf7-3d0d6696635a,
Moukouté,CF,f39b0237-524e-47e0-95ba-f499374a8550,
NHOVI 3G,CF,28e6c4d9-f49a-4a6a-bf42-8a1bc4e22358,
Barthélemy Boganda,CF,5bb48d65-5744-4290-b021-00ab3d210e90,
