name,country,mbid,youtube_channel
René Lokua,CG,247059b9-ff5f-471f-b71b-1666c475ec00,
Les Bantous de la Capitale,CG,f6f3efdb-2c1c-4f42-81b2-f92979e42308,
Le Ry‐Co Jazz,CG,f80833f8-de91-48d8-bfe5-e6b96782d5e9,
Aurlus Mabélé,CG,aa68e70a-f15a-4583-89c5-61784bb782f3,
Orchestre Super Boboto,CG,c168d482-0705-4b03-a01c-7b116cb6f46e,
Fredy Massamba,CG,074bf981-62c2-4c82-a14c-75ecf5d51cef,
Orchéstre Baka Gbiné,CG,8cb523ac-b46e-4e2b-b4eb-07fd8f74fd89,
Rapha Bounzeki,CG,77146268-bd6f-4e96-b88e-bd0501c00403,
Sammy Massamba,CG,424a34b9-315c-48c6-a15e-c2a6cbf6dfc6,
Les Mamans du Congo,CG,1e8fd544-f115-4475-b7e8-f4dc6a5a3488,
Pamelo Mounk’a,CG,7614d716-7391-448b-b937-d52f66cadd46,
Bumba Massa,CG,f7255e88-c6b2-4402-a2c0-135f5a2b85e7,
Diblo Dibala,CG,9f7ff464-b9a0-49ca-b4a1-161c519cdfe6,
Samba Mapangala,CG,1d9421ae-b3f3-4106-83cd-fea9fc9bc3b6,
Tchicaya Tchico,CG,0c265659-6e22-4b30-8075-52b624df5616,
Arc-en-ciel Musica,CG,370ce90c-5ffa-43d1-8618-f21fe6b7bbb8,
Balka Sound,CG,ba5f3173-f755-4509-985d-b3eb9a94d941,
Kanyoka,CG,085933ac-9844-4389-941b-fbd8e8c33b4a,
Lita Bembo,CG,ac5947e8-4845-4a39-adda-53c87839c369,
Irène Makosso,CG,a2d1d3b0-1db9-45e3-8a79-582efd5de521,
Kiti Na Mesa,CG,d01f37dd-ae57-43a0-b4e8-1d27712e7aeb,
Poto Doudongo,CG,67bef098-a7cd-4175-9bd7-94caded2749b,
Orchestre Shama Shama,CG,65606ae4-4187-4097-aef7-f320425ac33e,
Dolus Mutombo,CG,2188d3d3-9391-480c-a8e1-3e5409d5fcdb,
Kevin Mfinka,CG,67ca3d0c-52b2-4b94-9139-3f6be70b7db6,
Dr. Sakis,CG,8cbcdc2e-1ebd-40e8-bffb-47def13f9cc0,
Robert Maseko,CG,75aa336d-bfb6-4bd0-8c05-fcf350f0ae99,
Luba-Kasai,CG,1db30bef-24a8-4618-86a4-5777cd4a8c83,
Orchestre National du Congo,CG,8710d896-510b-4deb-afc9-68ee10538dc9,
Santa Nyanga,CG,9eb8265e-c903-45b0-9fc1-a77bb689a631,
Nguashi N’timbo,CG,48647198-8fe7-4c0d-b957-b36158323863,
Jacquito wa Mpoungou,CG,f1652182-91b3-4af5-aa6f-136924ded5bf,
Impressions des As,CG,51cfbb16-6015-4463-aced-d4e2563ec78d,
Celi Bitshou,CG,a86c1737-5f20-4383-b842-26a180a04fab,
Youlou Mabiala,CG,5cd29f8f-4bde-4cd3-9ad7-4bc9b4defdf9,
François Nyombo,CG,d9c508a1-a47a-402b-86c0-4e7fe18699e2,
Rigadin Mavoungou,CG,934d9316-5269-4253-a227-89b97d06e2e7,
Adikwa Depala,CG,71110ced-83c7-4937-9978-3fe96f7346ce,
Lusaka Fula,CG,3daa73f1-bc24-4270-8486-27a5cec2019d,
Véritable Mandolina,CG,d70534bc-7204-4aa2-ade5-8966d373c8f6,
Djany,CG,df10f6ce-9990-4cbd-9c57-854cf42a79f3,
Bebe,CG,789b4794-71a2-44fd-86b4-baa8ed6755ed,
Tshibanda Joachim,CG,ba135eab-882e-4db5-97e5-0a2d523bb5e6,
Lumumba,CG,7e44ecf1-aaf5-4b43-a87a-cf8ec5f60692,
Jean Mpia,CG,4246d62e-8d3d-46bb-b8af-1ea8f814630d,
Boniface Koufoudila,CG,39511391-01b8-45a2-bb43-0396f2c9f3d7,
Laurent Lomande,CG,aa354510-ccfd-4940-94e3-fe2ce2f75a60,
Luba-Luluwa,CG,bfb9bd42-5b34-452f-a02a-a0d80e552cf0,
Assassin,CG,688ea624-b9cd-490d-95eb-2cb0f2a74b78,
Kwamy Munsi,CG,34f29fa2-4421-46d7-af2b-b6083b23b4a5,
Robert Yuakarie,CG,7dc24579-9491-4a22-98d8-230e463859a8,
Soulange,CG,5c67b2e3-a234-42e8-a780-fe7e5b85d1d5,
Bholen,CG,9dc0d7bb-7843-472e-8513-ca9ae4ca96f0,
Orchestre Celi Bitshou,CG,ef68d937-f605-4a8a-a051-537a37769013,
Luba-Hemba,CG,db8533ea-0c3b-4bb1-82e2-b92b3ae6de96,
Luba-Songye,CG,d03447b8-93bc-439a-abe5-59392c9fc159,
Luba-Katanga,CG,ebab69cf-ee12-48d2-9613-b12530e8ad8c,
Denis Loubassou,CG,ebd0cae0-354e-400f-bbef-c3b978d2f092,
Theo Blaise Kounkou,CG,0e6ddf31-8cfa-45f9-a222-82ae7d5a316e,
Dany Engobo,CG,dc87d126-4dfb-4f83-9ea6-f9e155f38e9f,
Bernard Bonkangu,CG,3e8b7da5-182c-44ea-adca-a50618e82332,
Ensemble Balima,CG,cf11330c-c066-4476-b052-8c98babfad23,
Lexxus Legal,CG,dc463ac5-78a3-441e-a97f-6c78085ffed5,
Zitany Neil,CG,07dd6a78-42b9-4f22-96df-a4dfee1bb845,
Longulu Bonzali,CG,89b419ed-d9e1-4b6d-994b-d711b70aca9d,
Longulu Nsele,CG,ed60fd7f-1432-4338-ae43-91c3aa5bfbac,
Mbombongo Nzoku,CG,b55db669-b997-4b47-b5c4-e875c80548b4,
Bongenge Omala Nkele Longele,CG,82979e22-a039-42be-999c-f172610d9ebe,
Bomolo,CG,f78f0b14-8caa-45d5-b553-a9bb3bfb77f9,
Victorine Bombula,CG,55ecd4f7-a027-4469-b415-7bcb4d1d1fef,
Louis Kempenda,CG,db57b356-23f8-45fe-a6c5-2994b174b873,
Tatiana Kruz,CG,fac36354-8ca3-4ea7-b5a6-c2c9a2180608,
