name,country,mbid,youtube_channel
Tina Turner,CH,9072df14-b61e-42e2-b4f4-6bbb7fdb5586,
Yello,CH,c616aef1-e21f-46f8-864f-b7bad96f41b2,
DJ BoBo,CH,4603ee86-4f73-471e-8fc7-4a26549ed119,
Calimeros,CH,0abf905d-a8f4-416e-adb8-581e8361e156,
Lys Assia,CH,6227e709-dad6-4045-932e-a4939911053e,
Henri Dès,CH,34b21177-cffa-4ef1-9c49-7050d544deb7,
Billy Cobham,CH,255497f8-26fb-4044-b97e-d4787d5974f6,
Lacrimosa,CH,20b9add0-f004-4720-8f46-585525203a8b,
Gotthard,CH,4a252ce3-5352-4e7d-bdf5-b75a67908a08,
Globi,CH,986806e1-7218-4dfb-9f97-60d811626798,
Hespèrion XXI,CH,3a9f0e21-5796-4f04-bd4c-3deafd59ad80,
Andreas Vollenweider,CH,6438bd71-ddc1-4619-a383-20d28ee55b43,
Arthur Honegger,CH,7bcfc64a-ce4a-4065-947c-d037bca1e230,
DJ Antoine,CH,6ed36b36-b2e0-4540-bc79-0348b744cb10,
Alain Morisod & Sweet People,CH,14ed2314-24e2-4a9a-a20e-4700137b4b29,
Samael,CH,6a2ca1ac-408d-49b0-a7f6-cd608f2f684f,
Krokus,CH,cb15cff6-82b8-40b7-af51-a9f596923444,
Nora en Pure,CH,f81ace47-638d-4729-a155-1be48dc2fa48,
Celtic Frost,CH,d91b3683-4622-4d72-8a03-80f1ff59e639,
Stephan Eicher,CH,34101668-3a6e-4fb7-8a8e-8f6130cb9127,
Ernest Ansermet,CH,b6cb51fd-caab-4fc5-be1c-51caf2bb49a0,
Charles Dutoit,CH,64a7dc4d-79b0-4033-9b9a-6c64671de8b7,
Carlos Perón,CH,ef57f64e-c6c0-4ffb-854a-6ef76cb98910,
The Young Gods,CH,134c8992-069e-4561-8d12-cdebbf5fbc34,
Eluveitie,CH,8000598a-5edb-401c-8e6d-36b167feaf38,
Andrew Bond,CH,bfa6121f-25f2-4eff-96a0-84bfd867ddb1,
Daniele Ganser,CH,9e995832-bfde-4b96-a42c-1108730bebd1,
Linard Bardill,CH,5555b1f9-7aaf-4632-8b27-c0d1c8d5a621,
Joachim Raff,CH,a3900392-471c-431f-95a9-35924c6ce154,
Beatrice Egli,CH,b14dcad7-bf9a-4d17-9a0f-f56d5b0d79bd,
Francine Jordi,CH,b781dd40-68c6-49a3-9f41-e1850d292097,
Ernest Bloch,CH,e91fbf2b-178d-4243-972e-73eff6a5676f,
Orchestre de Chambre de Lausanne,CH,d9cf920f-3b1d-4577-a104-5a3d462cefa6,
Shakra,CH,2b11bf31-5944-4f17-974a-15c5c6656746,
Sibylle Berg,CH,92d01a3e-a6e6-4acd-8a25-b265f554cf13,
Pippo Pollina,CH,f389a455-4ff0-4b1f-95f8-64c53d3c0e56,
Roger Graf,CH,4ac79499-cd64-4755-9e36-cec002594245,
Yves Larock,CH,d0440ef0-bb45-46a2-aa89-7cc661604781,
Martin Suter,CH,5b70f714-e1cc-4549-81b0-4ca357e76796,
Heinz Holliger,CH,cd5a15f3-8937-49da-9719-d3790136802c,
Frank Martin,CH,3de0b29a-602c-49dc-ba54-81706c98f3c5,
Coroner,CH,509dc5b1-f264-43f3-9035-473e7020e77f,
Patrick Juvet,CH,30df1299-811b-4333-9f40-463bc13e9d36,
Dave Phillips,CH,0b16e48b-421f-4ae1-b9b6-f35ee165b177,
Die Welttraumforscher,CH,634fc1a5-0628-46ed-9b27-9bc4f238f787,
Oesch's die Dritten,CH,16012d28-26ec-4f71-9da0-c629a5e9b0f6,
Bandari,CH,7452da7a-f531-4a11-a381-2f459efe02ca,
Adrian von Ziegler,CH,150d0745-686f-4801-ad5d-58565426199a,
Dieter Moebius,CH,5fb5b6a9-add2-4e2e-812e-ff3712dbdb26,
