name,country,mbid,youtube_channel
Alpha Blondy,CI,88502cc3-20e7-4c5d-b583-ea84ed263db4,
Tiken Jah Fakoly,CI,edef3cfa-4e5e-4d64-8bd8-20f9dc1d8cad,
Magic System,CI,1d919a5e-1515-4e5f-b327-415398083098,
Dobet Gnahoré,CI,966e9735-f97c-40b8-b54c-9a9acf8d7c86,
Ismaël Isaac,CI,fffb0a3a-8687-4152-bad8-9a00331d11b9,
Meiway,CI,fd1069ae-f5f5-4ae7-8416-c0d081c6db36,
Les Go,CI,f1d3370f-8af0-4c78-8adc-e1cc4d0c5ad8,
Manou Gallo,CI,ee00f0af-c10d-4955-8d6f-4a3135ded821,
Gonemili Grace,CI,71a7116a-78d2-4ee9-b210-07bc163a8132,
Sur-Choc,CI,f5c46b6c-9891-424d-9564-b8a239ce996e,
Paco Sery,CI,44b6d30c-5a46-4f3b-b9ef-49edef66e1e3,
Moussa Doumbia,CI,42b8a64e-9c1d-44e8-a74a-bc278059fd4f,
Aïcha Koné,CI,ad2d1659-9061-4e31-bae9-e651cf71d19c,
Mamadou Doumbia,CI,b66f00ec-4559-4341-a153-8500da120beb,
Ernesto Djédjé,CI,1b78d33d-0321-4784-b795-668100dbf72c,
Kajeem,CI,7b0a7432-62c1-4298-bd69-5afd8fd5d612,
Nayanka Bell,CI,a4b33cdb-8bc0-4ad0-a356-b110962e64ba,
Ismael Wonder,CI,50c6355a-5eb8-419f-a74b-89cf8f40491c,
DJ Arafat,CI,caee69a4-7f3d-40f4-9857-b5cdad222f7e,
Rivière Noire,CI,daf3272c-b03a-49f2-b2ec-bb98176cb8db,
Tour 2 Garde,CI,85eafe14-10b4-4786-87ec-ba5ef256ba46,
Garba 50,CI,8f80d9cb-9641-4a1a-92fd-2b09f98616a1,
African Diplomat,CI,00f85186-1a5b-42f5-9df3-f3545b322e39,
Julien Goualo,CI,10640bbe-fa14-4e58-a1cf-3a993647d85f,
Didi B,CI,8acc17e2-10d4-42e4-8d3c-9e03aabef8d4,
Beta Foly,CI,ef9a6fc8-6bb1-465d-8057-6482c95f8ea0,
Josey,CI,bb73ae6e-9175-4ae8-8924-d7e41df2d4fc,
Boni Gnahoré,CI,4ed08681-5f21-49ca-9c18-14b8f2f506be,
Soum Bill,CI,a3af8fdd-1184-4932-9033-44b6556e7420,
Fely Tchaco,CI,946dc6cc-5b6d-4ef1-ae46-71db98dd1224,
Zakry Noël,CI,6ac9838a-53e8-4351-a862-6203cf8c5f95,
Zieti,CI,2673ef2e-70dd-4da6-8bad-9c8840c0c20e,
Jess Sah Bi,CI,59aa5b6a-3cd6-4150-96af-8a51c28907d8,
Woya,CI,bbc45a23-0c4c-463e-8156-aa8485e2b586,
Christy B,CI,cc88187f-eb71-43a2-9bd7-5252a2b397d8,
Mac Gregor,CI,a2011163-52e3-43df-8dac-628eeda8b77f,
Lino Versace,CI,27394b47-1e23-4a3f-a1ca-ffb0a284650d,
Les Guignols D'Abidjan,CI,f6b1921e-03d2-471a-9b73-4929622ac375,
Antoinette Allany,CI,70e2996a-907a-4a6f-afac-e9e9e3b74702,
The Ivory’s,CI,94e89341-c1bc-4bff-adf2-12f5ffe3fdc2,
Jess Sah Bi & Peter One,CI,79d82990-38f5-4f97-bd85-94723e975248,
Deus,CI,e33dab36-aa79-4fa1-9047-3112d19d10dd,
Boro Sanguy,CI,f723ec63-77aa-4ec3-ae77-8fa2a7ac16f4,
Ahouanou Jazz,CI,0fe0cd6f-b892-4ec0-9a94-4225937bc825,
Pierre Houon,CI,e376bbef-f825-499e-be44-8d061714db3a,
Pierre Antoine,CI,759e9c58-da04-40f3-a84f-5289bc8a9dd6,
Naf Grace,CI,50367d8e-b983-41b5-8d46-f4a55b50d2a6,
The National Ensemble of the Côte d'Ivoire,CI,0b434a85-d901-4fdb-861d-eb48ba99296e,
Doh Albert,CI,23ee3eda-8cc3-4e77-ae78-291b001b3d17,
Okoi Seka Athanase,CI,a9a07abe-8f05-4402-aab6-5256834ec347,
Daouda “le sentimental”,CI,0f4eac38-225d-4118-9de1-361302bb236b,
Spinto Bailly,CI,0224116f-d7dc-44fd-b1c8-c820727ce03c,
Abenan Louis,CI,a0f19216-d3a8-414e-b618-ba0fc4c30384,
Amédée Pierre,CI,4f0742f7-2df7-4bb0-9609-26f20ce03152,
Nasty,CI,7fa5eab1-95d5-464c-a1ca-865a08681fa2,
Prince Dgib's,CI,99d436d1-5bb1-4af0-8ae6-2a467150b33b,
Kiff No Beat,CI,e448f041-b88b-44f2-86b6-5209793eebda,
Shado Chris,CI,9ffd5ad8-eb2e-4137-81be-0d12cd713932,
Soro N'Gana,CI,750da104-07b7-414d-a682-ce507a0cfff0,
Jimmy Hyacinthe,CI,6b554736-dd6e-433c-938b-e5c1994d0cc5,
Bop de Narr,CI,a89acc76-24ef-459c-9821-6101ed40e26e,
Nguenang,CI,bdc40c4e-f94b-4066-9640-b0d5c25e999d,
Webster,CI,3ee94265-2ac2-4718-bb43-f0ad093feaf4,
Soro Solo,CI,0090546a-8e9c-4476-acff-ab0a7eaa8204,
Douk Saga,CI,8f15b84d-4f67-443a-a5f5-2f9a37e9a255,
Le Super Mandé,CI,0363ee39-a3fd-4c80-b668-194041f20316,
Santa N'guessan,CI,d0a91b97-c591-4e5a-9a4c-35b5d1dd4e44,
Assalé Best,CI,71e66492-c4b0-4dc7-91f3-357153030bbb,
Jimmy James,CI,99bda24f-4c06-416f-9922-e6a82df9587f,
LIIX,CI,f97f5494-1fac-4849-a784-4419bce9dd49,
Dan,CI,fbf6bb3b-6b01-476b-a627-4509386e5237,
Gougoumangou,CI,f6202898-7322-4a4d-ba4e-3d3a0d10848d,
Soum Malachi,CI,1c9005f2-25a0-4b1c-8fe9-b581941b2d01,
L'Orchestre Guilana-Na,CI,51d82cfd-6d09-4469-a20d-91c2991b89de,
Ali Ibrahim,CI,aa9e3383-41b1-4ccd-99e2-aba3ffb4e94b,
Rato Venance,CI,8c220348-d04a-49de-82ca-648e307ea275,
Justin Stanislas,CI,80aefeee-de73-4653-a6fb-3e4e21b0f507,
Anoma Brou Félix,CI,f73004b6-1524-4f99-9f24-b5cb0d85b118,
Black K,CI,ce725158-6811-49e2-9ea9-ec531a544755,
VDA,CI,a4c325e9-0456-47bd-89bf-878a7a933eba,
Mike Danon,CI,1d665602-353b-4aa1-80a6-8ae227690585,
Fadal Dey,CI,f355e6e7-bfc0-44ae-bfae-dd09dae3aaec,
Bony Castro,CI,77aeb735-4092-41d6-816d-31476f89d4d7,
Orchestre bolonyen de Lataha,CI,c3cad825-ada7-4467-925b-2b2ee2607ec8,
"Chanteurs du village Lolobo, sous-préfecture de Yamoussoukro",CI,b849df48-3bb5-4889-8934-bf3b608d83a5,
Lystrone Kouame,CI,a910fa78-2b97-4f61-8dc9-c45188d769da,
Fanfare de Tiassalé,CI,e4d3deab-27a8-4d53-bbf2-32c215cf4def,
Afrovision,CI,80f653d5-0336-4e72-825e-126730d85551,
Kesdo,CI,55c98c03-10b6-4bac-b952-ab52df482339,
CIAfrica,CI,0412dd1a-aa78-4931-aff5-9166a58770f9,
Dream Team,CI,61e65f2d-14cf-446e-b716-fd3f83ef92cf,
