name,country,mbid,youtube_channel
Pepe and Her Rarotongans,CK,93cfdfcf-bd81-4fc7-b377-97fdd7bc93c9,
Cook Islands National Arts Theatre,CK,f47e204f-5740-4388-b0e7-dd81a977d799,
Anna Makirere,CK,1d7138ba-3ed6-427c-85e4-025247c12a51,
Ta ' Akoka Dance Troupe,CK,d62ff89b-ea8f-4a68-a5ae-09da8859c3fb,
Maiso Linua,CK,53389250-5084-48dc-a4df-f7d74bc94c39,
Tony William Tou,CK,d3b93ed7-dae9-446f-8b6a-ab0ea406648b,
Mangaia,CK,1161c7fe-f53d-4ee5-a88f-e4212060804c,
Pepe,CK,b99a5f91-c9ae-4073-bdb6-0959e91497c5,
Sonny Terei,CK,6117d2da-bf82-4037-9165-76e60fe1ff0d,
Samson Squad,CK,e9549cc2-59cf-4909-94ef-2ff86393d55d,
Enuamanu School Atiu Cook Islands Dance Group,CK,e6f85a94-9ba1-4d99-aca6-12c54db92e8b,
