name,country,mbid,youtube_channel
Claudio Arrau,CL,3905011f-ac59-4d50-9095-1545a9944de8,
Inti‐Illimani,CL,a962cd78-1f5f-4cef-838d-07e2f9d8b02d,
Víctor Jara,CL,b7e6a7fb-1d38-4ad8-bd97-c125ad4421ab,
Violeta Parra,CL,bb92cd9f-0446-42bb-adc7-b6f7c5bea2e3,
Quilapayún,CL,46cbe388-52fe-410e-82ef-a5eae098c2d6,
Isabel Allende,CL,f9e821ca-154d-4241-b695-b4f9c5067655,
Mabisyo,CL,a100a84d-8a06-4037-a113-2126cdc3383b,
Producciones Horizonte,CL,d69f0fa8-751f-4648-bc76-fc1ad82f4d5b,
Illapu,CL,bfc6de1c-b4e1-4644-8ff3-408acaeab378,
Los Prisioneros,CL,a1d044b9-76c9-46d7-a5a6-0f52421e1ed7,
Los Jaivas,CL,e3d766c2-aad2-469e-ac94-c90939f4a294,
ThePlasmas,CL,5b67db5e-3fbd-4994-b048-36cc282b4ca9,
La Ley,CL,63c5d2a6-bc32-4991-bf3a-9efe3a1d741b,
Los Bunkers,CL,e99f6d62-f62b-4e1e-8593-33d5696d85f0,
XP-30,CL,19063f90-4a7c-4075-8536-becfe1ef7a1c,
Congreso,CL,229d3b3a-64ff-414d-8c9c-4d6db75f59b7,
Los Ángeles Negros,CL,3febb873-0757-47a2-b9cb-baa2cf0e5b91,
Los Tres,CL,0bca46d2-184f-41d0-9abe-37c99d3c023f,
Lucho Gatica,CL,3af51422-2d4d-484b-8c25-0f3b42255cc6,
Patricio Meneses,CL,2ec17183-fe34-442d-9fbd-d173482e4c14,
Gondwana,CL,c3af32d2-025b-4478-9f26-8b242f4b21cc,
Chancho en Piedra,CL,233ea5e9-bd1c-4e1e-9be4-c2c93e0b1cac,
Alberto Plaza,CL,63b53711-8aad-4769-bd2d-00deb0f5005d,
Chico Trujillo,CL,101d3c29-b414-42d4-aabc-02fd2fbf935d,
Lucybell,CL,37ce71ba-14fe-4057-8d66-47e06c31dfc7,
31 Minutos,CL,dc3b6f94-9321-46cf-ad32-03b980818be3,
Bewitched,CL,6dd535ec-2110-4d21-886c-1ebe84b331a7,
Fiskales Ad-Hok,CL,873790e6-5440-4c3c-8be0-0a1ca9058707,
Myriam Hernández,CL,0b5c12d1-01fb-4cd9-9839-bb5220a07e47,
Tronic,CL,d2df059a-46e2-4030-a59c-6b769d9f7a25,
Javiera Mena,CL,904d15da-bd29-40d2-b69e-24612f18803e,
Los Miserables,CL,95f51e48-0d99-4d9a-b5b0-c83ce1a3f7af,
Ángel Parra,CL,791e6f80-6aa9-4abc-8c46-48376bd56d10,
Criminal,CL,34dc3c84-5bfd-4850-b3f1-f9f4ad63d810,
DJ Méndez,CL,33e15f71-6571-411f-81aa-23e39c3b0fa2,
Punkora,CL,95881617-801c-4cfa-b522-4530306cfdf2,
Ana Tijoux,CL,3ac6b6fc-05e9-456f-a7d8-6ddf69756d3f,
Manuel García,CL,4855207b-0853-4ed3-b835-2b6726bd1ef8,
Vigilante,CL,8b022937-3e04-47f1-b136-1db0bd02585d,
Pablo Cárcamo,CL,a3628b36-e3fe-4f89-8bbf-83f5eeb2cc55,
Gepe,CL,c9e12a06-e0c5-4705-bb66-98231c5c9e71,
Patricio Manns,CL,deeb9ef8-74b2-4e1f-bea5-5099ff1218a4,
Nano Stern,CL,9a91c842-4c79-4042-8e2d-69a41613cb8e,
Tiro de Gracia,CL,a78f7954-c24d-477b-a08b-6489ccf5fcee,
Ital,CL,223787ec-c4d0-44db-9699-f7aaa98a6794,
BBS Paranoicos,CL,fffed9ff-98c6-458a-8379-47e7fb4ba6ec,
Luciano,CL,6f8d9d66-24a0-4faf-97c7-81cd22cb1c7e,
Unaussprechlichen Kulten,CL,dd4d9439-87ee-455d-a8b3-a96364845233,
Kudai,CL,f11a5c84-d2e0-4139-956a-d556fabc496c,
Isabel Parra,CL,3cf6930a-3c0e-4ee4-9155-cab46bd15a29,
Ricardo Tobar,CL,180c238b-4cdd-4f2f-bcc7-bbdd93d68997,
Jorge González,CL,5bf1e59e-2f15-4f11-9019-1f43c189eaa8,
Tryo,CL,bc85a6fb-aeab-40c5-944f-f20623541398,
Cristóbal Briceño,CL,211092b4-2e9e-48d7-879d-ac6a5980d588,
Jorge Arriagada,CL,f0c631af-dd4c-44ae-9796-3546583f45f1,
Eliasss,CL,9b8aea2a-4877-4e4a-83de-b7ace337ce3c,
Joe Vasconcellos,CL,92772a4f-e8ca-46e3-a0d7-a4d7f8fa096b,
Rolando Alarcón,CL,d7bd5406-988a-4cb2-8337-93c42779fb9e,
Los Mox!,CL,587ef392-8569-4523-8359-cae716b5a2e0,
Los Huasos Quincheros,CL,d799af2a-329b-4547-abdf-608b1024f765,
Rise to the Sky,CL,550d25e3-5972-4fa3-bf93-ccc19b11511a,
Slaughtbbath,CL,28d08167-aba0-4736-a68a-b3411bf53da6,
Dorso,CL,30bccd97-7c35-4d45-8c93-f5168bec2767,
Ángel Parra Trío,CL,de84f5a2-0ddb-4f22-a957-366c02cce820,
Demonic Rage,CL,a853262b-ce94-42cd-a0f0-562cb0843bed,
Pentagram Chile,CL,3c55c2ff-ac8d-43b1-a0e2-ef0c6a21c202,
Nicole,CL,330e16fb-be7d-4b39-834d-d83b4c62a71a,
Francesca Ancarola,CL,95735b60-0857-43cb-b5ed-5423a9c3d18a,
Francisca Valenzuela,CL,a374846a-b434-4a07-abbb-769dc307bcb2,
The Ganjas,CL,c2384594-ff96-4005-9359-3ead6ef2036b,
Los Tetas,CL,3a96e243-597c-49a0-8d75-8b05e189ac1b,
Alejandro Jodorowsky,CL,5a7ac986-0e4b-4223-ab54-d3a1878c9de2,
Juan Kattán-Ibarra,CL,93c524ad-dd51-4b7e-b471-fd4abfd56787,
Weichafe,CL,396848d6-a219-4bd7-a480-0a438fbed3a3,
Quique Neira,CL,27e8a5cd-6c8a-41fc-b2b9-dd60afb4b81f,
Horacio Salinas,CL,c394f7ff-e534-49b3-af9c-55e546ff86b2,
Fulano,CL,05d7ff6a-e097-415b-a00b-5acba0840230,
Sexual Democracia,CL,b9340e49-e2e8-4d7a-8778-1fefb5985a55,
Nico Borie,CL,c2611d59-3f46-4d04-971a-195a7b34dfd2,
Torturer,CL,5cb4f023-e0ba-42bc-bbe2-c5635536d5dc,
Melissa Aldana,CL,faa21ccf-f0d3-4a84-95d4-ae596aa40744,
Makiza,CL,d4479c38-628d-4a33-9d15-dbd8ea576cd1,
Sinergia,CL,9658d013-9967-4702-b737-027f0d2ce946,
ihä,CL,5c5b8297-7f6f-4681-b021-46b65f67fdf5,
Asunto,CL,d7a7fba0-2fb2-4f28-9a0d-a7bd50a4caf0,
Sol y Lluvia,CL,629ef09b-937a-46cc-9d22-5f96209c1f94,
Poema Arcanus,CL,04f1dfd3-416f-492d-b71b-edc522ecf0db,
Pánico,CL,9def2ea7-8d58-43db-93f5-123768ae62e8,
Bordemar,CL,ad38b979-b43f-4e59-a5fd-34ab881f950b,
Claudia Acuña,CL,fb2766e9-4c1c-4b1c-8294-a1a6c6f53500,
Atomicide,CL,97fe1e78-ce08-4bd2-b242-3f47af852b92,
Critical Defiance,CL,0d67e011-5b62-4cce-894f-37a5591aecd6,
