name,country,mbid,youtube_channel
Manu Dibango,CM,826b488f-5164-45ca-abc4-ab11b3c321eb,
Francis Bebey,CM,fab6adab-b46f-45f8-8700-bc44408ba583,
Richard Bona,CM,202936c9-063b-492a-a20e-cc15ce97aaa1,
Wes,CM,26dc1641-9e83-46bb-ba77-bf331ca41bfb,
André-Marie Tala,CM,ff4465fc-e3ee-4606-8825-701113a70233,
Franck Biyong,CM,22d8891b-246b-4fac-a2b3-67b0f572b2b2,
Henri Dikongué,CM,0c81881c-9fa6-4f08-8fd7-26b92e959bb1,
Jovi,CM,405da592-9b1d-41e1-8847-2a6568268f5b,
Étienne M'Bappé,CM,c8f141af-c233-41f5-bc22-f7f9a578ab13,
Eko,CM,5f7168c6-a6a2-4b69-a9ea-181f4044a0a3,
Ekambi Brillant,CM,472ed8f9-dc0f-4768-8670-872164f6903a,
Reniss,CM,02e8c845-36ca-468c-9300-d06a3a9257b6,
Roland Tchakounte,CM,3a0a89a8-0fa1-458c-84b3-9f88d88012c2,
Andy Allo,CM,a8fe637d-1964-44fe-a435-586a1d4c782d,
Manou,CM,af69e8be-eac8-4898-8dd7-0f3a7dbd6b89,
Les Têtes Brulées,CM,5e39f257-c34b-4069-8f36-b9313822e73d,
Nkono Teles,CM,ee1319f0-d6e0-45f8-904c-538f6b951156,
Kaïssa,CM,d2c1559a-29d2-4698-960a-72e7115f126f,
Coco Mbassi,CM,c9ad747a-ade7-41f3-8ba2-7936c9d922f4,
Terrence Ngassa,CM,26043d85-85a1-4e93-b970-2f2934ae886a,
Mr. Leo,CM,a211ccff-6931-4022-b572-45a2f2141345,
Pierre Didy Tchakounte,CM,396e0de1-03f4-4114-bb91-1a6454c785e7,
Toto Guillaume,CM,3a37639d-e0b7-42f7-826e-915f3c4cad6c,
Charles Ewanje,CM,cbbda850-f135-4524-a366-f4b1cac82945,
J.M. Tim & Foty,CM,0600c554-d94e-415d-a414-f221b7a344a5,
Pasteur Lappé,CM,a07f089f-2265-4c99-87b9-cccafbca2b03,
Pascal,CM,7aa0b5e4-c46e-4e21-9cd8-2bb63ec61a6b,
Franko,CM,fe16531b-89ad-4972-ba87-77eb4243a899,
Ottou Marcellin,CM,fd45a964-15cf-47cb-a8be-20ab2deeea22,
Maloko,CM,0d33b935-897e-430c-88bb-c00e07e730db,
Donny Elwood,CM,280b40a5-dd65-4f06-8cbc-83ca6180b430,
Petit-Pays,CM,79d6f5e7-7a97-40dd-b22e-39275599e2f9,
Moni Bilé,CM,f775c27b-fe56-4d5b-9fd0-9229fc8db2e7,
X-Maleya,CM,af7da15f-ae9a-40fb-bafa-ec4aab845d2e,
Vincent Nguini,CM,e2f95c44-5ed9-4e67-bb43-b98459e12bff,
Anne‐Marie Nzié,CM,b3168af2-179b-45c8-b3e4-ab8c04216acc,
Armand Sabal‐Lecco,CM,5e309e0f-80cd-44b0-a326-d692ca0bed4d,
Jimmy Mvondo Mvele,CM,37b181f6-c13c-4b28-a894-673fac03714e,
Golden Sounds,CM,efe34367-9fde-4523-b0a6-5edb46144615,
Bill Loko,CM,7830ee94-f340-49d7-9dc1-fafe81ad2e6c,
Bébé Manga,CM,d290ca9b-4a12-4dae-96c7-863356a93f26,
Laetitia Laure Nsoutou,CM,bc385308-675f-4e24-a3a4-15e6ff4049e4,
Émile Kangué,CM,e5d4c042-4553-4380-a4be-88eeac650b46,
Tee Nellz,CM,f8902aa9-7fcc-40ff-9cfc-e0291d1f4706,
La Voix du Cénacle,CM,0bdbb6f6-7540-41fc-849f-78c3ac492222,
Uta Bella,CM,8e973a7f-d893-4ec1-abf9-ca401f4cedd0,
Tata,CM,a1cb951a-6774-4a08-ba12-4cc4a6af018b,
Général Valsero,CM,bb83f51f-cc4e-49d8-b417-c7776db3fe4e,
Maahlox le vibeur,CM,f6e6fc0f-3cd0-486c-a014-a3b9f738eae5,
Los Camaroes,CM,db3de4a2-96e8-4346-bed9-d82972837d60,
Gervais Mendo Ze,CM,c9a24d97-8ecd-4db6-bd1b-60239c2db1d2,
Hamad Kalkaba,CM,b0ae7516-e985-499b-b5d1-858abd300d9f,
Ice Cold,CM,5f5ca6e2-9bc9-4ba4-b095-21ca0b467539,
Liza Ngwa,CM,8f9bad67-601e-48f2-bd54-0e7054337866,
François Nkotti,CM,9a1547bb-8aef-4c7c-b54b-ccd33421569b,
Bony Mballa,CM,43c843a7-49a8-4f6e-846b-f7d9162606b7,
Mbum,CM,4846cd48-b349-4f37-8cf3-a376a5bf5ae5,
Pat' Ndoye,CM,a96b68dd-2a91-4fe7-9e57-448d7cee3a11,
