name,country,mbid,youtube_channel
HOYO-MiX,CN,9df7ddfb-75fe-4470-9269-5810d9263b09,
陈致逸,CN,ee0358ab-47c3-4e5e-aac9-81f7825fe552,
Areal Kollen,CN,6aedd326-5af9-4ed0-aa73-9f0e6edc9de4,
刘慈欣,CN,57f8a54d-521c-46f6-9340-c4f44096e203,
G.E.M. 鄧紫棋,CN,7c5e567c-0f96-4623-a981-fbe67aeaa0c9,
李玟,CN,f3fd7e43-aca4-4e25-9f2d-a5c992a575fc,
女子十二乐坊,CN,8b92caf4-4881-4e20-89b1-85dce4bb4e90,
alan,CN,dded0177-e235-474e-8529-a812b89f806c,
Lang Lang,CN,43e1570a-1a0d-479f-9c95-fba971aec91a,
李志,CN,e54bc357-19aa-4e1f-9795-3346e486d5db,
张蔷,CN,2470931d-0ca6-4c67-959e-ae0d42aa509b,
谭盾,CN,0a94a7ff-f7f4-4b07-8a3b-c3daa4ce2fb8,
许巍,CN,347dc65b-01f6-4366-9059-1ec8d7675bad,
黑豹,CN,ddf79a7f-1343-462c-8298-c501bf203688,
SNH48,CN,c17dc0c9-de19-449b-b31a-8cca74231c2e,
李健,CN,490b4689-5f0e-4de2-be30-18c3a55cdf91,
Torturing Nurse,CN,c3062851-634a-4717-bf07-41ff9d3bcbdb,
尚雯婕,CN,58a67559-4895-4b8f-b011-d9009e823357,
Tengger Cavalry,CN,71c53622-5e7d-44da-90d3-30ea2c89ad0e,
Die Slein,CN,94c9e18b-51cf-4e34-81b5-9aa2c2287f33,
李荣浩,CN,82c314c4-0498-466a-9093-79cef38875a0,
郭德纲,CN,754ca5ef-7e74-4b34-8361-4db7703b0e45,
陳潔麗,CN,dbb5e9f8-3ab6-468e-bd29-a6b97322a362,
刘欢,CN,006108f5-158d-439c-8927-ca2b6d6a1e9b,
塞壬唱片-MSR,CN,9cec613d-596c-4ac7-bbc3-aafce1301aa8,
那英,CN,6aa74244-000b-4932-b003-b0636281931e,
周笔畅,CN,be05fdb3-3152-4bff-ad69-bda8a1e2f712,
袁娅维,CN,ff81994b-bc0b-4952-b0ac-8fd9ad03e899,
萨顶顶,CN,9e25b36f-47fa-44ee-ac80-0d4f5168128e,
刀郎,CN,d8e0aed1-09ed-4609-b743-5934888cbac6,
趙季平,CN,67c42a83-eb74-4da2-967f-c7519493cdf4,
Hanggai,CN,b0681d9c-357c-4e35-801b-681f9fd782c5,
张靓颖,CN,2bc6819d-dd36-47cc-9ed7-945d3ff9ef31,
賈鵬芳,CN,d7b7b3c3-38cf-4f2d-bac8-194be10fbe50,
崔健,CN,d457f05e-8802-4888-83a6-b07d3df3bbf3,
汪峰,CN,d9b5983f-4679-4555-a75b-79333da3b292,
周深,CN,b8582c50-2e88-4d2e-a064-d287d6276be5,
LAY,CN,5d7686b2-90d5-44c6-ab70-693e98506fb6,
Wang Changcun,CN,4aff3c51-4285-4a0a-9256-78fb9cc1f833,
汪苏泷,CN,80234726-0f2d-4f87-be84-d7100c4d3f67,
王羽佳,CN,841236a2-176d-4032-a371-b2539f18ddca,
SING女团,CN,4074f665-82a7-4362-98b9-0175c33d422d,
尤静波,CN,1d4242ad-496f-41d1-824f-abefbf427616,
张杰,CN,9249dd1d-68dd-4fcd-8dcb-c3104791032d,
姚斯婷,CN,923288c3-381c-493a-a290-81ec3ada07ae,
黑鸭子,CN,2ae6237a-61a7-4ae6-b17c-db4858e2a60c,
洛天依,CN,6df54992-1301-47cb-aef2-45662b087b9c,
