name,country,mbid,youtube_channel
Shakira,CO,bf24ca37-25f4-4e34-9aec-460b94364cfc,
Grupo Niche,CO,5436ce22-af50-4714-addc-afd5d2efc77f,
La Sonora Dinamita,CO,46a153df-a143-403b-948c-0131cb1a1067,
J Balvin,CO,5bdeb32d-56a5-4b6d-a768-264101fa0a0a,
Juanes,CO,8b0f05ce-354e-4121-9e0b-8b4732ea844f,
Binomio de Oro de América,CO,e4e2c6bd-7208-4efd-8240-de0713d4857d,
Diomedes Díaz,CO,2d860ad7-7451-4f42-9964-6a04d8ee57fb,
Peter Manjarrés,CO,090430d1-eb84-49e7-880b-8d3b8261508b,
Carlos Vives,CO,ac367c2e-7783-41e5-a184-131da6b0c166,
Silvestre Dangond,CO,644569a3-6cfd-4f5c-9fe5-80bc4d78f816,
Fruko y sus Tesos,CO,ee0552e7-de2b-4fc2-8739-9c33a905c3e7,
Juancho de la Espriella,CO,e20d4fbf-b38e-480c-bb99-a0d6227b8b31,
Filmmaker,CO,3bceb8ad-3f9b-4024-97d8-acd1f70688b9,
Fabián Corrales,CO,c5576d96-7f64-4993-8b6b-62f27a8db8fa,
Los 50 de Joselito,CO,4af20931-ff68-4dd1-ad4d-830038e88fb1,
Los Corraleros de Majagual,CO,b4d9bc42-4765-4ab1-afe8-ea127b6be048,
Joe Arroyo,CO,64c69f29-f3f7-4dae-bd1b-84b429be43fe,
Sonora Carruseles,CO,d726a2b3-5c6b-4cae-8e79-81d52db9462b,
Los Gigantes del Vallenato,CO,82c9f586-406d-457d-92b4-da77e06914fc,
Los Chiches Vallenatos,CO,795de4b9-a590-45d9-b413-2bfdff1a2692,
Iván Villazón,CO,e602507b-06e2-4285-babc-a8bd0e26d090,
Felipe Peláez,CO,1c96800a-cf0f-44cf-bde5-eb196ece5f67,
Sergio Luis Rodríguez,CO,ba37a00c-2c56-4b84-9afb-0f87cdc068f7,
Andrés Cepeda,CO,86a4ab3c-011c-4dca-afa3-80d9d49e9fb5,
Aterciopelados,CO,0ba1966a-e471-4f98-85d7-8ac0c1f836f0,
Maluma,CO,e8979f75-9110-4df8-ac70-898898d080d1,
Alfredo Gutiérrez,CO,490f9c79-d923-4f65-8618-a9b00cf2cf2c,
Los Betos,CO,b471c82e-e9bf-4929-bdac-553020777852,
Fonseca,CO,f84e0f7d-86b0-4957-8b17-6b46d6e47246,
Grupo Galé,CO,400ca3c1-d6b8-4870-83c0-ddf4c23f5a86,
KAROL G,CO,de22adae-f8ac-414f-b653-b0162611bd60,
Gabriel García Márquez,CO,5ced2364-f997-4a17-a21e-03d1c9277823,
Guayacán Orquesta,CO,2697ac7e-00e7-4d2f-a794-c26a9e780a8b,
Lisandro Meza,CO,5a162170-d306-4331-bddc-54365c52b3e5,
Rolando Ochoa,CO,ae4539c0-c63a-4def-a44d-c7dd47fdeace,
Mauricio Buraglia,CO,5e6a64b3-3059-477b-acfe-d9e9d4156724,
Totó la Momposina,CO,6904c849-97ab-4bf2-af51-467e8dd98ec9,
Marta Gómez,CO,aa7332ab-142f-45b2-a372-f0626ccff4ed,
Carolina Marquez,CO,2d301d94-309e-407a-80de-e995b83df715,
Iván Ovalle,CO,231b8332-0564-4aa0-ad4e-a3d40aae924d,
Alberto Barros,CO,f9e6e9c7-a435-4557-b114-3476b5bda21d,
Generación 12,CO,80bbdb5a-e454-4389-b362-9880d005a086,
Los Inquietos del Vallenato,CO,23bd2a26-6fb2-4f26-b46a-05dc4ec9e7da,
