name,country,mbid,youtube_channel
Picha,CR,d9e81f13-1f00-4f97-a7b7-49d6ea960043,
Shinnobu,CR,8b930f87-fc1d-421b-b600-b5d347748695,
cactusbear,CR,cb9153dc-2fa3-47ea-af2f-5bbe6f2957e4,
Danilo Montero,CR,4f321e41-1db5-4583-9738-d9304174b0fa,
Malpaís,CR,5a12467f-1164-4f36-ac0a-80270dab60df,
Evolución,CR,2cfa05ca-93eb-4f84-a269-d95252ace005,
El Parque,CR,c61fe40b-4318-4b85-9db7-ecd27374fa65,
Shinobu Entsu,CR,41f7e4c9-f2ec-4069-8aa4-9e7c12078850,
Éditus,CR,d56c4b41-e84c-4c1d-a633-584ac350ca34,
Wings of Destiny,CR,23d8b538-f85e-4e0b-a3ad-3386b0e3bc46,
El Grupo Experimental,CR,eebf5fba-8352-44cf-b17b-6d7a6c04558c,
EUS,CR,b8b9c3e9-33ca-4370-b095-981a8396f67c,
Jorei,CR,573c0b98-77f4-4bc3-9d79-bf8367786619,
"Walter ""Gavitt"" Ferguson",CR,49362127-61c6-4c55-bd54-7d6ca218d300,
Gandhi,CR,e6dfe5df-8340-4faa-907f-b7c4e8474f47,
The Client Brothers,CR,5d570795-30dc-4cc6-9fbe-fb31e360615d,
Grinder Mifflin Inc.,CR,3f730b67-3996-428f-8b66-72b0bcaee70b,
Einsamkeit,CR,f8b45522-3f04-4c82-9bdc-cb8a2dbee30c,
Las Robertas,CR,7252934b-74b2-4db9-aff5-e01141217972,
Ale Fdz,CR,c27e174a-662f-437e-8e20-ac9ea88fceb3,
Goat Rider,CR,10e39c48-d3e8-4e01-8820-2d705edec6d3,
Acéldama,CR,675f861e-4d41-45e7-bd38-53d8a0f73814,
Debi Nova,CR,551a74e2-fe5c-4923-9a0d-15bc1fd837bd,
Inconsciente Colectivo,CR,7fbddc3e-693b-405b-afa1-b705a2c21961,
Hanzell Carballo,CR,7e20517f-09a2-4729-bdef-85ef4dcfb445,
Índigo,CR,070f5f8e-dac7-4973-ad0b-38683a84b71d,
Demencia,CR,48f48cd7-9b45-480b-9b95-09d64feb83e3,
Martín Valverde,CR,766cd363-a5ce-4491-a7b5-51af229ad712,
Humberto Vargas,CR,b1882a80-df61-4256-9f31-b9140f03fed0,
Billy The Kid,CR,f1972eda-5fe1-4250-8542-3e9276be2b1a,
Morbid Gorgeous Girl,CR,10f029b0-9e0f-416b-982c-53e9f45de6c7,
Last Dusk,CR,7ef1beea-86c5-4177-bf19-c4df0d9982bd,
Andrés Soto,CR,969d8da6-588e-4158-a87f-c606718713b3,
Bacteriofago,CR,d1874f97-659e-42f9-aa23-feb7b729be95,
Yaco,CR,1bc802b8-b1d3-4982-838b-53f5cf2492a1,
Rigoberto Amaya,CR,6a69a666-b369-4344-a15c-59f8c3f3d826,
Black Whispers,CR,980e4af4-6066-414d-a499-8bca37927924,
Advent of Bedlam,CR,e86bd03a-ce67-42c7-bf50-91f9dcbc19d8,
El Café Chorale de Costa Rica,CR,5bf64e32-4a30-47fc-b5cf-0f335c49a521,
Max Goldenberg,CR,783e4b83-1901-4756-9a9a-1d32f1d7feb9,
Monte,CR,d7379a7e-5846-48c6-8112-2dee49dd779e,
MishCatt,CR,9e9209d3-febb-4a6a-bb8f-1a8a05dac3cb,
Luis León,CR,ef5cc27f-40c0-4437-8321-94b028dab6c0,
Abäk,CR,bd79de3a-2376-4d15-8cd6-a38ca70d6ac6,
Time’s Forgotten,CR,09a1930a-9d6e-4edf-bd34-1d73a8558326,
Café con Leche,CR,62a1cfaf-334e-477e-9385-ad14795cf93c,
Sonámbulo,CR,6f7c0a3e-fdfc-4d79-a632-dba784f4f535,
inhuman,CR,63e98177-603b-4792-a7a9-fbbd31a4d349,
Pseudostratiffied Epithelium,CR,325ae8b7-c83a-4386-802a-9758b45352bd,
Crooked Mind,CR,b36e1c4b-80d0-4b22-8129-0129845e3012,
BBW Cunt Fuck Commando,CR,42dc5c42-1099-440a-8cb8-2e95a5e3fac9,
