name,country,mbid,youtube_channel
Celia Cruz,CU,7b8e1188-9ca4-4aa5-8393-172de6fa04de,
La Sonora Matancera,CU,4cdf47ff-256c-40c7-b722-03809b5a23ba,
Pérez Prado,CU,9b97150f-f131-4339-921e-8e5d8425f737,
Mongo Santamaría,CU,915f84de-eac2-4e78-99ad-9ab6e2c50af6,
Compay Segundo,CU,8b8ab7a4-add8-4353-a586-e1086e521af8,
Silvio Rodríguez,CU,42e1a761-429e-403c-971a-e85c2f748cfa,
Pablo Milanés,CU,d7437c1b-08fd-4903-9b3a-ec7be866c38d,
Beny Moré,CU,7dfd4a6f-5a28-4926-a8e3-4f532f813a7b,
Los Van Van,CU,452d9da4-21a7-44b0-8299-1ec4a8f031ef,
Omara Portuondo,CU,d2e06763-1035-4b1a-82c7-b7c08e06ba48,
Chucho Valdés,CU,6999d571-cc1b-4426-8071-b3b266a0a5d1,
La Lupe,CU,8d5ac199-b3bf-4e1c-8b27-7e8275cd347b,
Orquesta Aragón,CU,be725fe7-b2e7-4c66-ad1d-6612055684ab,
Irakere,CU,70365513-39d7-47e3-b898-1f70f607b1fe,
Fidel Castro,CU,8f9f6f48-5a06-4825-8fc2-c82203cf9af7,
Bebo Valdés,CU,4034bdc9-e19d-4f70-8603-4c01aa2e89cb,
Leo Brouwer,CU,55bcdfc0-dc50-4258-a96c-e20667f6b6f2,
Ibrahim Ferrer,CU,a61930ae-dfe3-4574-bc5b-b0fa8d8efb62,
Gonzalo Rubalcaba,CU,70053535-a3ae-4aad-a6cd-68c55085b843,
Omar Sosa,CU,235abd9b-3d2f-4613-9d67-a7a1bb59ec3d,
Antonio Machín,CU,3ebec7a6-bed1-47b7-a589-3f60dbdae61a,
Xavier Cugat and His Orchestra,CU,078a5d52-d179-47f1-a16a-71419f740d0c,
NG La Banda,CU,a88cb452-0af4-4171-bd07-d54bd8b14349,
Eliades Ochoa,CU,1de8629a-9dd3-444c-86a0-9f9bd8c02218,
Rubén González,CU,861dbed8-5662-4778-9eca-3abb2245710e,
Elio Revé y su Charangón,CU,f385b74b-f1e3-482e-bf11-4ce6eb1a7eae,
Ernesto Lecuona,CU,e3d50ece-9931-4ecf-88f1-8fa5295b6829,
Israel “Cachao” López,CU,d6060786-dac7-4101-80f1-8a10c81d0a7a,
Buena Vista Social Club,CU,2a85ecff-41e9-4be1-aca6-c87054a4c334,
Trío Matamoros,CU,34a57b4f-ab65-46a5-ac1a-4eb4662dd9a8,
Carlos Puebla,CU,5bc8a04e-e68e-4775-bd1e-6a5f1d761f80,
Juan Formell,CU,cc57e7c9-d99d-4955-bc89-a35f2122be82,
Arsenio Rodríguez y su Conjunto,CU,2e978204-5381-432f-a983-5ae991be9431,
Trío Servando Díaz,CU,ed608d2e-60f1-4c32-bef5-108dbd074e6c,
Manuel Barrueco,CU,2d66b94e-8f4f-49c9-a295-16ae0d464c4f,
