name,country,mbid,youtube_channel
Cesária Évora,CV,ceafdf2f-bc18-4b99-8c71-d1834b0065c3,
Mayra Andrade,CV,e746ec27-6f34-4442-b897-96fd85f769fe,
Tito Paris,CV,71d3b800-9759-4ed8-bd2b-87b317e5a34a,
Bau,CV,ece90d95-9757-4ba4-8720-7b8d1206432f,
Bana,CV,8589ab83-e07b-45a7-bd9f-0ea9547a312c,
Teófilo Chantre,CV,689f3f45-5ff6-49f6-a19e-50ec1b8ab108,
Gil Semedo,CV,c03e186c-c7b3-4f7d-a609-96ee3d8b228a,
Maria Alice,CV,6764c0cb-403d-4c2d-a2d4-f34eb846191b,
Tcheka,CV,29c4abc0-5a26-4644-a95a-ba7affc0264e,
Cordas do Sol,CV,be43f75f-a948-4831-a7ae-588d67e8587e,
Nancy Vieira,CV,32b58c58-2bb2-4cde-bdbf-14639613e98c,
Djodje,CV,96190385-4869-4805-82d9-bf1fd55471a5,
Os Tubarões,CV,ba5c71ad-bd24-4f26-a3ed-6483f9803a7b,
Elida Almeida,CV,15941edc-bc0a-43a1-b5ff-b0c03a7f65da,
Boy Gé Mendes,CV,8a8e4bcf-a863-4e9e-afb7-1dbe3c639a9a,
Mário Lúcio,CV,71babe35-db0b-43f7-94c2-55880798026a,
Beto Dias,CV,72b02b64-489f-46ba-baf7-9162987d7c00,
Ildo Lobo,CV,971841d4-58c6-4010-9937-4e790dfba7f8,
Lucibela,CV,3f9f15d9-4b91-4281-a5c2-5d71510706e1,
Fantcha,CV,d78c7719-af77-4fd9-baa0-0d08c86858dc,
Simentera,CV,1e64ba62-7e68-42a4-a9c1-fb3516a6acae,
Voginha,CV,d40eb09a-71df-4feb-b2cb-1b8345f1c861,
Bitori,CV,e2b472ad-5b07-4f6b-bf45-8a77e09ea638,
La MC Malcriado,CV,687f5cd1-4aaa-47ee-a52e-cd134e5d3700,
June Freedom,CV,f2b98e08-b3ad-4b9b-bc5e-e4fbc32d2490,
Dudu Araujo,CV,0cb2d05c-3d96-4c1a-95fe-10579a967323,
Agusto Cego,CV,92fedcdd-6260-42d9-a2d0-3385bb3d4245,
Voz de Cabo Verde,CV,62b0dc6d-4cc5-4d3d-a5f7-96426eb8fe76,
Zé Luis,CV,b13e86c5-8a54-40da-a0cd-16d3a9ffee34,
Vasco Martins,CV,71ce0ef6-e321-4805-afcf-40535517448d,
Zézé di Nha Reinalda,CV,2fd62dff-f33a-4e38-b711-904026660932,
Travadinha,CV,0c5c3b93-14d5-4959-afa2-4634c097c9bb,
Karin Mensah,CV,a6584364-8f75-4361-b399-2e3f9d2cd149,
José Casimiro,CV,d3ed5a6a-43c1-4996-b8b4-72c662cc7d16,
Princezito,CV,c06c5ff9-fd20-4467-be82-3e083c86046d,
Splash,CV,3313ddc0-5ea4-4c15-aed5-4ffb1ab0e979,
Marysa,CV,0f9384bd-3378-499a-bbaf-87a645da6268,
Black Side,CV,17eaab44-373c-43a0-9ec8-e3b0d73d6e0e,
Chico Serra,CV,4b748b4f-3c81-44de-b73c-5ad351d76176,
Antero Simas,CV,b2190196-089c-4154-99a4-bdaae856a942,
Abel Lima,CV,27a8f99c-776e-4dd8-b7c9-2675e1c3e43a,
