name,country,mbid,youtube_channel
Wim Statius Muller,CW,1642f0f5-c5a9-4784-8a6e-302f6e0eb5a6,
K-Liber,CW,c3404f17-4550-46fb-bfef-f3a9592a15f5,
Knaller,CW,487ba3a4-330d-4583-9261-ec47a2fc21c1,
Guillermo Marchena,CW,ef9c7d32-36d7-4194-b8d0-5f47b0745f89,
Harold Martina,CW,f80e1111-8673-4280-9f15-b60daef01364,
Oswin Chin Behilia,CW,2d463754-b6dd-422b-9d5e-793665e61067,
Robert Rojer,CW,577d7d3c-54ab-45ec-a8be-121b65f78c73,
Edgar Palm and His Combo,CW,15b98d8d-5b6f-408e-a18d-e97e70614f36,
IGM,CW,b2be01d2-2709-4ae3-b8a9-130dc6396a6f,
Morto Kacho,CW,235a6bc9-1893-4630-baa1-d912ace9db9e,
Tipico Santa Rosa,CW,32acf8df-522a-478c-94c5-db17e4ebbc58,
Jacobo Conrad,CW,6ce7dd57-a351-43b1-a3f0-70378eed41a2,
Edgar Palm,CW,60cbf8cc-b3f0-47a2-b6ee-615052664662,
Diangelo Cicilia,CW,bdf73625-7cf0-49af-85ad-93bcebea2692,
Jacobo Palm,CW,61e165b7-6d1b-42e4-9219-466a3c1092b8,
Randy Leroy,CW,4bc4b32d-5688-47bd-a933-3eb77c12a55d,
Pernell Saturnino,CW,f3f0d321-c177-48ca-9f58-9f5515f9fa48,
Jahari,CW,2365fa2d-7ee2-4848-bbc4-5e188776530e,
Joseph Sickman Corsen,CW,f0d2678e-2132-4d40-b0be-4f0a4fb3c8b9,
Rudolf Palm,CW,eb6338e0-641e-42ea-93a5-85e39ee94c1d,
Roy Martina,CW,7e60dc3e-d4a7-407f-9e6e-a44c85882c80,
Decomposed Milk,CW,81a2d54e-bdf3-48da-b5b3-1a49a78508b4,
Albert Palm,CW,d69d6157-dfd5-4db4-8df5-57344d4b96c9,
Jan Gerard Palm,CW,aaa2b41e-07be-4b9c-a95a-749931a4e955,
Jules Blasini,CW,099070ff-dffb-46df-93e9-b5bcf444f88f,
Floww,CW,0fbd7593-3656-458c-9e0e-91218c56a4bb,
Yuchi Cordoba,CW,fb46cb29-e84f-4da5-b872-20c75626d7c5,
Josje en Angela,CW,8a22b88b-40e3-4368-85dd-19a0e8fbfd97,
Broertje Josefina,CW,447dd394-39af-477a-a537-3cb2c7ccc1d2,
Otrabanda Company,CW,ce5d807b-3b76-4547-87b5-2bc4aba06975,
Heronimo Maximiliano,CW,234a67d1-c7ff-4ad9-9142-2dc479d73698,
Papito Osebio Martina,CW,e475a78a-d30f-442e-877c-59f4fda99f39,
Humberto Nivi,CW,40730339-a050-4090-be33-fb1cb5f69dd6,
Ruben Scoop,CW,4c98f5fa-d9b5-4089-92fe-8d038603a59e,
Erwin Kastaneer,CW,58f52808-b0f4-4b13-a1b1-20d83fe65fac,
Ruchi Isidora,CW,1213d2f1-0672-415d-ada3-9c57dd6ab42b,
Norman Moron,CW,17dffcd1-47f5-46ff-a8da-d41ce80bbb11,
No Game,CW,58973edc-cbaa-4467-848e-f80a7306269d,
Yeyo Calderon,CW,1be62d12-19c7-43dc-990b-c3abca58e898,
Arnell Salsbach,CW,9bea4f37-fd02-4e42-89b7-538d23799aa5,
Hershel Rosario,CW,4c15b953-c356-404b-bd9b-451349b6c60b,
Ernie Gregorius,CW,4c1a34b9-f196-4580-8175-682fdf6e8770,
Tico Libie,CW,d1b8ded2-ae98-467d-9cf4-36c15419e09b,
Lonte Conradus,CW,6fccf1f3-c739-4a95-9023-51244fdcfbfb,
Magali Juliana,CW,2c123522-4e8c-43d9-9933-f422398f2386,
Alex Montero,CW,0a49f319-d9d0-4630-8c82-3ef50da28836,
Roxanne Rosario,CW,0437e38d-6152-402f-8e99-012ac679ade8,
Jean-Jacques Rojer,CW,c083ebda-1ff2-4ea0-b3a1-ea50f7ccc2ff,
