name,country,mbid,youtube_channel
Antonín Dvořák,CZ,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,
Karel Gott,CZ,c5e0328e-035a-45da-9ae5-908bf22169aa,
The City of Prague Philharmonic Orchestra,CZ,d8451fb8-74d0-4509-a242-6f683641234b,
Leoš Janáček,CZ,edfced8a-01bc-4c22-96b2-da58edd6b8af,
Bedřich Smetana,CZ,6eb5695e-cf7b-4b94-b441-a09901127ef9,
Bohuslav Martinů,CZ,a81e92aa-7580-4201-a0c3-d66b420695c4,
Helena Vondráčková,CZ,2c56c825-32ab-4317-b724-866076b7da75,
Jaromír Nohavica,CZ,3fd5eb03-0511-4ea1-a6cb-67e43cfe5db6,
Jan Dismas Zelenka,CZ,34a4fc02-82fb-4168-9787-ab5e10a662f2,
mulpHia,CZ,6594f523-9ae5-40ba-95ed-3598d7ffd9cc,
Česká filharmonie,CZ,afad991b-c46d-465f-8d65-f02606f08fe8,
Olympic,CZ,e3fb0b9a-c9ed-46bb-ae1b-567d46ebfbdd,
Václav Neckář,CZ,109ec104-0792-4f75-bd24-2f8c12b0745a,
Jiří Suchý,CZ,34615059-4dd7-4b30-9d0c-044a51c17188,
Rafael Kubelík,CZ,edba9279-b24b-4e0c-9172-2b016cdcbc1e,
Erwin Schulhoff,CZ,e2eb5293-00fb-40bb-92f4-3db07a229118,
Tři sestry,CZ,1a831d81-ee6a-44bf-b5a0-c1960699af11,
Petr Skoumal,CZ,a5388c7e-950c-44ae-852c-91a701dd312c,
Hana Zagorová,CZ,42224d0e-0248-418e-a915-2b465e5953ba,
Hana Hegerová,CZ,594a12ce-c687-451d-9783-0fe6429e1da9,
Jiří Šlitr,CZ,b984a78d-9986-44cc-8d24-a76d2bddf2b0,
Vladimír Hirsch,CZ,4a53644e-9122-446e-822d-61ebcdcfdb32,
Čechomor,CZ,bb660772-4397-4b6a-8f8d-6d8b12f2e1f8,
Pathologist,CZ,7c740955-46f1-4073-87b5-68bde9d6962a,
František Kotleta,CZ,ff33a0ad-154d-4190-af80-992fc5182f27,
Arakain,CZ,29460db7-eae0-4d01-ad8e-861e02987d68,
Marta Kubišová,CZ,b788c1cc-af1c-44f0-9db8-35990c364faf,
Rudolf Serkin,CZ,005da96d-67fb-4723-ad78-b0571b6ce076,
Lucie Bílá,CZ,6ffad10e-a6b8-49fd-86e3-61a1f4207e5a,
Michal Tučný,CZ,f7867df2-e78b-46e2-8dda-8ee977b6ad82,
Jan Vodňanský,CZ,89da1dbe-ed4c-4a67-91cb-a9cf9d315f7d,
Master,CZ,c130e0f8-5aea-46da-9e99-ebaa5cd24430,
Zdeněk Svěrák,CZ,26f62bfe-2bf3-4181-bb71-7cacd8222465,
Banjo Band Ivana Mládka,CZ,98fcf82c-0df7-44e1-bec5-65e5e1be3c7d,
Giorgio Koukl,CZ,207a6bf5-234e-4693-83b4-c705da9e5d4b,
Jan Valta,CZ,0043d419-7169-44f4-a058-b4b39a284f90,
Karel Plíhal,CZ,ff18364e-fd4b-4bd7-b199-452fc9e5eb52,
Spirituál kvintet,CZ,2e69474b-d52a-4ae3-8608-838044ddd608,
Miroslav Vitouš,CZ,d214235c-cf6f-4c8a-bf68-be027b7bb16e,
Maxim Turbulenc,CZ,f1f1dc2c-5b30-494a-af9f-7dd3e5c66aa3,
XIII. století,CZ,fc478377-1627-4391-9942-2ff60374bd9b,
Jaroslav Uhlíř,CZ,989e5860-2837-4add-9814-668cb25f6f1e,
Forbidden Society,CZ,5e36c537-48e6-4684-bce4-437513eecd47,
Pavel Bobek,CZ,7483798e-a9d0-4e4a-bcd2-d0a4317ea8c0,
Katapult,CZ,0b1a63c0-34c6-4839-a0d4-d425ddf31791,
Daniel Landa,CZ,3c090fbb-f153-4ce8-9a7f-97b798cbb918,
Iva Bittová,CZ,597399a4-57a5-4c51-8eb2-b2cf7b13a871,
Kabát,CZ,ebab48e7-281d-4263-be64-101b1d7bcbaf,
The Plastic People of the Universe,CZ,5dd115f6-566e-48f8-a678-17942b30d050,
Scraton,CZ,4dff1755-12a5-483c-bcc6-91fc933e3d50,
Škwor,CZ,c1b2907c-acaf-4995-a3cc-b158b7104f96,
Karel Zich,CZ,cbeff200-d853-4f83-89b8-6c694a369570,
Karel Kryl,CZ,3111ef6b-e7e5-4040-bb6d-78cb414d8240,
Leopold Koželuh,CZ,b2c93742-b037-4316-9eb4-0e2a9ceb3408,
Malignant Tumour,CZ,76c211ae-33a9-4c1a-9b0e-94f4ac7f3159,
Visací zámek,CZ,2032f5df-5d77-477c-9529-eb6d80bf065f,
Zuzana Růžičková,CZ,a0c08260-98d0-4d6c-848d-29c92ba0babf,
Libor Pešek,CZ,e09941c4-4546-4c23-a947-c1e671118a97,
Eva Pilarová,CZ,ec0be7e5-1160-4490-a5a7-3f816022882a,
Žalman & spol.,CZ,6d2cefc5-35dc-4a72-8e8a-fb8945716ab6,
Chinaski,CZ,e1f0dc8e-66b6-4fca-a866-d014bd8512e8,
Root,CZ,6031dc2d-1331-49c2-8a95-743091ff6a30,
Argema,CZ,d2f9c293-6ae4-481e-9ce4-fff1dbfde1cd,
Vladimír Mišík,CZ,b575d963-c135-47c0-b835-78a1274f28fb,
Ewa Farna,CZ,f5055a31-2d6f-4928-8cb4-a7b8f310d191,
Václav Neumann,CZ,22a4f3ac-aa25-4613-9891-0b7e8bdb53de,
Michal David,CZ,47cf828b-aa2a-4b22-91cd-8107053f72fa,
Onany Boys,CZ,65d195cb-924c-41db-9efa-2956f41223b7,
Luboš Pospíšil,CZ,369ed152-5b58-48de-babf-47ae7aff4574,
Znouzectnost,CZ,79320244-bc47-4bab-a9dd-461c21920f4d,
Šlapeto,CZ,fdb39482-2c44-465a-b46e-dddb22d4f632,
Dara Rolins,CZ,25218a2e-b892-4204-a737-2b5bc5835c15,
Petr Kotvald,CZ,e82d7214-3c2f-4705-abcb-35003405af4b,
Petr Wajsar,CZ,fcadeac1-28dd-449f-b480-b183348eed5a,
Tomáš Klus,CZ,0a7f2ab0-eca5-454a-a332-52ad624b260c,
Mňága a Žďorp,CZ,9a29aa01-13d6-4d60-a278-4b0df62edd9a,
Pražský komorní orchestr,CZ,1907a467-fabb-42be-9aaf-9baa488376bc,
Jan Burian,CZ,9d713904-4183-439b-bc69-6a694e18fe37,
Jiří Bělohlávek,CZ,e46933fa-7d2d-467c-b7a0-1d499bc62d51,
Karel Svoboda,CZ,6fd1b805-ef26-4111-882b-ecfcdbc18c27,
Vladimír Merta,CZ,ea376558-da24-4ff0-9e17-f8cc5b73070c,
Alkehol,CZ,7905b1ec-d96b-49a3-826b-7cc83b7cb45a,
Turbo,CZ,219ee342-5cef-4320-ad16-fa37e4ae845c,
Waldemar Matuška,CZ,7ccbbc18-dc8c-43cb-af1c-2f0901df7b90,
Už jsme doma,CZ,d98e3d40-ccc3-4c3b-a840-bff8d761f5df,
Symfonický orchestr hlavního města Prahy FOK,CZ,4d512eea-1a28-478d-92c7-fd878d3786b3,
Kamelot,CZ,46f4cd77-8870-4ad8-a205-1bee18901d0f,
Tata Bojs,CZ,e49faca1-5796-4c9f-8e3a-f4109b1cf2f2,
Josef Suk,CZ,286b0e0a-0d34-4624-8536-034ed01ac722,
Iveta Bartošová,CZ,12f983c6-adc2-4d19-82e1-debd30a30820,
Master’s Hammer,CZ,e609a77b-3a50-4631-a1ff-30622231066a,
Jan Werich,CZ,4d780177-64fc-40d5-9560-db51ea5b9457,
Törr,CZ,fb2536d2-0fed-4208-b99e-5a1b6eda7d4c,
DVA,CZ,aa17056e-47fb-4600-991d-9b1e26d52b50,
Ferdinand Havlík,CZ,ebd40595-97bd-4e03-851c-49f8c6936570,
Floex,CZ,24b70d13-85ab-410b-a044-2cca4600b1e1,
Jitka Molavcová,CZ,2dc11bf9-560d-4c58-bcb6-2a6d83d6242b,
Petr Novák,CZ,95fd2ae9-b4ca-4ed6-aa93-ef93cb7d1217,
Fleret,CZ,98d53ff5-670e-416b-b0c8-9b70a0fd29e3,
Jan Ladislav Dusík,CZ,489c293d-c9bc-4e6a-83d7-660984370cbf,
Petr Muk,CZ,7fa4eee3-95e6-4fb0-b341-d66c429c18be,
Nezmaři,CZ,19658687-d86d-434d-95c3-2cf4b8fe1552,
Rangers - Plavci,CZ,7c2fccd7-3342-47ab-bea2-f73d4d55eee6,
Wohnout,CZ,755c1cb1-9ac6-43ab-94ba-b438396e9360,
Milan Pilar,CZ,81a73bc9-9dd5-46f7-9e88-d40287332d3d,
Hradišťan,CZ,d43e7faf-7c4f-495a-b2de-4807ec2ff84e,
Keks,CZ,897a6cef-92d2-4166-a4f2-8a87ea33e696,
Lenka Filipová,CZ,5178a059-d947-4fe4-a703-367064b727ad,
Lucie,CZ,846e2587-e5fa-4623-b84c-6c53f9c36db2,
Vypsaná fiXa,CZ,06a9eb28-1dc5-488f-9572-a0ce6c6597c8,
Marie Rottrová,CZ,9f6d6f06-0ccc-4ffd-9486-638e83e42e7f,
Petr Eben,CZ,4d2f57d4-29dd-4e7c-9a1f-fa13c85ff055,
Totální nasazení,CZ,8134332b-2d26-42c9-97fd-1107066797ea,
Naďa Urbánková,CZ,7215ba5c-a0e6-4704-9e54-37e850259af2,
Blue Effect,CZ,527d34cd-9b9e-45fd-bd44-1fa2aefdd3fc,
Těžkej pokondr,CZ,f0a0a5a7-3e99-4416-b0df-b5e87ed6e8ca,
Rudolf Firkušný,CZ,93d4913c-a766-4751-908a-a2706576e347,
Digi,CZ,0a614b50-55a7-46b7-8866-1f74c49876de,
Michal Prokop & Framus Five,CZ,2cd8744e-e00d-4cdf-8816-065fc96a2dbc,
Jazz Q,CZ,6939e03e-20af-42b9-a7bd-c085daae12b3,
Jablkoň,CZ,e46bb1a7-15cc-4484-887a-aa0e432eca48,
Magdalena Kožená,CZ,a08918ab-bfe3-4468-b6d8-429b36e79a53,
Zdeněk Zdeněk,CZ,f15758c2-7b96-4a74-bc0f-9b8727767b3a,
Psí vojáci,CZ,0fa8a4f6-a6d4-4012-9d30-8ce0b5bb2a62,
Ondřej Soukup,CZ,125f066a-c682-49d0-969d-1ac9f604e21b,
Greenhorns,CZ,1bf90150-288f-4ac9-8711-5c09325a8639,
Michal Pavlíček,CZ,c50b27a9-c691-4051-baa7-a4b47ab025bb,
Jiří Korn,CZ,80768c9d-ab79-4e0b-a1c8-c3135f50d40f,
Kryštof,CZ,ea759c1a-5ee5-4729-9871-7ddd270469d6,
Jaroslav Krček,CZ,7f52508a-fef9-4a46-91ac-2076ef35340a,
Komorní filharmonie Pardubice,CZ,1f1decbc-22d6-40cd-bf82-0b99c537ce3e,
Emil Viklický,CZ,be1acf79-4315-48a0-8970-36b83ffcb7a5,
Divokej Bill,CZ,3df567da-e3fe-452d-9d8d-610766b3ef14,
Antonio Rosetti,CZ,f0764ad5-b3dc-418c-b228-27a5e523dc0e,
Dymytry,CZ,1ea9bc33-cb0d-4fc2-9a7e-96c88a2db68f,
Vlasta Redl,CZ,bc8f3820-e3e7-47aa-98db-910c1573af83,
Milan Svoboda,CZ,c4bf261d-d176-428b-862f-e083eb0a4975,
Ladislav Zibura,CZ,2099d328-17cc-499a-bd9f-f60c218a2f04,
Roman Pokorný,CZ,61137c72-12d8-4271-823c-1118dae8ef40,
Inferno,CZ,3b70747c-c5b6-4813-9084-b3b79b4cebe9,
Doga,CZ,2a59aa84-b492-4317-9e54-bbc54a45ea7c,
Schola Gregoriana Pragensis,CZ,070851b5-59cb-4e13-a43c-c741f802506d,
Pavel Dobeš,CZ,6af0f9b5-3e35-4613-aa05-d1811ffea5a8,
Vltava,CZ,77e906f5-2d22-4fb7-99e4-95dafd12ee7f,
