name,country,mbid,youtube_channel
Johann Sebastian Bach,DE,24f1766e-9635-4d58-a4d4-9413f9f98a4c,
Ludwig van Beethoven,DE,1f9df192-a621-4f54-8850-2c5373b7eac9,
Johannes Brahms,DE,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,
Robert Schumann,DE,3cd3882c-00f8-4362-a0c2-ad89ed248533,
Richard Wagner,DE,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,
David Nathan,DE,6c959a76-808e-4a5c-b479-e076ff0d7ae7,
Die drei ???,DE,e028fab5-39ae-4ed9-b8c2-c4344d88b171,
Felix Mendelssohn,DE,0e85eb79-1c05-44ba-827c-7b259a3d941a,
Georg Philipp Telemann,DE,8f831f50-e409-47c3-8598-71a61bc8cfb3,
Richard Strauss,DE,4cb43d82-824e-4034-b03d-1a98f36f6e16,
Rufus Beck,DE,944e398b-4240-4d73-8c54-d4322dbc7ea5,
Simon Jäger,DE,a8d5807f-6dd9-4967-b2dd-b2c10765b34f,
Andreas Eschbach,DE,096379c3-88c9-4109-87ae-a9ee1a8b539d,
Dietmar Wunder,DE,4365b851-0ce4-42d1-9dc7-858d74fe644c,
James Last,DE,0b7ee619-16ed-4e60-b871-6a2111c12b76,
Benjamin Blümchen,DE,6f4b441a-3197-47bd-b572-a53ae4ba3b00,
Marc Gruppe,DE,db758363-1ad0-4d2b-ab0a-49379419105c,
Tangerine Dream,DE,23d8426c-18c7-46e6-a51d-7395bd43c641,
Detlef Bierstedt,DE,f4d63ad6-3904-4151-b5b7-83b960f4bca6,
Stefan Wolf,DE,d3d9bc09-f1c1-49bc-94e0-e7897f60f4c3,
Andreas Fröhlich,DE,04bc4810-605f-47b8-9dcf-22d16932c270,
Uve Teschner,DE,678782f3-00e5-4440-bb30-18b809487722,
Frank Arnold,DE,3886ea66-c0ae-4acc-8cd0-d70b5676efcf,
Scorpions,DE,c3cceeed-3332-4cf0-8c4c-bbde425147b6,
Bibi Blocksberg,DE,2c89e930-7769-403f-8145-f215bb8fb5ba,
Heino,DE,e928d534-ce5b-436f-9186-598f9e7baa1f,
Johannes Steck,DE,1c328689-cb05-41df-993d-1061ed705fc1,
Carl Philipp Emanuel Bach,DE,f6486fc7-90ef-48ad-8ca3-905af1354afe,
Die drei !!!,DE,2167935f-196b-42ce-9708-52d5731f2650,
Michael Schwarzmaier,DE,18c0f3f1-8180-4082-8841-47d557d18c32,
Carl Orff,DE,0b3ee6cd-a2df-4144-adf9-7807ee7ecc4f,
Die drei ??? Kids,DE,92bc25ee-decc-4d83-9932-e1b4bd20a749,
Achim Buch,DE,37a39d6d-312d-48e8-be32-7429e8286b4f,
Birgitta Assheuer,DE,65d01cb1-9c04-44f0-b554-3de17851c75c,
Howard Carpendale,DE,506aa5b0-c6fb-4a69-8dd3-f06a369d5abc,
John Sinclair,DE,e1a81f67-996b-418a-9784-ceddae596458,
Freddy Quinn,DE,9f23b139-e3b7-49c4-b17c-460c5d50ae52,
Reinhard Kuhnert,DE,dc9890f2-31b3-4c58-87ab-3354882218e6,
Karlheinz Stockhausen,DE,fd09d776-ddfd-4558-afe7-814420d704ed,
Die Ärzte,DE,f2fb0ff0-5679-42ec-a55c-15109ce6e320,
Markus Heitz,DE,b244d6a2-899f-4b47-a164-faae8c65b056,
Charles Brauer,DE,8b2162c6-67f5-42f1-906e-cd50540da441,
Gert Westphal,DE,0ac844ea-b756-4755-b9ff-20150a8012af,
Philipp Schepmann,DE,513698fd-ff42-4b03-a521-6d4e016dbbc0,
Scooter,DE,83e59f23-3b0b-4304-834d-5bcafd5df6d2,
Wolfgang Hohlbein,DE,f6522eca-50d5-4d25-93af-8317740fcf30,
Die Toten Hosen,DE,c3bc80a6-1f4a-4e17-8cf0-6b1efe8302f1,
Cornelia Funke,DE,5ca3f366-96ef-4be1-aa66-426b7ec98ce6,
Roland Kaiser,DE,efa2f016-ec5f-4a12-9857-c2801ea4704b,
Kraftwerk,DE,5700dcd4-c139-4f31-aa3e-6382b9af9032,
Christoph Willibald Gluck,DE,22790383-30ea-4dcc-a8d6-882fb1eb4669,
Andreas Winkelmann,DE,caa9eafe-adf2-4353-a65b-281a89e7ae85,
:wumpscut:,DE,e4e79264-c1ec-490c-b823-b2918204cd4f,
Faith van Helsing,DE,44089e89-a61c-403e-b652-0fca1121843e,
Rammstein,DE,b2d122f9-eadb-4930-a196-8f221eeb0c66,
Richard Barenberg,DE,644dda68-11cb-424b-8a3f-55778f89d567,
Puhdys,DE,60955940-d401-4f4a-8a9b-43c870454aac,
Wolfram Koch,DE,93d7e531-b359-4283-990d-917abd426c77,
Felix von Manteuffel,DE,5c46d858-b08f-4e94-841f-5083d20f7ba3,
Wolfgang Petry,DE,567c98c2-d2f6-4b7d-a6d7-af7c032ab2df,
Roy Black,DE,cec72d43-ac22-4be1-945f-74f039b7413f,
Boney M.,DE,5403bf6e-bc1d-4e62-b31f-926a2bf66a14,
