name,country,mbid,youtube_channel
4 Mars,DJ,ffc14324-b313-452b-b881-55263bc5c314,
Groupe RTD,DJ,97ea00fd-a6b3-4acf-a413-cba66c415748,
Yanna Momina,DJ,66382bf1-5ff2-4c1b-95cf-d5858d6f26a4,
Nimco Jamaac,DJ,8eb37969-076a-49d7-9d90-a5e0ce52cea1,
Abdo Hamargod,DJ,39e86cdb-f61a-489a-b173-1dd24c5a9b97,
Aden Farah Samatar,DJ,b002b2b6-0db2-4ab0-9318-2f427e5b5a60,
Xabiiba Cabdilaahi,DJ,bd710e05-b2e2-4ab2-a5e6-783959393b31,
Mohamed Ali Fourchette,DJ,51cace6a-3956-4e6b-b769-c479c86c23f5,
Abdallah Lee,DJ,8fb6defe-13d5-4d65-b1c4-fce5d89fd05d,
Nima Djama,DJ,648b4ec4-d811-4f82-8ed3-146d28f2cb57,
Fadumo Ahmed Dhimbiil,DJ,ab3e6a7a-d91e-4372-a865-66962adfd091,
Moussa Aden Ainan,DJ,f8fbce64-56bd-4884-96ff-608fbfc1f38b,
Abdo Houssein Handeh,DJ,146d7a00-c97e-42a6-92c8-863dc60189b2,
Guessod Abdo Hamargod,DJ,50d98e66-83c2-42ff-9237-0a8059ca267f,
Abdirazak Hagi Sufi “Kaajaa”,DJ,3478851d-bde7-4921-93f8-8d399d64dd37,
Hassan Omar Houssein,DJ,60d6a70c-62f6-4e28-ac3c-fdaa97a739db,
Mohamed Abdi Alto,DJ,35ad532f-6166-4df8-b1b4-3de23e14cea2,
Asma Omar,DJ,79f83a4e-c83b-44b8-94a7-56daedf10b4d,
Salem Mohamed Ahmed,DJ,738f28b4-5f8d-40cb-8c5e-75164b881186,
Omar Farah Houssein,DJ,8fafc390-f66b-4e66-a3c2-79329f697514,
