name,country,mbid,youtube_channel
Jussi Adler‐Olsen,DK,9c957b08-67f0-4e74-9e4f-28ce384e03ee,
Leæther Strip,DK,37e8a831-340a-4bc2-9a33-bdf3a6b802d9,
Martin Greis‐Rosenthal,DK,9f2daafb-0dfd-4543-bdea-b05f1d3019fc,
Carl Nielsen,DK,1be1367d-119f-4b08-bdfe-50b95043e544,
Jesper Kyd,DK,5156bb2c-45d7-4660-8234-4d84452c93e1,
Whigfield,DK,b72bd66f-178f-4c86-b625-a077408140eb,
Shu•bi•dua,DK,593a075e-b697-41c3-8cb5-3a8730958cfb,
Aqua,DK,a1ed5e33-22ff-4e7d-a457-42f4309e135f,
Papa Bue’s Viking Jazzband,DK,c491ad96-f3a7-452c-b6c5-c21f25d15a0a,
Gitte Hænning,DK,f5f4477f-cd2d-46e6-9391-0e87e15ffbe8,
Pretty Maids,DK,a46a8ac0-5179-4790-ad77-1e0c1a843989,
Whallex,DK,69e72dd3-d015-4e7a-9953-9395ebf264c9,
Sebastian,DK,7d609f99-feea-4782-b7ce-ee278324e738,
Øresund Space Collective,DK,fbddfba4-57fd-404d-ba8d-cfba58e545b9,
King Diamond,DK,00565b31-14a3-4913-bd22-385eb40dd13c,
Volbeat,DK,4753fcb7-9270-493a-974d-8daca4e49125,
D‐A‐D,DK,47f94b87-c184-4a9a-9f17-7c4e7e5abeff,
Trentemøller,DK,95e9aba6-f85c-48a0-9ec9-395d4f0e3875,
Laid Back,DK,a8fee308-c305-4ca1-8d30-28d150a8d5f7,
Troels Brun Folmann,DK,0859ee6e-e414-4bf2-bd2a-383e8a8a642f,
Royal Hunt,DK,aeca5dec-7c7a-493e-9d90-68f7013394de,
Gasolin',DK,7d81cd10-5586-48ad-99cd-d4ff92124b48,
TV-2,DK,b0d2479a-581a-486f-a594-28ea2b3c65f9,
Michael Learns to Rock,DK,3943ae31-40b4-4de5-a4d6-819d9f3de72e,
Safri Duo,DK,2d6a30a0-3925-4fad-84ed-a568872b081c,
Gnags,DK,3912016f-25a6-4f2e-a00d-ba54848b71f6,
Infernal,DK,b5120ede-bc41-4d5d-844a-72b8d28af044,
Mew,DK,fa927f59-d443-418a-b741-e557208aaf09,
DJ Aligator,DK,50c9ccfd-0736-4a39-8d74-2ba0ff02c887,
Mercyful Fate,DK,9b137ab6-5987-4606-989b-183cdb2d3e50,
Tina Dickow,DK,d0cb81c0-017a-433d-af3f-86bdb273a8f0,
The Savage Rose,DK,56712745-7be6-4914-a676-dac6789124f5,
Bamses Venner,DK,6af28515-54ae-4923-8654-3e5a6bd90fa0,
Lars Lippert,DK,9173b883-395e-43ab-967d-374884a19f0b,
The Raveonettes,DK,79255a50-40df-447f-9612-2cf669080196,
øjeRum,DK,8f65fc52-7a6f-4e3d-9d73-4aae3983f64b,
Anne Linnet,DK,194e436d-c00a-4772-9c8e-48f7f32c95a4,
DR SymfoniOrkestret,DK,0957da35-a754-4e00-9222-436dc0e4a388,
Illdisposed,DK,c6a54524-35b9-4716-b7eb-31411e2bcc19,
Niels‐Henning Ørsted Pedersen,DK,3a3cec56-8514-49a0-b676-c816a5f43bda,
MØ,DK,3ab2ee23-1c2f-458c-9c8c-ca4844729120,
Ida Corr,DK,83185ddf-b036-4255-bc1f-114f4746202a,
Monrad & Rislund,DK,698bffc2-197c-463e-85c4-d4657652263e,
Rued Langgaard,DK,3fe11713-6aa2-4124-8688-08b48ea03448,
Birthe Kjær,DK,46ac912b-9fec-451a-bd8a-31201bfce67b,
Sanne Salomonsen,DK,b144facb-a50d-4b29-8040-83180ca8bdf7,
Baby Woodrose,DK,aff9bedf-319d-49a4-ad0d-caa7b2a8d81f,
Medina,DK,9bfda160-0f1d-4a90-aaa6-b7142ac0dd55,
Bliss,DK,0f3fc559-32bd-4c1d-9735-fe00957de432,
Kandis,DK,2283db74-3e37-4b2c-996c-f2b09dbc724f,
Poul Krebs,DK,f9cdaeae-e1d3-409e-8ae1-e106c4034691,
WhoMadeWho,DK,e731ab08-45c4-4e98-a1e4-7a16462c9cfb,
Peter Belli,DK,1ea9015d-6092-4a42-9fca-bade12e1a314,
DR Big Band,DK,fa3b3e3c-7615-4b64-8a49-c9f365ad3290,
Bent Fabricius-Bjerre,DK,3e49f2ee-6939-4f9e-903a-c95fa4ac5416,
Marc Hasselbalch,DK,4c8919b0-d26b-433b-8a0c-0f7568c61b28,
Svend Asmussen,DK,ced70c77-94de-4220-b590-ee0f98d41b94,
Artillery,DK,bd7febcc-fa2c-498a-a48b-9cf2be54dfed,
Funkstar De Luxe,DK,b8db7846-1a9d-4c34-abda-b90ee3e69c6b,
Povl Dissing,DK,3630243e-7c92-4d73-8f24-0a7a5fdc6e10,
Otto Brandenburg,DK,27481aee-d66e-4574-88eb-8375c8289687,
Kim Larsen,DK,0a648853-66bb-4b18-bd52-0315b14fbb82,
Klaus Schønning,DK,2bc2bad7-29b2-4a93-8528-cf4c2245f24f,
Hanne Boel,DK,4b1186fb-f54e-451f-ad48-650a733564db,
Niels Wilhelm Gade,DK,fa6fc91d-c798-4519-897e-94475915781d,
Tommy Seebach,DK,0fa4399d-1b5b-465b-9475-98775919b93f,
Flemming Bamse Jørgensen,DK,ea605188-dcea-426e-a121-9a54a846e8d1,
C.V. Jørgensen,DK,da2956b4-748e-4329-abb6-8d1687059fdd,
Hans Christian Andersen,DK,b2c019e1-72ba-4797-8843-abcaa5ea241b,
Agnes Obel,DK,e3c4c4af-f83b-4168-84cb-898009dd0447,
Ib Glindemann,DK,a1fa424f-c2d9-4ec9-bd9b-fcc21d7da5e1,
Lars Lilholt,DK,70021465-24a3-441b-8fa7-935873fa4b91,
Brødrene Olsen,DK,57bfc4dd-7459-4396-b2ce-e45f02ef2b62,
Thomas Helmig,DK,53463ab4-fad7-44d6-ac32-8cd7b223269a,
Lis Sørensen,DK,ba90f198-d680-4233-a4d3-f7612269cd95,
Kashmir,DK,cd08ab5e-a823-4985-975d-3a3438b9b5d5,
:Of the Wand & the Moon:,DK,ab80d6b3-0caf-4040-9a9a-6ed3c88d941d,
Sigurd Barrett,DK,bb68f235-2972-459b-9a12-70a3a8055c10,
Big Fat Snake,DK,8cf84dfe-35e8-484a-a033-e47b7e6c149f,
Red Warszawa,DK,5d7327da-2b37-4315-837e-96b48182a4dd,
Alberte,DK,6719cb14-3609-48b5-9a75-54bc296cf43d,
Michael Falch,DK,21b68e4f-52c7-4981-a5fe-f1526d502212,
Michala Petri,DK,4d21918a-8fac-4f35-94f9-42180bbc0d7a,
Alphabeat,DK,ce6d5579-1f03-4992-8189-a40f8f0489b0,
Dizzy Mizz Lizzy,DK,3edcb960-cd4d-4d4c-b3ad-5a2cb652daef,
Noir,DK,f693fc5e-9080-4952-9814-6ff7244a5573,
Vaylon,DK,957aa535-e3fe-4975-8366-0b603ea352c2,
Me & My,DK,82b06add-01e7-42bf-b538-0de83f584b6f,
Nekromantix,DK,7cdb1751-4cf3-4e47-b13a-41dcf72a2dc6,
Thomas Dausgaard,DK,25ddcee5-ed5b-42bb-a0a2-9a4937b2c432,
Allan Olsen,DK,30ad960c-1cd8-4666-b46e-de5579d17161,
