name,country,mbid,youtube_channel
Grammacks,DM,ffd02fd4-54ce-435d-b63e-aa0f54d9f059,
Nasio Fontaine,DM,adcf1eec-cc18-4679-8c85-9d27d5c45f25,
Harry Mo,DM,b829a214-f4d3-4dc7-a023-d55b2a1d2868,
Exile One,DM,b5b13315-06f5-4a8b-86fc-bfbd25c21dc2,
Ophelia,DM,0ac36021-7d2f-4f40-9c45-c77bd2e9ea16,
The Swingin’ Stars of Dominica,DM,80a9c08b-f803-4889-a538-8b5ff1f639cd,
Gordon Henderson,DM,bc17be61-a3ea-4498-8835-def6d9b8c6f8,
Midnight Groovers,DM,7cc2f75b-2e68-41c3-943a-d1da33fc176b,
Everard DeJean,DM,3e18482e-f98f-4351-b8fc-8f405573d22f,
Victor Johnson,DM,d5d5d97d-639e-40d2-bbad-cf7eaec826c1,
Belles Combo,DM,be31abb4-fcbd-46be-be95-c3f3267959b4,
Rise and Shine Steelband,DM,04fb0b8f-eaa0-401e-a9b2-7afa104b665a,
Durnel Sanderson,DM,342881ed-db3b-4474-9de3-34bed2f137e8,
Exhile House,DM,78a09702-9f37-4e6b-9285-7cded402f031,
May Elias,DM,6b81c0a0-d299-4a92-8dcd-2cec5bae6d67,
Herth Colaire,DM,f7461ab7-1203-4757-8acb-0cad875895ad,
Triple Kay,DM,6f8590ae-151d-4c08-bc2b-f39a0508c18b,
Wafriki,DM,d0c2ee41-a02f-4e5b-82ea-d308ef666297,
Bilomen,DM,f09f98eb-daaa-4460-9647-a6caeec14582,
Mammouth,DM,2b91c7e9-b729-467f-832c-2022cad33259,
Naked Feet,DM,39e301c1-10fe-4e40-b1ce-844749b1aaa4,
Pauline Marcelle,DM,74cf5af0-97e8-4ce8-89f0-f9275bfd10c2,
George Etienne,DM,62a0decc-a697-4a6b-9528-5d35db07d4ff,
Seaford Simon,DM,49a1088e-d996-468c-8017-63e86d8e25b1,
David Jno Baptiste,DM,4fe0b89b-84b2-4629-acd0-30d836d93891,
Ray Felix,DM,8970afd6-e473-4130-834e-3cb445def588,
Watson “Drummie” Duverney,DM,39b6c6d9-2891-459a-99ec-94c9f127ddcb,
Wadi Gad,DM,1789fe75-2641-4b2c-b394-8f0cf7d738bf,
King Clico,DM,a0e88bde-7e80-400e-bdf1-9ebebb999032,
Carrie Belle Gervais,DM,b668a745-c2ab-4f55-a0dd-c2ebc628bbff,
Clemencia Nicholas,DM,f7b8fc80-b822-44ef-82e4-6655785e449a,
Anelta Nicholas,DM,717edaef-46b9-432b-a674-26ab47eba4bc,
Marselina Taverner,DM,d3ec26f9-a84a-4a8f-b0a6-3ec470d50d59,
Vincent Gervais,DM,f26b68f0-1786-45d8-8a74-ef2e56c86325,
Lionel Simon,DM,a72a85d2-c380-4b2f-9c6b-af794cd2e12b,
Clemence Taverner,DM,a06a847a-3bac-459e-9109-0214ee0208b9,
Eddie Honorie,DM,214ab765-4ee1-4894-8dc0-a2136b0da2ab,
Ivan Africa,DM,ec62f665-445c-4642-a4de-e618c49cff19,
Anison Africa,DM,4f78767f-c4b4-4885-8fae-6c46521320e0,
Grin Carbon,DM,57f69ca8-1352-486a-b333-6a47a18d11fc,
Augustus Edward,DM,e216809d-18b5-487e-a006-5e314cd1596f,
Raymond Giraudel,DM,85f5bb86-a26c-4702-acdb-338866c81ce5,
Cecil Austrie,DM,7067fa57-4ada-453d-bca9-4573a0faceda,
Oliver Andrew,DM,041d35d5-43a2-4ba8-87e6-a9581deed6e3,
