name,country,mbid,youtube_channel
Antony Santos,DO,fef0e932-c8bc-4ba9-8a37-52aed5b0a633,
Alex Bueno,DO,e7f63397-83ae-4506-b015-4b604ac38b01,
Juan Luis Guerra 4.40,DO,1659a41f-27d3-4823-8a15-bf7cd295cf59,
Luis Vargas,DO,646eebe8-1fd7-4464-b0f4-910ae51ee1ab,
Frank Reyes,DO,51ed973d-95c7-4a12-a11c-8c8581a5872a,
Johnny Pacheco,DO,13f53407-3b0f-426b-8ca9-935456362412,
Eddy Herrera,DO,9f6a8201-3c75-4350-aae9-80d071501c68,
Fernando Villalona,DO,e44ef12c-b530-40f6-bda8-185c575fa4a8,
Johnny Ventura,DO,5459db1c-a96f-4749-9cbe-4a572825455c,
Ilegales,DO,42b39a3b-e829-4cd4-a775-7070c74f0b3e,
Sergio Vargas,DO,04fc84a1-5efa-4ae3-b763-a0aeaab9f65c,
Los Toros Band,DO,d9bb9aa4-b8a8-4bb8-b886-c99f2f7d54eb,
Raulín Rodríguez,DO,4e4d359b-db78-4b8e-98b7-d657bb7efeae,
La Banda Gorda,DO,94a2be8a-77d5-42dd-85ad-60e305a6a137,
Ángela Carrasco,DO,69f26306-6750-4908-87b4-56cc1a024856,
Los Hermanos Rosario,DO,d2a73acb-ddfc-4fd3-ba8c-da8ec3d350bb,
Wilfrido Vargas,DO,2eee971d-9972-474c-897f-f89ed6b18954,
Zacarías Ferreira,DO,e19a81b2-3824-464c-8635-7f4082dad10f,
Monchy & Alexandra,DO,4694e9a3-bc35-4a5c-be15-0fa6ba9abd70,
Toño Rosario,DO,ebb22c2a-0722-480a-a6ce-14996ed90ba6,
Grupo Extra,DO,980422f0-0974-4516-908e-73ab42108a9c,
Kinito Méndez,DO,959ec0b1-48b1-43a0-a49a-a0d63028a536,
Héctor Acosta “El Torito”,DO,20409157-bebb-42d8-b35f-f8544e8c3f2d,
Joan Soriano,DO,a97673d2-e9bf-48a6-be40-e04c8970a36d,
José Peña Suazo,DO,b67982b4-5c49-40ca-a8db-dbdcc5a13e86,
Alberto Beltrán,DO,7926d1d8-6908-42bd-a25e-679859785b27,
Tercer Cielo,DO,c11995a6-c88c-4575-8285-5fc5e40b0333,
Las Chicas del Can,DO,72388cfe-c0f5-4290-bcc5-be4c0c7de38a,
Los Ahijados,DO,9eaafb99-a9dd-4490-aa39-1deac8a88eb0,
Daniel Santacruz,DO,b8d11256-309c-47d6-9062-db39e99428ee,
Michel el Buenón,DO,bd5d3d7c-870c-45b2-a7cf-218f6c2e88ca,
Raúl Acosta,DO,442f691c-9a68-4de8-a60b-895e71608730,
Yoskar Sarante,DO,3ed93fc7-3413-4a54-a46a-43ab40a0b898,
Rubby Pérez,DO,7708fd26-e83d-480b-8b35-7760a9e7bf25,
El Alfa,DO,0887484d-aed1-4aa6-9862-930a25815696,
Cuco Valoy,DO,15f94087-22cd-470a-ae53-5647fa59cb56,
Luis Segura,DO,91fed670-759a-4112-b418-d9880a1cc40f,
Papi Sánchez,DO,639d9e1c-1490-4e8b-996d-0457aedaa96f,
Egleyda Belliard,DO,79d26b5b-7d62-4d03-858a-13c7c45ff28d,
Kiko Rodríguez,DO,b35f1206-debc-4801-b846-d35646f94bca,
Redimi2,DO,c7cdc95e-c301-46fb-9c99-3a7cfc5084aa,
Natti Natasha,DO,25be91ac-7d7c-441f-a7d2-98e35d642e4c,
Luis Miguel del Amargue,DO,c6ef2c3c-b4c2-4771-836b-91f0c20ed57b,
La Familia André,DO,9b6feef4-19ea-4bb2-8c30-6b9a59a63c67,
Omega,DO,376f53bf-2dc4-4da7-bb12-6869a1f8b28a,
Chichi Peralta,DO,e2052f3c-3ecc-4bc5-8718-d97326852527,
Bonny Cepeda,DO,a22e19b3-9e3a-4083-b2e3-98f5a063ea48,
Rikarena,DO,85115659-02ef-4227-b3ec-2a10cc14de91,
Don Miguelo,DO,21deeceb-351f-4bac-bb17-55fb2e252a75,
Raulín Rosendo,DO,2954c65b-c06d-4d0b-a079-2ccb36ab1201,
Henry Santos,DO,51a73bea-f7de-40cc-ad69-de48317ed638,
Fernando Echavarría,DO,f13ac1f9-452f-444b-a28b-2715edfa469c,
Milly Quezada,DO,824a74bb-5218-4f88-ae17-dbca9daa24ad,
Jossie Esteban y La Patrulla 15,DO,56858293-bdcf-449a-9ba3-8e0a0bc357a3,
Pochy y su Cocoband,DO,0a15749d-2bb0-4099-bb35-c161b140d42d,
Elvis Martínez,DO,1b83cab7-4e1d-4e16-91c2-cc27ce001e02,
Amarfis y La Banda de Atakke,DO,0a19939a-f68c-43cd-9886-441985451215,
Joe Veras,DO,3be3d51b-dcef-405d-8102-96959adfc35e,
Ramón Torres,DO,03e10509-f1a8-4336-b9a4-bd60784d9cbb,
El Chaval de la Bachata,DO,16b17459-b3cb-41ff-9095-4569ad521ede,
Barak,DO,8e218d53-2d64-4b85-a5df-10d3845e2fd5,
Damirón,DO,02d58fba-3e57-4c67-a748-41eff0183554,
Mickey Taveras,DO,067239b7-dc9b-4d44-a808-735dae3961d3,
Juan Luis Guerra,DO,c3dcad1b-1380-4a94-98d8-3f8272f19df6,
Joseíto Mateo,DO,55b13ef7-4be8-44db-90b5-18042f17370f,
Voz a Voz,DO,feabb1c6-014f-4f23-a1fa-dbc4352432f4,
Ramón Orlando,DO,fd9335a6-4f7d-492d-912f-0d4c817386e2,
Alex Ferreira,DO,bdc48245-c1a6-49b7-aa1f-90271f118e81,
Miriam Cruz,DO,794463a5-16a7-4122-be6d-a356f8c371d3,
José Manuel Calderón,DO,0e2740a6-c247-420c-a9f8-473316f1ccc6,
Teodoro Reyes,DO,56a3fb73-c247-4a0d-ac3b-2c790ed4bfaa,
Alexandra Queen,DO,718dbe5f-1a8d-48f4-a8f3-a86c6560d41d,
Jandy Feliz,DO,bfdba61b-c195-4732-8463-982bf6735a1a,
Vicente García,DO,2f1507e5-6e8b-4a67-828e-5ce3f75c1281,
Gabriel Pagán,DO,04395b45-d205-4a2a-b952-f8d2f33928ad,
Dominic,DO,5b8dfaea-c7d4-461a-be0d-e82407854926,
Toque Profundo,DO,aa22ae7b-5626-40d6-98f9-f43094c23378,
Mula,DO,68ed5ea7-ca70-4295-8c6d-e401f8380940,
Juliana O'Neal,DO,44cfd5eb-07a5-40bd-8b98-8e7b365da467,
Junior & Jorge,DO,aae5f6e6-d283-496c-bd89-3da7965a91e6,
Joa El Super MC,DO,bdc98498-7583-42a0-b230-bb4bce746fac,
Santiago Cerón,DO,3b397442-c9a9-4af5-92e9-cde942327586,
El Jeffrey,DO,ac9a74dc-7199-40fc-85bd-0589edc3226e,
Tatico Henríquez,DO,dc958b6c-0071-4797-80e5-af6e6a91ad89,
El Cata,DO,73ac884e-76d4-49b9-aa39-983801c2afb1,
Los Vecinos,DO,9ae8fa3d-4193-434e-a403-9603869ede11,
Ramón Cordero,DO,aaf881d3-5b64-41c2-8376-8c0dc53fca1b,
Chiquito Team Band,DO,7c732d4c-5e95-4a0a-bf15-b3c13baeb70f,
Jodio Loco Sucio,DO,f2553f8b-8196-43d1-bbda-7b328c14ff64,
Poeta Callejero,DO,f58074d9-c62b-4aa8-85ef-dce1426bc00d,
Lilly Goodman,DO,e1df9782-ff9a-4147-90d4-cb70a49597ae,
mediopicky,DO,12bb088e-f301-4787-b47c-1739619d604d,
O.G. Black,DO,3b4fe1a7-899a-4062-a79c-e50428f2751c,
Chelion,DO,b31da3e1-36eb-40e1-aa21-429206b84c56,
Marcos Yaroide,DO,6f42116d-115e-40e5-95d4-2338df18cca1,
Secreto “El Famoso Biberón”,DO,0420643a-458c-479a-9bd0-f1414ce6bd03,
Sandy,DO,0b7cf9d5-617e-42f7-bab7-88d04d49302a,
Anaís,DO,16ae5cfc-450e-4368-bee9-e9cfbe60943a,
Wilfrido Vargas y sus Beduinos,DO,0a390172-6a2f-4773-8608-d7397f6820af,
Karlos Rosé,DO,58697d64-7cc1-49f2-9221-7a3a5858fdf6,
Tali Goya,DO,ddfff60e-cdde-46cc-a5ee-aac6d4ffa121,
Juan Manuel,DO,d9b4fe63-d5c5-4b0a-b3f3-e76438044c77,
Víctor Roque y La Gran Manzana,DO,1962b718-49c6-48e2-bd81-19ed751c9f72,
Rokabanda,DO,128bb43a-c616-405d-b45a-4d74c390655b,
Manny Cruz,DO,39c58601-68a0-45d3-b8be-bbf11a5d0afb,
Pavel Núñez,DO,80b07206-21b6-417e-a6cd-c9e1a9ca4cf1,
Krisspy,DO,495f8fc6-2bee-4384-aa6a-215b18d88cfc,
La Materialista,DO,f5f5991f-f075-45ff-87b6-8bf241aec6a7,
La Armada,DO,b033e6ba-f49c-4c11-86bd-a2fa8c6c63a5,
Fritz,DO,aefa541f-8359-45aa-9a9b-3f540ed1473b,
Rafael Labasta,DO,73d34212-af14-4a66-b797-af8b3f3a0f30,
El Trio,DO,84df899e-7c45-4bf9-922a-c5a6d8a9efcc,
Alex Matos,DO,151a0036-b8b1-400f-94a2-aa7e49a065f8,
Raphael Cruz,DO,627ca411-da10-4f78-82fa-0f37e04319ab,
Bocatabú,DO,73b2051a-6397-4582-b306-d4fc6fad2697,
Xantos,DO,90e58a52-fd91-4b47-a50f-f6be88305a68,
Francisco Ulloa,DO,a69f2856-5e67-46a1-83a3-fad5f8588462,
El Prodigio,DO,2ee29275-42b4-4ac7-9ef0-65734946d37a,
Ramón Gallardo,DO,bc4a6cb4-4fee-49b5-8670-8ae950dfd4b7,
Martín Valoy,DO,3a26a5dd-9e48-4a7b-bc01-49f1c0bdd547,
Marielle Hazlo,DO,7e533fe7-b29b-47a1-932a-a4df358f3f7e,
Luny Tunes,DO,cb7fcb24-4a0c-4ee3-b806-17885e8fe9a7,
José El Calvo,DO,29cd1598-2fd5-41ec-8969-87b11cb1fbbd,
Messiah,DO,5a93f38f-29c7-4d49-9028-73bc857c41d7,
Cherito,DO,40a66ad8-aae7-44c3-b1a0-5453199e6ee1,
Daniel Monción,DO,1c08f1c5-912e-4582-b745-a12fd96c41fe,
Kiko el Crazy,DO,12fcf751-b8f4-4828-9f86-89787d3e70c2,
Carlos Manuel,DO,17caec63-7cb1-4c34-b5d5-02328e906fe8,
Prophex,DO,4e236180-3333-4e1e-ae13-17f73ba39e96,
Amenazzy,DO,ce52a82d-219f-42b6-88b3-b69244c4752e,
Luis Kalaff,DO,e59a1a95-063b-4ba4-9bee-b1c2da42d8f4,
Henry Hierro,DO,92f3875f-70d7-4e51-8465-89cba80ca691,
Blas Durán,DO,ec3a84bf-ee0f-4e61-9f48-c973ba8a8aa9,
Grupo Rush,DO,605c575b-0c4a-42b4-81b5-3bd1a8c79910,
Conjunto Quisqueya,DO,c06f1d15-5f55-4577-8308-f84a55999220,
Esme,DO,3a56e1e0-ed81-4feb-ab6a-e96290e9ac15,
Alex Linares,DO,f2f67aff-3ce0-47b9-a1c8-fc9b2bf12b90,
Los Homeboys,DO,23b09479-5e5d-4800-9c71-8c85b91bfe65,
Wason Brazobán,DO,4a2855e2-ccf2-4196-92d0-1bd8eb301a0b,
Alih Jey,DO,6293c837-34c4-466c-affa-4bf1a422b45d,
Orquesta La Muralla,DO,aa516f80-3876-472f-8875-21383cf42da5,
Marino Perez,DO,089e0911-e6cf-4e82-bf10-c7dd2c1516ee,
Sonia Silvestre,DO,4ef88000-4352-48df-bab8-dd82012b5bab,
José Bello,DO,a1bcb570-6801-4b32-ae34-8be540f67575,
Luys Bien,DO,0632e5ed-9e4b-4f9d-938a-7aac5392d328,
Memín,DO,5d999af5-c23a-471e-b5aa-1d8d282e40f8,
Sujeto Oro 24,DO,aa6fa321-caf7-4393-a988-a228c943db07,
Jandy Ventura,DO,00e3c716-25e5-406b-9ed9-875ca6959445,
Oasis Ministry,DO,766c3417-9ed4-43c6-b30e-63115b591d7d,
Puerto Plata,DO,f8f34f03-5179-4c35-b09c-04bdd67001ff,
Maffio,DO,6a5465f6-cd67-40e5-9edf-4b2ec3b07594,
Benny Sadel,DO,5d53782b-d4b2-486d-9cad-003794765aea,
Víctor Víctor,DO,cf4897ac-089e-4088-b397-6f017c05d1dd,
Lápiz Conciente,DO,270b039d-11fd-4cc5-93d3-962252b745d7,
Luis Kalaff y sus Alegres Dominicanos,DO,04ebbb67-0e9d-4d5e-8dec-aefa4cc5e202,
Morbid,DO,dac0c2e2-c95f-44c5-80d9-6cec95517521,
Zawezo Del'Patio,DO,872793e3-f143-4011-a2b3-264e66a2bc8b,
Tito Chicoma,DO,185316fa-e02e-46f5-afd1-ed2601649a8f,
La Banda X,DO,938662dc-fa30-42d4-b06d-cb50d8cf5116,
Sandy Reyes,DO,e7bfc577-c015-4842-ae14-d3f16ed21b81,
Juan Francisco García,DO,e5b0525c-85f0-41ee-9f2e-8482cd6efcd6,
Monchy & Nathalia,DO,2c6fb330-a6ee-458e-b657-c4e3518617f2,
King Streetz,DO,780c458d-f63c-410e-bd3e-d76308d531b7,
Tokischa,DO,269b7311-66c8-4a07-bcc2-e6b31c5627ec,
Carlos David,DO,2a988622-96aa-4bde-bcc5-8907ac4f9ce6,
Darlyn y Los Herederos,DO,0c68fd68-610f-4f04-b68a-5213a1f3f2d5,
Miriam y las Chicas,DO,61524a6c-7f20-479b-a3ef-b5726f16e8a5,
Manuel Tejada,DO,d46032df-6f91-41cc-a8c6-0399a9a42fb1,
Fausto Rey,DO,211bf0bc-c651-4bac-a1b0-1c930059edba,
Sharlene,DO,cb904c93-64d7-407e-9b1f-af0b7c828b7f,
Jochy Hernández,DO,3aaff8eb-d59a-4406-9d35-23425441acaa,
Julio Acosta,DO,d642c46c-569f-44a6-b3b9-110d7c964500,
GDA El Unico,DO,a81afb16-d031-4d60-b03e-74540a04d7c3,
Fefita la Grande,DO,218f5dac-9650-4eac-945a-47c2e15f8cac,
Elenita Santos,DO,82380803-f2f4-4b17-90a8-e522b721bcdd,
Sin Fronteras,DO,743c68af-8ea8-4dae-9fae-2df2f8b7d421,
Yanfourd,DO,af843872-6ae2-41c4-b7ce-6eeef16b98fd,
Crispín Fernández,DO,77cb6bda-f16d-451f-a895-f5fb5f23e0dd,
Kalimete,DO,1d0ad192-5f6f-46b9-a698-5ec4f0fe0804,
Jairo Puello,DO,df06827e-aa58-4594-a296-7cf275ebd685,
Angel Viloria,DO,bb5b7285-6716-4ad3-8378-0f205ce9c7fe,
Conjunto Típico Cibaeño,DO,42cb4d62-bc7d-4618-ab7a-eb527dcfee6e,
Jhonny Evidence,DO,680f50a8-ae81-478c-93ff-07447a98ae5c,
Primitivo Santos y su Orquesta,DO,2efccac2-9e4f-4677-a134-b68270bb11f1,
Manikkomio,DO,6be8cff2-0025-41ab-9a75-748abd6d02e0,
Henry Jiménez,DO,f242802a-4bb5-4ae9-9ee5-a155ada4ad29,
Carlos Alfredo,DO,2bab67da-b17a-4250-ae53-6fa9425c6e5c,
MR. Yeison,DO,ab5dd43c-fedd-41ca-8fa1-79444e31b7be,
Yeidy Eish,DO,bf0908ed-cb7a-4117-aa21-a85700d92bfa,
Aguakate,DO,42179a4f-6c2e-476d-9714-c552933b1350,
Reychesta Secret Weapon,DO,1e462219-17e9-47db-9725-57fac598e20b,
Maridalia Hernández,DO,aa4787bc-49e9-4ec1-bcad-64d986d4cc3d,
Mozart la Para,DO,dcbbd72c-2511-4d6c-a313-0b45bac4d229,
Monchy,DO,c657ba4a-6a73-4e9b-b6b7-46583d3cd714,
La India Canela,DO,0709eb46-7edc-44da-b1eb-518c5f9b15d0,
Rafael Solano,DO,99daf52c-329c-4a91-8611-42c5ac305168,
Yoyito Cabrera,DO,abf4aa8b-8c02-4518-9a12-dd9ed45a7ab9,
CANOTO,DO,64ff85d1-a4bb-4a0c-b842-73436495ba0b,
Shamir Massih,DO,f9357a4e-6264-4ab2-b0ed-7351c4c95df3,
Eilyn Paulina,DO,8baa0585-52b9-47c4-a5c7-b6849b49b92d,
Anthony Cariño,DO,e0314ca5-633e-4802-8a62-fef617612644,
Melida Rodriguez,DO,ff9ae75e-79c6-4989-b761-4d7df296c590,
Tony Seval,DO,8fdacd0b-dc2d-4bfc-89a0-da213b2586c1,
Químico Ultra Mega,DO,6c2dae99-eea7-48fc-b4d7-31cac2b6ee8f,
Aisha Syed,DO,91e43564-f340-4ec8-9d17-fe41d156a9e5,
Banda Real,DO,4c2a3bb7-4c7d-4fe1-a477-80ef2988ad88,
Alinna Vargas,DO,2a81058b-a8c3-4a87-bf57-5146019911cf,
Juan Manuel,DO,ec3c12b3-5841-4af4-9591-e10839bb9ffb,
Shelow Shaq,DO,2d049e0f-9069-474f-a7fd-3c48f7a92b68,
Whitest Taino Alive,DO,1df2abc5-f351-4acc-bb8d-7894d282b73f,
Anthony Rios,DO,69cee34a-a999-46aa-8408-e96521208e22,
JC,DO,4fd67c85-c40d-44e3-8631-89e7cb1e17e8,
Bartolito y Los Bravos del Son,DO,59374b78-0a36-4639-afa5-dbe01fb21942,
Isidoro Flores,DO,ca1c3df1-9849-4adc-87d4-f3aa5d67d970,
Nelson de la Olla,DO,2afe1ad1-3124-4e9a-9a84-de0072548aef,
Expresión Joven,DO,465e4df9-ef72-4610-a1e1-d04ebeaf2580,
Negrito Chapuseaux,DO,3ca92ddd-2a67-4003-8064-1d1e4048a0ec,
Vitico,DO,33caf592-b608-4711-83b4-132636983b4f,
Nikolaz,DO,6835fd5e-25e1-4e7c-a47b-285141b25fb3,
Belkis Concepción,DO,19d1ff0f-b14e-43c1-9bca-b6652fc3623e,
Los Sufridos,DO,66819f21-c744-4d72-bc3a-3a1785e3a186,
J NOA,DO,1ffae028-1122-4eb8-ac9e-c1436fccbfa2,
Necro,DO,2b8305b6-905c-4c8b-9643-db52f894f9e6,
Niní Cáffaro,DO,6b94b56a-1e18-491e-b9e6-3cb147370bfa,
Chimbala,DO,12233494-e5d7-427f-8cea-0fc6893fc1d1,
Charytin,DO,4b820914-ac49-4790-8728-148f3c3f4891,
Víctor Irizarry,DO,ca19513b-d066-45c6-901b-b0f0d16439fc,
Chery Jimenez y su Tercera Brigada,DO,c2f5b483-f333-4c66-a722-80742eda625d,
Julio de Arzuaga,DO,5738fbfd-2e03-4c40-b636-4762e4e1a90b,
Los Jovenes Del Amargue,DO,181c8491-d981-46e3-b87b-e2eafded5735,
Vakeró,DO,6efbb8d0-4c55-4398-8469-45bab09b6da8,
Adriano Ventura y sus Ritmos Dominicanos,DO,ec2c388b-1625-465f-8c95-9541484a013d,
TANGOWHISKYMAN,DO,20db2d10-af99-485a-ad93-a4b4c309aeb9,
Migz,DO,a976e9bc-f18b-4175-b8a1-a279ce2be5e4,
eMeTeDe,DO,c26c76cd-1d86-4db0-842f-d841fd92f00b,
J.A.,DO,6eee6b2c-ab88-478f-a82a-eba96203b5ee,
Korven Brox,DO,6f2b935f-9a5e-4f99-beb4-1ebeac3abd0a,
Griselda Soriano,DO,a14e28cf-e2bf-4d77-89e6-65ba1b43dacc,
Shadow Blow,DO,fdd30cef-5337-4059-8c5a-a86117e7d067,
Jocelyn Quezada,DO,2b25827b-438b-433c-85e3-94b2126d23da,
Charlie Rodriguez,DO,bcaabdca-48ff-4f36-8790-2f881b094e1a,
Cacique,DO,b04276a7-971e-4cca-bf5b-f7d5fc7b897f,
Jonatan Piña Duluc,DO,ec14fdb1-66cc-4287-a764-b3e9f9dfb132,
Luis Pimentel y su Conjunto de Estrellas,DO,42aa2d46-dc97-491b-8052-d1450c23cc03,
Richie Ricardo,DO,65fe3d21-0564-49d8-a429-d3bc5a96bd52,
Ceky Viciny,DO,2ef5b393-02fd-486e-a195-a8ac5d92401e,
Fortuna la Súper F,DO,d202023b-95df-4932-b90b-4510e18e43b1,
mamajuana,DO,7a470bb5-98b6-488d-ad24-1d1e9d7b92ac,
Adriel,DO,4aacb443-05dd-4cb8-a607-91675ad93102,
Dioni Fernández y El Equipo,DO,c83b46b3-91b5-4efa-aaa7-a7d18177bb6d,
Rita Indiana,DO,0ee75c5f-09ac-4c68-a86b-42734c461bee,
MÓRIA,DO,38336498-f14f-41fa-8eb6-adb35568694f,
Soul of Death,DO,70ab8b2a-a823-4fea-88b7-02983243f493,
Jorge Taveras,DO,6c08ef16-322b-4608-b014-bbfaab9ca6ca,
Carolina Camacho,DO,12fd5d70-6091-48fd-8f29-8521b1ce0d37,
Ray Bop,DO,56231eae-3cb5-4fc0-9057-0a98f5a2b1a7,
Xiomara Fortuna,DO,520c52bf-90eb-45ed-a6d5-d8129b1c10ba,
Rochy RD,DO,a9295d17-b511-4ad7-bb02-06b2b680a1f1,
Félix del Rosario,DO,0ff2ba52-608f-40f1-9f2d-811dd1570896,
La Insuperable,DO,955421b1-2e00-4cac-9b3a-559368fced16,
Genoveva,DO,7450c23c-4762-46f7-b91c-fdce9a65f342,
July Mateo,DO,11fdf2b7-5ec9-43a1-84ca-a61e74029c56,
David Appleton,DO,b8883144-77df-4efe-81ec-5b3fe8cd550c,
Ala Jaza,DO,2a283836-f4bb-4949-a2e1-0b522db95d04,
Amarfis,DO,89c1dd24-de78-4a26-b79a-0832ba5ac076,
El Cherry Scom,DO,1ec19bec-094a-4487-93a3-050b84f174ab,
Snova,DO,bbe839c9-8d14-408b-96dc-e2f64881a37c,
MelyMel,DO,96f724ed-dfcd-432a-954d-e1c669f38437,
Anon Müller,DO,e6d7ed0c-b41a-4097-9c97-d3563e3ae949,
Gangrena Cerebral,DO,c930e2df-6fcb-47d4-a82b-0d0f8c44be5b,
