name,country,mbid,youtube_channel
Khaled,DZ,b4a479aa-4384-4acf-88b0-dee9188faeb5,
Guem,DZ,e4f43165-7f2b-46a9-9fdd-ae8a74dc1eb2,
Cheb Mami,DZ,634ef2ec-ffe2-4846-ba68-156f852bf5cb,
Cheb Hasni,DZ,4f1370f3-3c3b-48e0-997e-a00fdcab7955,
Idir,DZ,e6e4079d-ecf9-477f-8ac2-25b4ce17709b,
Saint Augustine of Hippo,DZ,af70e766-6f46-43c7-a23e-6266e3909f0d,
Dahmane El Harrachi,DZ,1cadd654-c6fa-4d22-852f-d18b0cd1ed8c,
Lounès Matoub,DZ,e2af3275-06f0-482f-b687-ff9f24b40aff,
Cheikha Rimitti,DZ,ff349142-da16-4e3a-86c7-700c83888d18,
Soolking,DZ,530a9937-4229-4d7e-8457-4853d7d5dd7a,
DJ Cheb i Sabbah,DZ,d4570f76-d803-429d-80ec-1b966c2c45ed,
Lotfi,DZ,c8810068-0376-4789-a368-cc564957c9cd,
Raïna Raï,DZ,63423eb4-f4c5-451f-ab55-b0aa70e2816f,
Rachid Bahri,DZ,dd68b576-aa76-4b2a-9c4d-8be01892d649,
Ahmed Malek,DZ,b67690b2-a6e9-456f-b847-1d9bfbc13fbf,
MBS,DZ,10f10c8b-7f8b-4514-a868-fc1dc141408d,
Abdelli,DZ,2870dffb-f336-4a7b-96c0-eecf417c7fed,
Houria Aïchi,DZ,59db32ee-73f5-402d-81d0-ef928c65c9ae,
Djur Djura,DZ,96506bec-8335-4e09-9d5a-dd7fd5d7932e,
Abderraouf Djeffel,DZ,19dcb344-26a2-4b88-82a5-1f5ad5b03c67,
Imarhan,DZ,edf62daa-1425-44bb-8fe3-07499b519472,
Karim Ziad,DZ,c85b1620-ad06-4fe9-8d47-6411bdddc89f,
DAK,DZ,d8dc9617-6f75-434f-b1a6-36be0b0b4bed,
Takfarinas,DZ,f8e4ba40-6acb-4b48-8998-60ce82ce33bb,
Othmane Bali,DZ,21238b46-4ea8-4348-9b7f-19252c09ee26,
Hamid Baroudi,DZ,ce4a046a-1bca-4076-90b6-6c653c035f29,
Chaba Zahouania,DZ,cfa88bb0-2801-437b-b626-eaaf83081ad7,
Cheb Sahraoui & Chaba Fadela,DZ,2ab61196-f659-4d86-9ac6-f2fb68a14a33,
مصطفى اسكندراني,DZ,e02a0eb6-440b-458d-bc6e-1afe6ea17092,
Bellemou Messaoud,DZ,1f788b40-3a32-4e07-a420-8508a8f5fb47,
Zedk,DZ,83b5ec95-6ca1-4ce7-92f2-4df823a9014d,
Barbaros,DZ,22ec4789-9b7a-400b-a367-16e16aa0ecd1,
Aït Menguellet,DZ,9d78abad-fbd8-4ec6-9b64-1feb1e1e817c,
Djmawi Africa,DZ,0cbf8a97-605f-4a5e-a303-024f47c5c2b9,
Djamel Allam,DZ,7d6b3bf9-5ef7-4724-9b38-eee35c072c90,
Akim El Sikameya,DZ,ffabc16f-e81a-4600-8295-d2ce4f6f4336,
الشاب عيسى,DZ,9b65d97b-ed38-4df0-903a-5dea39399236,
Alla,DZ,5a65ded2-0bbb-4b89-8f77-64ba9c3b10da,
Abranis,DZ,97ce6502-d097-4198-9f0a-cac21197fa64,
Cheikha Rabia,DZ,b3a19edb-3c27-42ba-8fa5-24b869581287,
Intik,DZ,3780d8ce-7554-42f6-bc47-f4e9e8210630,
Reda Taliani,DZ,e474c744-f2f8-4fc3-9b47-24b3b63959a8,
Hamza El Hamri,DZ,92e07ef9-0023-413a-ae9d-d503f7260e88,
Salim Halali,DZ,24b85aea-cc5e-4517-9fcf-add8942eda6d,
Cheb Bilal,DZ,879554ac-9d50-4a4f-84c5-07609854f1bb,
Mehdi Haddab,DZ,25bfeb51-7a13-4036-bdd7-5311d0fbac70,
Castle Full of Shit,DZ,361783ef-caf8-4187-8e42-ef363117a233,
Miydu,DZ,34885394-a7c4-4bbd-91fb-ffc5ab5f7ba7,
Boudjema Elankis,DZ,1a96bfbf-64f3-4159-9369-4875da5174e3,
Didine Canon 16,DZ,142b2740-665f-45c5-b23a-e17257e211e3,
Rabah,DZ,5ac4ba1b-b952-4e22-a8de-78a0896ef346,
Safy Boutella,DZ,07f28727-3da4-4abb-93b4-6e131a240c50,
