name,country,mbid,youtube_channel
Julio Jaramillo,EC,70a11cff-9bed-46a6-9cc2-e6239191bfce,
Don Medardo y sus Players,EC,8b018580-5dbb-4c5e-88e1-845286d16ce0,
Nicola Cruz,EC,913ed87d-3b1e-48b8-a3a1-a0377c959b83,
Gastrorrexis,EC,e94991c8-5547-48ac-a556-6ca91b73dd64,
Amuleto de Calamidades,EC,eca8efa2-af4b-40db-80fd-9e84b7012cd9,
Juan Fernando Velasco,EC,b3fb0ca8-857c-458a-bfde-3f2ec201a7c7,
Los Huayanay,EC,9eb15534-84d2-4c95-989c-44be2a11d2eb,
Wampyric Rites,EC,6e251e4a-f485-4ac3-bdaf-c61501022690,
Bleeding Corp.,EC,a5cfaa54-6edb-459d-9444-5e32e56750df,
Rosalino Quintero y su Conjunto,EC,bce5a77f-9487-499e-aef1-7859f677382f,
Bajo Sueños,EC,04484777-b009-4240-bcff-c9f445e7c6a1,
Gustavo Velásquez,EC,f1b8860f-975e-4785-a860-7ac59d38758e,
Derelenismo Occulere,EC,889af990-09c1-4de2-bfe5-295423479aa5,
Total Death,EC,cfa2d34a-d391-4441-9fb6-4af8230acb83,
Atahualpa,EC,cb2d2896-f968-4c17-b6a6-a4ab6d8b978c,
Olimpo Cárdenas,EC,4234be04-7db3-4a2d-a90e-e1fa60e993b1,
Morto,EC,4da5bc89-712a-44af-bc1c-4c87e5309426,
Can Can,EC,8a47c8c0-d22d-4ba8-8554-36b497c8df9d,
Los Sembradores,EC,1344f9ea-2d5a-430f-bb5a-62930c9b1e3e,
GUANACO,EC,e04d002c-52bd-4794-99de-3e8a49142fbe,
Jayac,EC,877ab1ac-ad58-491e-b82e-dcb857bab40c,
Mateo Kingman,EC,4ede1b35-7ef0-4afd-b289-05ba1d04e859,
Ente,EC,0b39e70c-5f37-469b-aea1-38605d69d803,
Luis Alberto Valencia,EC,79b3d40e-199c-4b58-8315-558e8aeabdab,
Black Sun,EC,22a3f8d1-3259-4382-a826-1c3de8fbb300,
Basca,EC,0c1a1e4a-004d-45fd-b148-80a926e819f9,
Verde 70,EC,2b477d4a-84e8-4f23-a6d3-ece9a94b237b,
Los Embajadores,EC,5aace240-9ed6-41cf-8b5c-8f659551ab7b,
Marvin,EC,cada25f0-5581-4e04-a79b-de59075e1e15,
Yarina,EC,f1836d8d-f3ee-4495-bb7a-125ce93e701a,
Ayawaska,EC,f8125562-c351-473c-b239-7113bbc88442,
Legión,EC,fb5634c4-34bd-43cc-a051-f126699cb834,
Ro*Cola Bacalao,EC,c20b59a7-8193-4cc6-85b5-0672b3aabc13,
Héctor Bonilla,EC,d2415235-7a79-4252-b89d-6cadc338dad1,
Duo Benitez Valencia,EC,3cc3dd54-dafb-4789-9fe6-e37ec589e0a0,
RAAM,EC,e5b99b26-fa97-40a3-a6cc-a603a308244e,
Guardarraya,EC,224af981-839b-441c-b5f9-57656c0f408b,
