name,country,mbid,youtube_channel
Neeme Järvi,EE,8a1d9496-603f-40b1-a38d-2e8985834940,
Arvo Pärt,EE,ae0b2424-d4c5-4c54-82ac-fe3be5453270,
Vanilla Ninja,EE,7a50113f-12f9-4e2a-8406-80b26a5ac692,
Toomas Anni,EE,9a43191f-240c-4c1a-af28-6eab0a39c1ed,
Paavo Järvi,EE,a1830e61-221e-4770-be88-07b63724dd80,
Veljo Tormis,EE,72de4cdd-112f-44bf-bb4f-d80297c30e79,
Vennaskond,EE,06ec7d7a-c91d-4e50-8f98-83ac674a3344,
J.M.K.E.,EE,9f1165d0-191e-481c-a294-7d2ff9fe7398,
Mord Fustang,EE,eb2204a7-a65f-441e-97de-af695f9f1441,
Meie Mees,EE,7c230e21-2683-4ccc-9f58-ad0868a665d1,
Smilers,EE,72f745b2-8545-4329-a0da-3f1772b5eb65,
Anne Veski,EE,05c8ba8b-39e9-4087-a0b9-d796e640a1c9,
Metsatöll,EE,35525e20-eaa9-422c-a463-007acd12c74f,
Kukerpillid,EE,3add8ca2-a6d6-4d73-9c86-fb0e56e1bd11,
Üllar Jörberg,EE,d086f9a0-3618-464e-8e0f-d0fffa9e29fa,
Georg Ots,EE,4ad0bad8-7ccd-497b-b064-13c8b3f5dbe6,
Eesti Riiklik Sümfooniaorkester,EE,14648195-8584-4254-818c-b8c77e70e8aa,
Thing,EE,c7909ee6-ecc5-4257-9a81-a8f5d4413770,
Ruja,EE,bac75c73-9d3b-4819-800c-0e1050eb8ff0,
Freakangel,EE,bbeadfb6-6515-47ec-b6ad-a202843eef2a,
Terminaator,EE,c13a6466-d9eb-4b17-8ea1-2d08b94c2a49,
Kerli,EE,acf295f0-a10c-4c6a-ad0b-b01f82009153,
Eesti Filharmoonia Kammerkoor,EE,5e3a705a-cd30-4b28-bf08-0f34f622bf71,
Pia Fraus,EE,f317c12b-53b3-41f2-9e99-20de13003e75,
Beat Service,EE,73bb31ce-5ea9-40ac-a7dc-00631484f61f,
Tõnis Mägi,EE,a142f117-5c85-45da-90ca-ba5845f994ab,
Ivo Linna,EE,6b5f0c8c-2cc0-4c6d-88ee-0dbe94b71abe,
Mati Nuude,EE,2dbc1a0d-8000-4655-80c8-c331ebe1112f,
D3ad_un1corn,EE,85e2e955-78d8-433d-82bc-86007a722383,
Caater,EE,93080432-ecbb-47a2-8c10-e5a7193cf49a,
Forgotten Sunrise,EE,04c5d3bc-05ac-4f8d-b615-68e2f481158d,
Illumenium,EE,d264b2b3-2204-4f49-81c7-dc8ce67f8aba,
Vello Orumets,EE,b0a4113d-97f6-4d7e-9cff-7b733ef4ac2f,
The Tuberkuloited,EE,0ed30391-4e2a-4e60-9037-fe34cbbf63b3,
N‐Euro,EE,772c9240-435a-40b9-a433-a8d6621be338,
Apelsin,EE,0f6a9099-6380-4cbd-a9a3-6d720f3793b3,
Kuldne Trio,EE,76f56f53-848c-4c08-949b-b580fe78b0e3,
Cool D,EE,6c098a83-6908-49cb-839f-48ee2c176b81,
Ultima Thule,EE,a54f8952-adc3-4769-b805-0cfa48c0206e,
Eduard Tubin,EE,d9eab674-7a46-45b0-9133-024828bfe844,
Jäääär,EE,cb7a6b99-85d2-43f2-adbb-45f955ef5be5,
