name,country,mbid,youtube_channel
عمرو دياب,EG,ba26c1ff-e5e2-42c2-b1d7-b6f82ebc37ac,
Aly & Fila,EG,045bc733-e2f0-4f3b-8807-6a6d84505ea8,
أم كلثوم,EG,0a354a70-b879-4697-ad9b-60bfe2bd1d63,
Hossam Ramzy,EG,9e4855dc-84fd-4066-b8e4-b6b52bf8e3f8,
محمد منير,EG,5235052b-7fa0-498b-accf-26b9e7767da7,
أنغام,EG,c270a427-b263-499b-88ae-c2f295b60de1,
محمد عبد الوهاب,EG,77229bca-1a90-4015-bb80-29745aa0232f,
عبد الحليم حافظ,EG,9c22e6c5-56a0-4559-b017-5b4e305141a2,
تامر حسني,EG,e5e59f75-9ff7-4ddc-9245-f9c0082c0ade,
Sheikh Imam,EG,7adfd1f9-03ef-4f09-bb14-749f37ccfea4,
حكيم,EG,f946abe7-b0b4-40ec-b3ec-34b186eaa76a,
محمد فؤاد,EG,275028c1-0caa-404a-9c1a-80e7666c739c,
Omar Khairat,EG,59c2acca-9719-4f23-af2c-f8a58d0bfc43,
فريد الأطرش,EG,810c7829-2e33-4dd9-876b-77a3d0ce1c2d,
محمد حماقي,EG,c8faf6df-c2a5-4499-8661-c2cddef7d771,
شيرين,EG,0f1a5afe-2675-48e3-b1bb-907152cc1db8,
Omar Khorshid,EG,d5ae9800-e918-4e21-b872-aede252ffa51,
Ahmed Helmy,EG,6321983f-4aee-41a9-9d64-68e81c8c12eb,
إيهاب توفيق,EG,c6b6af14-e63f-4bbd-be5e-33013ca44a89,
هشام عباس,EG,fe91956d-88fa-47d6-9cae-70b9f59f9f81,
سميرة سعيد,EG,b3a933d1-70b0-4905-a9a2-54a267b0f534,
Bob Azzam,EG,e870caaf-3650-4ed8-9ca1-1ac36419abb0,
Hamza El Din,EG,fc4612dc-001e-49f9-b96d-5cbf04f3dd2b,
رامي صبري,EG,c56854be-e64b-4d5e-94fc-86c4c85d8f30,
محمد القصبجي,EG,4b2d8124-1b45-48ee-8b84-da106b7f5eba,
Cairokee,EG,9cb65ed2-eedb-4d83-85c1-453a08c972c9,
على حسن كوبان,EG,5937b73f-7baf-4a55-af51-38e600c0993f,
Abdel Basset Abdel Samad,EG,6fc24853-b886-4775-89cb-383415ef4077,
Sāmī al‐Shawwā,EG,cdfaaa31-f303-4fdb-990b-5a5f1516ee56,
Mahmoud Khalil al-Husary,EG,1acf4bfe-8521-433a-b2da-c65fca63ed6d,
ZULI,EG,99fb64a0-0eca-4afe-af99-0d13c126b58a,
Ammar El Sherei,EG,6e53a084-0d44-4d9b-b677-eb118b0879d8,
نجاة الصغيرة,EG,3cb917bc-cbde-4ff4-a023-aa6594ea33d6,
مصطفى قمر,EG,292f7107-d04e-4223-9e97-370ad5e934f6,
وردة,EG,3f9d077d-f2e8-4cff-9ab6-d53ad7ace217,
Wegz,EG,459d9d06-5d9b-4bc1-a619-91e4e06160d1,
حميد الشاعري,EG,8325f818-ff9b-4d02-ac92-0b03b9c8c82e,
آمال ماهر,EG,c51e4392-7ff6-41ae-9933-cf344c331cd5,
بليغ حمدى,EG,fcd4e250-2ba7-4af7-b5ef-f4901c8e39e1,
Yūsuf al-Manyalāwī,EG,d17b5c27-eb5a-4238-9697-d555721a4964,
تامر عاشور,EG,b3c130fb-3dd3-4815-a2cf-c6b37866112f,
Philippe El Sisi,EG,bd078ad7-5e8e-4416-8936-b10a83229fc6,
حسام حبيب,EG,9803cf07-6239-42a0-a0ea-934408fdf051,
بهاء سلطان,EG,57e8457b-c1ee-4deb-a7e1-c3efcedc58b1,
Asmahan,EG,04339849-b79b-4c0b-93bb-a5bc9e217d31,
هاني شاكر,EG,12705a42-2dd4-4594-99ce-b904eaec6bf8,
Abdullah Miniawy,EG,077b2099-2967-42a1-94d2-d2ffe639d44f,
The Musicians of the Nile,EG,27cfe7e1-d0f3-4940-9909-2fbcab0d7c2a,
Lycopolis,EG,591365f2-c2c2-4854-86b3-4b03139ecd37,
Lege‐Cy,EG,0950e7bc-4c12-4d51-bb98-efc5c5704925,
‘Abd al-hayy Hilmi,EG,f1a9c3e7-f127-4cc0-a8d0-2a51cb173251,
Marwan Pablo,EG,8d4cb4cc-ef7c-4620-96e9-543c151372c7,
Mahmoud Fadl,EG,21d92688-87c6-4e1e-8fbe-de293b8de12b,
Salah Ragab and The Cairo Jazz Band,EG,6e3b011a-184d-4d0f-b198-0ce5765adc2b,
سليمان جميل,EG,c495f223-1732-4a5d-8052-a75752cccbc4,
Massar Egbari,EG,6692517a-4413-4126-b563-5ee031749c1e,
Mohamed Mohie,EG,170d4aab-c098-4b1a-96f0-a5173c4c8d9b,
Ramy Essam,EG,07d85781-25ce-49fb-835f-4ece61ceda22,
Crescent,EG,7dd40315-2a1e-4f4f-949a-ea602b21c13d,
Riverwood,EG,0b34033f-0898-46fd-9ba6-4d3bbc2e243f,
Liz Brady,EG,c8ad9046-797b-4254-a861-3cd500573a55,
حسن أبو السعود,EG,30f95b82-30f3-4f5b-8daa-195f93a4e646,
Sandy,EG,110d4302-54fd-4dde-b577-22b9e113294b,
أحمد سعد,EG,28b18347-995d-4214-a05c-ab7d5392b85d,
Salamat,EG,14365988-ac01-41d8-8acc-999f61b0216a,
نجيب محفوظ,EG,801e60fc-0695-4e8f-a463-304552bf39e3,
أحمد عدوية,EG,ef64264c-1fe5-4ada-8e36-b9e63efe8979,
Adel Shams El Din,EG,139cb25f-659d-4d17-94c9-c3afada675fe,
Scarab,EG,b95fd441-5bd0-4e50-a389-52bc9d04a4d7,
Darwîsh Al-Harîrî,EG,32e6fa98-6a33-46f9-8346-c2cc196865cc,
Odious,EG,ee075388-1648-4fe0-a489-598e6da5d946,
رامي جمال,EG,8c027cb8-648e-424f-bd85-9c37166d33df,
Maryam Saleh,EG,3dd984f3-0632-4959-af8e-30b2b1b99f38,
Khaled Aggag,EG,969a7ad0-9d4b-48c6-a29d-e5636881be28,
Hassan El Asmar,EG,3328e6db-adcc-40e8-b446-445e6f5d47f7,
David Ensemble,EG,3bd4157c-0ff4-46ba-b31d-35c3eaecda98,
Fulltone,EG,3f2eaeb6-98d4-4164-8613-defa83e2f44b,
Riad Abdel-Gawad,EG,3c3a19b1-27ac-44a6-a2b2-7fcc2a3da6af,
المصريين,EG,eaa129ee-73a8-4edc-a7de-41348a4ac860,
Nutr,EG,00e2cc29-b06f-49ec-8834-0014dc64654e,
Georges Kazazian,EG,febbd7db-56c2-42ed-b059-0b13a58db3ea,
محمد رمضان,EG,53964800-5093-4e97-960b-16dcdd0a1710,
محمد رشدي,EG,bdf085f5-d4d1-4c94-a999-b21318e70f06,
عمرو إسماعيل,EG,d23091ed-df80-4e94-9d6a-97c5ab8a2b9a,
Dina El Wedidi,EG,cd00aae6-ac3a-45a4-9f2e-8614c903197b,
شادية,EG,8d53ca2f-9b24-4682-a215-bc7e5a3f3e8c,
البابا شنودة الثالث,EG,de19e41a-f687-43a8-ae3e-56db19c6d51e,
Datum X,EG,eef690fd-4ba9-42d9-9e8a-fcd830c9927b,
Tamer Abu Ghazaleh,EG,475cc5e3-7ee7-424e-ba38-d196983e458b,
هشام نزيه,EG,ea665d6d-9b2a-4066-b553-b21fedf52123,
Rafi Baladi,EG,31162c79-2ac1-415f-9265-52f5d86c11ff,
Black Theama,EG,bd65f350-e216-47f6-80fd-c04ce677d9c0,
علاء عبد الخالق,EG,63645598-9a16-4368-933c-58f93fdea13b,
هاني مهنى,EG,c66ac0de-447b-4ebf-bdfb-aa759756c816,
Mustafa Said,EG,906d61fd-5893-4128-a9e5-e50335bcfa16,
أحمد مكي,EG,b924b398-0344-4782-818e-d558870d0c40,
Hamada Helal,EG,26de00e4-817e-416b-8478-a8f22cea91e7,
Skynet & Fekky,EG,2a4ffb4f-0bec-40f6-88a9-068ba0ad5cca,
El Tanbura,EG,7efc1eb8-4a9a-4153-b351-274f1bfa6b50,
A & Z,EG,67a6fbd2-fb54-4d14-b7d6-c7808bfe2609,
سيمون,EG,c58b56ed-a2ce-4c3f-b1a9-2bd363b5cccd,
Basem Darwisch,EG,1836cc8c-252a-49dd-8623-384012bf1438,
Kixeagle,EG,274177e0-b480-421a-9a6e-efb373f3f0e5,
محمود العسيلي,EG,492aaab3-1f27-447a-a2bb-6128b58c56b9,
YUNIS,EG,8789c164-9266-47a4-95b7-841a238d02cd,
عايدة الايوبى,EG,caa93711-df55-4a50-b1a2-4cd3968774bc,
سمية درويش,EG,5284c011-3786-4998-8ea6-f4640de204dc,
Samar Tarik,EG,5ce9421a-2286-4607-b91d-fb15548fbdba,
Selim Seliman Ensemble,EG,1c9d2a99-ce9e-4dc9-a47b-ac49e4f19ff8,
Ruby,EG,60827bc3-222a-4eef-af00-87cafb1633ae,
ليلى مراد,EG,096a74c6-772b-44af-b786-2ed5ac0fcce6,
سعد الصغير,EG,ef0c981f-e5f8-4dc4-83ff-6b0d1dbd999a,
Oka Wi Ortega,EG,7dfcc546-8ec7-40ac-b24b-f3bd40cd41c1,
Wust El Balad,EG,8b7928c6-9d42-4f0a-90ba-2cfa2e091c1e,
Onsy,EG,a4b43100-ac17-490b-8325-cd0108616a05,
عبد الله حلمي,EG,400ac9e4-c588-481e-965e-209b8f6499a9,
$$$TAG$$$,EG,53739dc0-1f1e-4db4-bad1-e419123bee3c,
Eftekasat,EG,6786a42c-e291-4c13-b641-376eb0a4c997,
ماجد سرور,EG,baee4f9d-6a78-418a-8d17-ac16f2746012,
Sharmoofers,EG,32cb96d3-c52d-4817-80d0-d581538d7c50,
Mahmoud Refat,EG,409b839e-3a29-4424-9d4e-2974f764c2f8,
Ihab Radwan,EG,32b1e62e-4f30-477e-accd-96cc36e41621,
Massive Scar Era,EG,a349c83d-1c5a-4b56-a903-ca80be63b0ed,
