name,country,mbid,youtube_channel
Aziza Brahim,EH,752f9b80-3d8b-4ec1-86cf-30095a82ff1e,
Mariem Hassan,EH,256dbf70-70ec-48cf-a2cf-ba05dc4dd203,
Group Doueh,EH,05dbd133-51b3-4181-a000-858a255d3fb0,
El Wali,EH,1aeedc77-ca82-4a5a-9c85-a80fa546e239,
Tiris,EH,627981d7-2e9a-4e7c-b537-2cd85e43195d,
The Cringeful Dread,EH,090315a5-845b-41a7-a388-e1c32d79aef9,
Jalihena Natu,EH,c12ecec6-17ab-4203-b64e-58fc06da467e,
Najm Allal,EH,9e6d2e4b-c29b-4169-b35e-602b372c5c53,
Shueta,EH,e68a93ae-8e5a-413f-aa32-623c721a4880,
Tarba Bibo,EH,56df0c5c-1510-4fe6-b67a-94b292a72122,
