name,country,mbid,youtube_channel
ጽሃይቱ፡በራኺ,ER,ee601600-ceec-4b41-872d-4ac921f5c6f1,
Faytinga,ER,922ae620-acce-4d57-bfd9-ee6add5cf84a,
Asmara All Stars,ER,443ea9dd-6b56-4fbb-a741-5a02e12d8c37,
Negash Ali,ER,65e77c0a-fb09-459d-ac2d-3808125a2008,
Fitsum Zemichael,ER,55c32421-ab7e-4924-8db5-4f6f3cc4e271,
Awalom Gebremariam,ER,3fdd420f-f74a-422b-a052-32bca672e1fa,
Eden Kesete,ER,5f9ca55a-3aff-46c8-8a59-20948c77c087,
Semhar Yohannes,ER,2dac929c-e801-425d-bdc8-4956c1c49a1a,
Abraham Afewerki,ER,89835cb6-8ccb-4a92-b19e-214353fbcd5c,
Ruth Abraha,ER,5b575ee4-39d4-4365-901b-8aae32a6d6b2,
Elsa Kidane,ER,15b9603c-80dc-40f9-9d44-bc07db3be2b4,
Zeudi Araya,ER,6ab90a3f-b352-49c2-889d-b12134b6633d,
Helen Berhane,ER,edbc8353-f35c-47c5-b577-88409ad96f6f,
Alex Kahsay,ER,2ec86b66-dcc0-4bac-86da-610dc343764d,
Wari,ER,44630756-2a13-4a81-bf64-aaaf476dc166,
Gual Ankere,ER,ed2d83c7-b822-40e2-9b5e-587a429464f9,
EriAm Sisters,ER,92ae0d13-ea0e-4df8-a554-4e2f03c5d0ea,
Abeba Haile,ER,a0d57258-ee31-4574-a349-c6fab7b8e048,
Helen Meles,ER,3a3175b8-cb6b-435c-b210-ba60d1a1b6c5,
Haile Mehari,ER,36c05e2b-582b-45a6-96ba-248b167966fe,
Aron Abraham,ER,23e027d6-8d95-4f94-940f-f54db0425534,
Tesfay Nrea,ER,54c368b7-b4e0-460f-a6b9-3b31e6662e22,
Saed Abdella,ER,d33a8993-afa2-457a-a682-eb680edcadc0,
Yohannes Tikabo,ER,d88207fb-4f2e-40b0-98e5-d6301babf991,
Tesfay Mehari,ER,305e5b2a-8dc2-40e8-8f09-09344c5efc0b,
Kahsay Berhe,ER,1ee70727-1685-4790-a6a8-6978b2288bdb,
Zainab Beshir,ER,580d15f8-2e87-4dce-ac03-bf198c75df3c,
Khadija Adim,ER,2deba81c-f0c5-4804-a4ef-2084195d0948,
Wedi Sheik,ER,2f542365-3d2b-437b-88f0-6765fbccde75,
Zeyneb Adim,ER,5ddb11f5-e4fa-4915-9ce5-ca3c2cddc532,
Temesghen Yared,ER,d76717ee-b454-4737-8197-41c7ef833a9f,
Melake Abraham,ER,e07e0ffc-a8b3-4f95-8ed9-665aec3b4af7,
Eden Teklit,ER,8c841834-0e89-4f4b-9f84-97243bec470e,
Millen Hailu,ER,f7cb18b3-401a-4303-83a0-dfe51de9a7f2,
Bereket Mesele,ER,ca5f5eff-9445-4659-b6af-21a850218ce6,
Jemal Romodan,ER,5643a6ed-bcd1-46d0-8dcd-21bdef44d15e,
Rezene Alem,ER,231ac5e0-d4e5-4fcb-b9fe-e62401bf3a72,
Abel Kflom,ER,889e3f2c-4008-4979-b864-6e8d2b0ba07b,
Feven Tsegay,ER,c1858ce6-4258-4f90-8c33-c9b2553f45d7,
Noheroots,ER,1f759541-a1f2-412c-b40f-9408353a376f,
የማነ ገብረሚካኤል,ER,159a09c2-3ac5-456c-8c04-33098e39bfe7,
በረኸት መንግስተአብ,ER,0a80f24b-e6a4-41cb-8734-ce591e58b65d,
