name,country,mbid,youtube_channel
Manuel de Falla,ES,17268036-f51c-427c-a8a2-241fac69d39f,
Julio Iglesias,ES,3be4099e-f180-4038-af84-ae18a09eab02,
Plácido Domingo,ES,521df2bd-01f6-456e-9d5f-f081068819c2,
Jordi Savall,ES,9a4bb654-35c5-4c88-8460-39d5bb01aa57,
Paco de Lucía,ES,7bc8dd01-35ea-4b18-a64d-3a364dc76a52,
Joaquín Rodrigo,ES,fde4460b-868a-493e-8c53-221e418c8959,
Isaac Albéniz,ES,0a46cf2a-61bd-447d-b8fd-a2b32eb20282,
Enrique Iglesias,ES,35f866dc-c061-48ba-8157-cf2e0eac4857,
Rocío Dúrcal,ES,b8ba2ae6-a233-4b9c-bce3-ea7a7803c946,
José Carreras,ES,7716ddac-2f24-44fa-81b1-bfa920811445,
Ken Martin,ES,49d2389b-fcdc-416f-91a5-86d7ddb46703,
Francisco López,ES,d0649f4d-e1df-466d-ae5c-8f8c06b6163d,
Enrique Granados,ES,e378c6b3-7d74-48b5-ab04-9aac0df7562c,
Federico Mompou,ES,dfdae2ad-92b8-4409-9b62-3f7aca5b0606,
Miguel Bosé,ES,98ad7a28-1949-4786-b1f6-4fa05b9b440c,
Bunbury,ES,9047fd95-770f-4a8a-a6e3-3b071a882e4d,
Andrés Segovia,ES,443aad48-c7e7-476f-96bf-90f123a4829b,
Joaquín Sabina,ES,a992aada-7108-455d-9747-0b7b6a089e8d,
Joan Manuel Serrat,ES,64e96700-d880-452e-803d-e4d7628b0224,
Miguel de Cervantes,ES,c9224cbf-0b24-4bc7-809d-3c9cf0efb3b6,
Raphael,ES,b34cfe02-994d-40dc-854f-bf54a23dd405,
Loquillo,ES,efe3d002-46b7-4c66-a090-975b9cbb1947,
Alberto Iglesias,ES,1de1b2e2-2881-4e7e-bf75-60de23f1ed4b,
Carlos Ruiz Zafón,ES,bc1392e7-7e1e-44dd-9b1c-6be31b3bcc7a,
Mecano,ES,3be5dee4-5fa6-45a5-97c2-98914580bafa,
Fernando Velázquez,ES,4d529a14-0c10-4310-b0c3-e54ae7e8c3d6,
Tomás Luis de Victoria,ES,09170b4d-9a28-4d6a-9070-9c8c725826ec,
Héroes del Silencio,ES,4bb712d6-8be9-4c09-810a-eb3bed2be345,
Roque Baños,ES,106e1cea-2356-4078-a036-2a8023cd9d8c,
Alejandro Sanz,ES,9bacf78f-9132-43da-8873-8a9eb49da0e9,
Miguel Ríos,ES,cfd5e4f3-e73d-4f8e-a315-6b99c7b1c3f7,
Fangoria,ES,0579e174-f377-4fbb-a3bf-db7ddc7aabb1,
Alicia de Larrocha,ES,4253b0bc-beff-4579-9101-7df5ecd317ae,
Camarón de la Isla,ES,1f25c419-4084-40bc-9bac-c39f375384c5,
Oskorri,ES,5fc32874-8c64-4183-9077-258a62f8397e,
Mägo de Oz,ES,fa3b825f-7c85-4377-b393-d28a2016e293,
Víctor Manuel,ES,e9c8cad5-d9e2-4e64-9b4f-44cb5bc80701,
Camilo Sesto,ES,138fe36a-0888-40d2-9390-3d9be0d74f07,
Cookin’ Soul,ES,cb15675b-24a4-4092-8554-61f03b6017d8,
Ana Belén,ES,f8dff62b-2cc1-4ce9-8def-05a45421f3fe,
Mocedades,ES,9c2f1f4c-8e54-4ba8-8904-9c1edb33c739,
Fernando Sor,ES,8ff25779-eb1d-4d24-bf91-3118bdfb4225,
Rocío Jurado,ES,ad0a0af5-be4d-4302-84af-4e69bf91b201,
Luis Eduardo Aute,ES,35542d25-c761-49fa-a402-f752c5789517,
Saurom,ES,a95bc046-a0bd-42f3-9c30-3b2d3d6976b9,
Rosendo,ES,4c7e8420-1ed6-4878-8b86-70bdd3ee5803,
Barricada,ES,8fe43356-6902-4311-a80c-f221bfcf3efb,
José Luis Perales,ES,86845ceb-170e-4bc2-9006-cb360867d04b,
Pig&Dan,ES,bd8a9519-217c-4317-9b98-266b1076c3d3,
Siniestro Total,ES,d320be5e-ba25-4113-8b22-5c64ab87fcd2,
DJ Sammy,ES,c43e35b8-8234-408b-9a25-07f2fcbeb317,
Hombres G,ES,8b1628a7-130a-4faf-96d8-2418bd9043c2,
La Polla Records,ES,cd3f2331-160b-4ed3-9f2d-f0c54fcc1c63,
Esplendor Geométrico,ES,401ad861-47fb-4845-9995-80c7384e0f89,
Coro de monjes del Monasterio Benedictino de Santo Domingo de Silos,ES,22d679e5-34a3-4395-87da-6d524749eac3,
Francisco Tárrega,ES,59bdd84b-28dd-4aef-bb5b-2e2c98997b10,
Eduardo Paniagua,ES,18c4cc93-5c8a-40ca-bd52-1fd54c3690b1,
Los del Río,ES,c152ed9f-7a4c-4006-af2d-ed8b7126b0a0,
Padre Antonio Soler,ES,bc94f2e1-e6e8-4fce-a767-8c98e910fa3a,
Medina Azahara,ES,63d38a2c-55dc-4318-9ff4-82d4c265f89f,
Baccara,ES,d17a5888-7775-4541-85d6-f6344f9e93b7,
Montserrat Caballé,ES,a96e61bc-1da0-45d0-816d-ebd00b70ff9d,
Pablo de Sarasate,ES,05f12d97-ecae-4fd6-bb03-53a4bd1322a8,
María Dolores Pradera,ES,209775df-4c76-4a74-be67-f0f425186dea,
Duncan Dhu,ES,60a14c16-ac69-4898-b0cd-12cb87e327c9,
Joaquín Turina,ES,f9e7a0d2-e76e-483e-a219-26ce8bf40ede,
Dyango,ES,e8472e4c-e899-43cf-8e66-70eafbcf750d,
Luis Mariano,ES,0680f2d8-2c3d-43e6-92c6-5f2666362720,
EVOL,ES,4cf98588-a2b8-4158-b2d8-954f36c2d95b,
David Bisbal,ES,95c8b6b7-1e24-4987-804c-024f6b05cd91,
Alaska y Dinarama,ES,32e5def8-6668-4459-bf21-643c0bde0de8,
Mónica Naranjo,ES,b32ffdbf-87d8-4182-babc-88b566ee5a31,
Los Secretos,ES,ec5872e7-9d15-4624-b949-c82e700fd2e9,
Reincidentes,ES,47a40555-4df7-41f5-a4a5-6033b198a3e3,
Eskorbuto,ES,fd7432e5-2ec0-4197-a38e-cfc26ef2789c,
Celtas Cortos,ES,e41b4871-a98d-494a-8cea-b9ba1a3ade1b,
