name,country,mbid,youtube_channel
ሙላቱ አስታጥቄ,ET,67f0c7ca-14e8-47a3-be0e-bd2f2ffe25bb,
ማሕሙድ አሕመድ,ET,0aba82ae-573d-40c2-9efe-4cd5a09a2c10,
Hailu Mergia,ET,0b40d946-2362-4445-90f6-a3a5f333bd30,
አለማየሁ እሸቴ,ET,ee74058b-5335-4dac-a672-a364faaa03d2,
Emahoy Tsegué-Maryam Guèbrou,ET,98fd0571-0ddb-4ee8-9e1b-19a9a7294554,
ጥላሁን ገሠሠ,ET,6847c3df-a5ec-4ce8-882e-258ea0988c46,
ጌታቸው፡መኩሪያ,ET,d4938195-6548-479f-9f11-a4e22d915770,
Yehu,ET,b6c491e4-dd48-4fcb-8341-f7dbdbe38b01,
Wallias Band,ET,826e5bdf-79c6-4754-af2d-2c7e2b86561d,
ሂሩት በቀለ,ET,b9527b29-1e5b-4624-b860-f695fdcd042a,
አያለው፡መስፍን,ET,dd1d4b9f-7443-4ddb-9617-8e769dedef49,
The Nazarenes,ET,cc99f0bb-c324-45d0-ad3a-66cbdaa1f4ff,
Mulatu Astatqé & His Ethiopian Quintet,ET,5189bb02-8d94-45f6-838a-5bc12cc64d28,
Neway Debebe,ET,8f7982e7-de5d-4dee-ba36-5b7543f2ffdb,
Kuku Sebsebe,ET,2548cce7-2ef9-430d-9350-c912aabd72a1,
ሙሉቀን መለሰ,ET,7296039f-992c-4807-b818-c9e79f7d73b9,
Abdu Kiar,ET,c6e02074-68c2-4045-bb65-93dfe8aaeb2f,
Josephine Kronfli,ET,525aa389-d6c1-484b-84fa-fd32aa80bf3e,
ናለሙ ኣጋ,ET,e41c7f31-ba75-400b-abcb-a8ecdb8bdce3,
Bzunèsh Bèqèlè,ET,0cb91707-8590-46ee-bb33-957fdddb7b7b,
Seleshe Damessae,ET,4188b3cd-c9dd-421c-b690-17d6b188b03b,
Eténèsh Wassié,ET,dedc2f96-1433-4bb1-981f-74d81df2826f,
Jehu Judah,ET,8ecc0621-1033-4b27-b136-c6816a1d9b4d,
Gome Riki Tu,ET,12b6e0ea-7215-4427-9c91-796c51d3a165,
አሊ ቢራ,ET,19d99b5c-3231-4f6c-b03e-68e390b62e97,
Samuel Yirga,ET,158eecd8-5b00-4707-acf0-772d6146db0e,
Teddy Afro,ET,bd18aaf7-97dd-4bdf-84f5-916111f1b0db,
E.R.,ET,cae8606b-d80d-47cc-8612-42686b4476e6,
Selamnesh Zéméné,ET,5667cb87-a518-4e69-b961-8728b02c12af,
ፈንድቃ,ET,c05179bd-747b-4c9b-8d5e-a170d43da315,
ዘርፋ፡ደምሴ,ET,b2a04e80-65b7-4a07-8862-5c16ad598260,
አስናቀች ወርቁ,ET,c860bed7-9756-4bf8-bd31-190d405170ef,
ሕብስት ጥሩነህ,ET,5138ec4d-a094-4d09-ad7b-adef9246fab5,
Rophnan,ET,9a73e658-d832-42e7-a50b-4506d35bab8f,
ምህመድ፡ጂሚ፡ምህመድ,ET,7098a91d-f6db-4316-8042-68d148a1bd6e,
ናቲ ማን,ET,195b8da5-78de-4de9-9441-b5a9a621b5fa,
አብነት አጎናፍር,ET,434e81ff-9492-4c97-834f-4d2279149109,
Sèyfou Yohannès,ET,5d3daa31-4337-4ed0-877d-638340119f59,
ሚካኤል በላይነህ,ET,0b7ea1e2-4e8f-42e1-b6c0-3aaff1a2834e,
ሀይማኖት ግርማ,ET,45e33215-fa7b-46b9-b27a-c20221083838,
DJ St3v3,ET,55d61107-6d3f-45ca-96ed-bfb75f081a0c,
Fèqadu Amdè‐Mesqel,ET,93f39b70-e795-4bcd-8973-0a0407dedd4f,
Kassmasse,ET,33551b65-c877-4a96-b1b5-b64544a59371,
Jano Band,ET,e30abf57-6c01-44a0-a77c-dc3ba0bdcdd2,
ሀና ተክሌ,ET,c0f2e8b6-4939-4f5d-9c18-9d5837adacc8,
Asnaké Gèbrèyès,ET,9ffc8580-c076-49e9-954a-c79086f8edb0,
The Imperial Bodyguard Band,ET,f7ffd3ea-177f-415e-8892-19ef8e7c8e61,
Getachew Abdi,ET,1adc9ee2-3e62-4d96-8830-2b6cdf3e52a8,
Kute Ojulu,ET,f0909b66-05ce-46ec-88d6-7fdb5ace3528,
Elias Tebabal,ET,22e77ab6-86c0-4a87-bb32-0fc4cd52adab,
ቻላቸው፡አሸናፊ,ET,231b8314-84ac-4f0a-8080-479d958d3158,
ነጻነት መለሰ,ET,79fd30fb-8988-485b-ab49-fe5e244535d9,
Getachew Engedawork,ET,6ffef685-a0cf-41ea-88b5-7bd33f8f2c0b,
Tayech Berhanu,ET,9790f6ce-bea0-4de4-91ff-38d9996b25e7,
ጌታቸው ካሳ,ET,91343f62-bdf0-4374-9500-8c55e806e885,
ይልማ ኃይሉ,ET,e2a46924-3bc4-4346-86a4-442b5a419450,
