name,country,mbid,youtube_channel
Jean Sibelius,FI,691b0e9d-9e57-41cf-932d-a3d21b068e75,
Nightwish,FI,00a9f935-ba93-4fc8-a33a-993abe9c936b,
HIM,FI,4cc51547-88ae-49a2-bf7e-0ef65ee7a94c,
Olavi Virta,FI,643c891c-7dfa-4a2e-83f7-cd67061de05f,
Mikko Alatalo,FI,bbfc5c53-a910-4d9d-a703-9198715279cd,
Vesa Vierikko,FI,30f0e21c-d1f3-4d0e-8dd3-61645095bd3e,
Irwin Goodman,FI,078f98b2-3a90-4443-817b-440c7089b0c4,
Amorphis,FI,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,
Katri Helena,FI,c6b7656c-c921-4f49-8510-f48055756076,
Apocalyptica,FI,788ad31c-bf0c-4a31-83f8-b8b130d79c76,
Kari Tapio,FI,cd379eaf-ac4e-4db3-88b1-ecdf19b58495,
Stratovarius,FI,c3d6fdd5-67c5-453e-87e3-d17a00a52879,
Klamydia,FI,54906119-a131-4056-98f9-4b27dd9ba729,
Popeda,FI,c03b2a7e-1938-4a8a-83af-206c2f22df4c,
Sonata Arctica,FI,319b1175-ced9-438f-986b-9239c3edd92d,
Vesa-Matti Loiri,FI,c0f8b899-b3d3-44dc-8148-5ce21d670d5a,
M.A. Numminen,FI,7e93517b-897f-43f7-bee9-8bdb7bd1c9b1,
Children of Bodom,FI,f57e14e4-b030-467c-b202-539453f504ec,
Yö,FI,a35d2112-4137-4c14-89fb-58e02036c326,
Hanoi Rocks,FI,fca2e3b9-d29c-4b41-bde9-0ea5fd279843,
Tarja,FI,1fd8c24b-eaf3-4ee2-9931-b8130099d789,
Hector,FI,600bec42-17d9-432b-949c-9ec362b13348,
Carola,FI,ab197131-6238-4e64-b68b-8657783e9655,
Kirka,FI,985184b0-7772-4508-9d4a-c66a99562930,
Hurriganes,FI,1997642e-b202-426d-8fab-50e4c5dc095e,
Jukka Kuoppamäki,FI,7fa60724-bc8a-44c7-9a5d-363430283095,
The Rasmus,FI,012e3432-71d3-4317-9ce5-b60cb6cdc38f,
Frederik,FI,4b598be3-8f19-4b21-bcf7-1bbda1d58d39,
Dave Lindholm,FI,20f9201d-f046-427e-a754-e810836b266f,
Paula Koivuniemi,FI,dca3c0f1-daa7-4a3d-9c1d-1daa4bf1fac5,
Darude,FI,9ffad8aa-b671-4a9a-a527-a95bdaaa0ec4,
Apulanta,FI,d3fa206b-a8ff-4b53-a0e2-83aa19a40c66,
Leevi and the Leavings,FI,5ffb1041-7236-45d4-8523-60faf95946c6,
Sentenced,FI,82a5b152-ee60-4447-939a-dd5a91cd7c38,
The 69 Eyes,FI,ba1384a7-8b0e-4ea6-bf0c-f1ec17a06d14,
Tapani Kansa,FI,16df3e95-dd2d-4042-b880-0fc70c14bd48,
Veikko Sinisalo,FI,7059cfc1-7be3-4ca3-ace1-403675af5041,
Väinö Linna,FI,23e6e845-8dbd-4e40-9a3f-09b4bd417428,
Sunrise Avenue,FI,fa57d5dc-bcfa-40ea-9638-3d3cd89d1258,
Tapio Rautavaara,FI,1d6e26e7-5eb8-4b95-b7d5-c2c8f60c6eae,
Eppu Normaali,FI,1bdd1d2d-5974-46e7-8003-2e2ee3176653,
Kolmas Nainen,FI,7283c23d-38b8-4522-af24-1651136367aa,
Juha Vainio,FI,1a1da243-4387-4a5a-9c84-d667daed92d7,
Lordi,FI,b5b4ba6e-6e34-4669-a33b-0d813b4c3d83,
Jope Ruonansuu,FI,fb50177c-d4b7-407e-95dc-40f15274041a,
Agents,FI,8fa7b39a-6faa-49ab-8a62-8dc6b71c1947,
Absoluuttinen Nollapiste,FI,c507f7cc-d4f4-4ab6-a072-8c7653960a94,
Huge L,FI,600049b6-e3e0-4bad-9287-5b02df752b7b,
Rauli Badding Somerjoki,FI,2b82ac4a-0264-4cf3-98d7-61e5bc941f28,
Viikate,FI,63e166d4-b490-48d1-84f7-c19b45c503de,
Kari Peitsamo,FI,749b8bbf-64f8-48c4-b379-fd16c874a93b,
Super8 & Tab,FI,c54d9d94-e94f-4d8d-850d-1c314bd4ee15,
Matti ja Teppo,FI,eb646490-1356-4c19-bdea-01fd008c593a,
Värttinä,FI,79c41645-d2bf-4f53-8f17-4be34099eaf3,
Eläkeläiset,FI,09c8218d-454a-489f-b500-80b305f79917,
Circle,FI,b5bca2fd-5f64-4a54-b508-1b3070e87d38,
CMX,FI,1e6d7f54-95b1-400f-863c-2a72a7494e59,
Einojuhani Rautavaara,FI,bb94bbf5-b2b3-4a5a-bcab-7ba8b60cccea,
Laila Kinnunen,FI,492861c8-fefe-487a-addf-1acd0a391256,
Maarit,FI,89bf49b4-f799-44ae-9f12-14bfc927d36e,
Topi Sorsakoski,FI,fc2dd4f0-17f4-4792-8536-51036e1b1ee2,
Waltari,FI,1b5843cc-3109-4496-888a-1ca5528aa7f9,
Tuomari Nurmio,FI,1fb517fd-25e4-4f71-9967-6e2674c781ed,
Eino Grön,FI,1a3ecb00-86c5-44ab-a0d0-844892f960cd,
Jimi Tenor,FI,41521210-ef91-49cc-9b0b-55ca8f9f053c,
Marion,FI,52e90deb-1bcc-45c3-b2d3-9eed246cf063,
Mamba,FI,d58c97aa-27ec-46a6-b632-31f54afbbe15,
Danny,FI,d04be83f-4330-4144-9c63-078087706582,
Impaled Nazarene,FI,2228019e-67b4-4d2e-a101-f2d5dcaf892f,
Heikki Määttänen,FI,3ce05817-644e-4c71-8610-7d6d87a9ca0c,
Neljä Ruusua,FI,b74cb0c9-86fe-426c-9d3b-f07f6a2936d5,
Korpiklaani,FI,50eec634-7c42-41ee-9b1f-b41d9ca28b26,
Arja Saijonmaa,FI,0bcb4b8f-7328-4770-be30-46a5db444862,
Terveet Kädet,FI,bfa33dfc-16ba-49d6-84ba-5cd8e986e46d,
Sleepy Sleepers,FI,95c962ac-9160-4d4d-8195-aba27aa68079,
Satanic Warmaster,FI,cf9e4560-c798-477e-8fe5-93423009b71b,
Horna,FI,4fa62d5a-89aa-4a5e-b383-b29396eb5c94,
Reijo Taipale,FI,42baf186-9037-46d4-b297-f3d68c0b3ea7,
Juice Leskinen,FI,d1d914e2-34df-4a84-8fc2-226889c10814,
Kaija Koo,FI,446455f2-7d62-45ca-a7ef-53c1c676ac5c,
Markku Aro,FI,1b013b59-f2b7-4b94-aa8b-02248015cd73,
Antti Martikainen,FI,36b891ab-5e89-4f17-bb91-f189764de5ff,
Wigwam,FI,dad658a2-b312-4728-b180-ce8fff119db6,
Jari Sillanpää,FI,973c00fb-ebdf-4436-a36b-8565fa32b82b,
Eddie Boyd,FI,8766468c-9a0f-41e2-8466-601d94d5098e,
Ensiferum,FI,6e64cbfa-1a60-450e-81f4-c044c868ab24,
22‐Pistepirkko,FI,32b698aa-0bf8-4783-88f0-0758b8543cbd,
Kauko Röyhkä,FI,4b4e50fc-ec3c-4ccc-aa50-768a7ca1ab85,
Tove Jansson,FI,d7b30933-54b6-44fb-a7f5-3cf80357e391,
Pirkka-Pekka Petelius,FI,50fba235-e20a-49c4-b307-d112fdd8a8f2,
Arja Koriseva,FI,14f331fd-a197-4de4-a374-638f0cc6257f,
Dingo,FI,f7c46d72-b6d1-4134-a34a-1f054b1aceb9,
Esa Pakarinen,FI,fe237f43-efbd-4f2c-bfd0-8d73da80cb81,
Wintersun,FI,c054ea6b-c585-41eb-ae7e-4b0ca43308ff,
Kalmankantaja,FI,28240f99-fcce-4577-8e2a-966000957603,
Ari Pulkkinen,FI,fc14934c-5c14-4b3e-ba9a-76af9117e6a8,
UMO Jazz Orchestra,FI,dec63f48-67f3-4a72-8355-5a7fd846c1b5,
Samuli Edelmann,FI,17656e9b-9bb0-4f12-9d7d-ebb44163dd5a,
Aavepyörä,FI,e2a013df-987a-494b-9b68-67a6643aa909,
Bomfunk MC’s,FI,5dfbf314-2052-4c3b-9a7a-5270fb3b2a55,
Muffler,FI,efc210f8-46a2-43e1-8b17-9da31f721ca4,
Lauri Hallikainen,FI,a3098b24-7c39-41ae-be99-34b2abb8ba81,
Juha Tapio,FI,f11a8b5c-93ef-42bd-97bc-d93d00538a9d,
The Boys,FI,dc73b39b-3d76-4b2d-be29-2ddd02c56402,
Hassisen Kone,FI,472f9acc-1e08-433f-bcae-9ab74257180f,
Sir Elwoodin hiljaiset värit,FI,4979a2df-0ffe-4845-a36f-6f25fab1417c,
Eero Saarinen,FI,59d6fc38-5eaf-4026-9326-4c3d62323e22,
Matti Esko,FI,bb95faf3-cf13-4706-a61d-44ebfb0993b5,
Kai Hyttinen,FI,d9855d80-44da-4dcc-8f2e-7e0d5eb23f14,
Eini,FI,b30eb6db-0f60-4874-9d11-0a77f6b79112,
Jamppa Tuominen,FI,0300cbd9-15cd-44ce-bdc9-2065cd51b946,
Azaghal,FI,499d753e-aea0-417b-a9be-e77747999aae,
Uton,FI,d10af145-7811-4bd1-a5ee-908db3f19444,
Fredi,FI,19f3bb89-1e24-4cda-97c2-d4a468f9aa20,
Pate Mustajärvi,FI,24fb2b34-5dc9-48e2-961b-8f71bd21cd84,
Astral Magic,FI,b6d4b656-8ac3-411a-8c0e-492c1fe21f69,
Grunt,FI,286c5486-7522-46a0-abf2-5a2eb1ece045,
Celestial Aeon Project,FI,f5336894-1f29-4051-aed0-d586aed1f4e0,
Juliet Jonesin Sydän,FI,168db15c-51e7-43a2-bc9a-1849a08c57ae,
Circle of Ouroborus,FI,3bdc4bf0-2bf2-44e9-ae9d-bed6ed4c6424,
Laura Voutilainen,FI,8b01cb99-95e6-4d21-a9f3-afa9570b5191,
Jouni Somero,FI,58144496-bc2b-4f84-a5f4-b94c1519c963,
Piirpauke,FI,90e9e2b4-b1b2-491f-84c7-df117edaa9f5,
Ne Luumäet,FI,30918db4-af34-4636-a365-e3ed52a6452c,
Tehosekoitin,FI,ad80a421-d1f6-4882-a749-c331751bd511,
Miljoonasade,FI,dc77f3d9-11cc-4643-b355-d334012a7a72,
Timo Parvela,FI,7464f1cd-4439-4acd-91cb-72c53cf1a64a,
Antti Sarpila Swing Band,FI,e978867d-e787-4a87-b36c-7c87ff1f16df,
Riistetyt,FI,5a88cd43-cf7b-415a-b6ba-aabeaf61ca2f,
Sielun Veljet,FI,89287e0a-9718-48d3-964b-d51c1a608b9e,
Finlanders,FI,531ee00f-0b6d-4547-9324-d415bc579cab,
Finntroll,FI,14962b84-c46a-490b-b6a0-ee69c78b2291,
Kingston Wall,FI,99614fa7-4747-43d1-a411-291cf92d7357,
Rotten Sound,FI,4d2949b4-eb5f-4296-b71a-04603c6a9802,
Tiina Nopola,FI,d086b1ae-692f-4ed7-b0dc-bb309913442e,
Pan Sonic,FI,52d9bff7-1776-46ae-8e1b-7a76afc73358,
YOTTO,FI,7355a02a-b14a-4719-aa09-477b1964b2a3,
Lackluster,FI,7e31d421-093d-464f-bc19-7df2b2473748,
Heikki Sarmanto,FI,aef767a2-2407-4160-8396-0eafbbe1c7a6,
Kotiteollisuus,FI,44f49e8d-125c-47d4-bab1-37a8a46c5eb9,
Vladislav Delay,FI,039cafb3-4f3d-44a9-b956-7705323f025b,
Anna Eriksson,FI,d73d2a8a-bead-4b49-b9ba-68d2f21c8776,
Riki Sorsa,FI,9b8b9a7a-57ee-418f-a924-2b4091300983,
Sinikka Nopola,FI,51b75e02-dfa8-4f0b-8f8a-e491eeee49f7,
Pedro Hietanen,FI,dc53b9a8-798a-4d4b-ba5d-5f0f422d2791,
Pepe Willberg,FI,2ab99816-4446-4629-ae1c-a3f0f84d02a6,
Lapinlahden Linnut,FI,f4993102-1439-4091-a8c6-07cdc9cc3387,
Negative,FI,c306d351-62e9-4d04-ab9f-7d7a07059e65,
Lea Laven,FI,193d0cbf-2071-4ae7-bbad-e06ce24be36a,
Freud Marx Engels & Jung,FI,3f68c1d0-8d3d-459f-bafa-e2784af15f1a,
Anne Mattila,FI,49214af5-8305-4817-acab-39aed7660986,
Veikko Ahvenainen,FI,4e7af3d2-36ae-4f0a-a073-de80b8721f2a,
Esa‐Pekka Salonen,FI,66b01c9c-3344-46b1-b5fe-cab3c2834e32,
Ahkerat Simpanssit,FI,bbbc9715-ecec-4a55-a15f-ab29c98f5ec1,
Aknestik,FI,4fcc9984-313c-47e3-a207-28dc6e9c10c4,
Swallow the Sun,FI,0f6df3f2-01f5-4d9a-a047-a76c907d7b66,
PMMP,FI,ac1dd50d-9f23-4c9a-8fc7-f2d6b03a5c5d,
Anna Hanski,FI,6d7eea24-7a2f-41b6-9a61-afe438168824,
Leif Segerstam,FI,321c8d9a-a787-44d8-9713-2e4bac2ddf0c,
Kake Randelin,FI,3d83628c-374f-4dcc-8e11-c676278e40f9,
Jori Hulkkonen,FI,255e16d4-f13b-49dd-8c4a-5ae2f864e22b,
Meiju Suvas,FI,489dd1ef-a9fb-4d89-bc89-b5583d25dd03,
Leningrad Cowboys,FI,bd872e2f-3dce-4932-b8dc-91cf949cfbb5,
Insomnium,FI,c1f8e226-75ea-4fe6-83ce-59c122bcbca4,
Erja Lyytinen,FI,b58cf0ab-c421-4628-8989-b4aa12e8ed76,
Paavo Kerosuo,FI,59c29a7e-40d6-481b-ab29-7c1a4a67b778,
Tarot,FI,0c235ae9-7e9d-428f-b0af-3fa8dbb20064,
Don Huonot,FI,90e8b39f-efa8-4b6d-b24e-c25bfe575328,
Brita Koivunen,FI,33e4b1c9-2b78-4508-87c8-b55044a981d8,
Juice Leskinen Grand Slam,FI,d87cd5c6-7bc4-4aee-92d6-cb4856623a66,
Irina,FI,8b95d10e-bc87-4aab-9404-39941f76bcb8,
Rattus,FI,088827e0-902f-47ee-b622-15fe7b0534cf,
Tenhi,FI,ae79e6ff-72ce-4877-a0dc-dc2a5c1ad407,
