name,country,mbid,youtube_channel
mSdoS,FJ,1953a33d-3849-4749-ad7f-77eddb1872d1,
Black Rose,FJ,2db1c425-3a4d-4b72-9268-bc789ba3cbfa,
Rosiloa,FJ,05106a7b-0679-4059-a4be-5a2983cb5879,
Mantis,FJ,06d18529-0dc0-4a7a-9648-6509bfc34b7b,
Laisa Vulakoro,FJ,89e560f4-7337-465b-b97e-463ab6dff5b5,
Lia Osborne,FJ,84b22d61-b844-4642-af69-8907ffcd730d,
Garden Island Resort Band,FJ,254f4bc4-b7f6-4c12-99f2-1edcea27df50,
Kabani,FJ,c7214cf8-b177-4d44-b08b-708baebce9cb,
Fiji Phoenix Choir,FJ,3818de4a-617c-48c3-b5f6-b1e3b80a7d61,
Vaseva Leweni,FJ,eda8d7a0-f4a6-4779-85e2-103e2dc5178e,
Semisi Rasivo,FJ,897ffc0b-8f90-4b7c-9fe3-d992205e5456,
Andi Thakambau,FJ,824f82a1-516f-47f6-bc80-300c2d092e6e,
Jasmine,FJ,a0d674fb-f9f5-4753-a0c7-b81ff5d16ec9,
Pasifika Voices Choir,FJ,226ee0a0-5253-47e9-86c8-2fdd38f05c40,
Vilisi Nuqa,FJ,6a5c80fb-ff8f-4162-930d-06ddee0d1604,
Paulini Sekikorolevu,FJ,270f5e54-4631-4a36-9ac6-b329ad05a478,
Paias Toʻomae,FJ,2736fdde-a153-4572-9dec-e59f547d61ca,
Eroni Vuetaki,FJ,a8edfd0f-f310-4c5c-9ffc-675df857c114,
Galisaya Vulaciri,FJ,1a60e40e-fa3e-4bd6-8fd9-e2ca6fbdec6b,
Peter Waqavonovono,FJ,5e26a3c6-2f14-440f-88e9-72ecb060d53f,
Emmanual Arania,FJ,3eea55f3-fe59-4614-91dd-d0fa34556916,
Matelita Bale,FJ,1d050f16-156b-4a88-8779-60e1ee87318a,
Jane Bautani,FJ,75edc9d8-bd81-4b66-8fee-2702990fbf73,
Ilisepeci Buinimasi,FJ,4ffdeef3-5a45-4ec2-9fe8-d381aebce1ed,
Eseta Cokanasiga,FJ,172d5312-ccfc-4a1c-aa80-ed16156d534a,
Josephine Dass,FJ,ea6aeac0-7b0c-4f05-a05e-f4ef16c19308,
Elijah Dau,FJ,e3d29d62-6ee2-46de-8fdd-59867ca1754d,
Lepani Delai,FJ,5654fd7e-58a5-40f2-9610-1fca6aa6e62b,
Elena Duri,FJ,5e60f137-cb48-432b-85d3-b342d95aca2d,
Dan John Fox,FJ,96500d02-c2c4-42c2-98f2-32eb8fcf043a,
Vic Levand,FJ,b93f0d79-8aa1-453f-bcf1-cfbb428b2359,
Ani Lewaniu,FJ,05cf48d8-6105-4b5d-92ec-816e44496c7c,
Maikali Lomata,FJ,fca2cb4b-e8d6-4f70-8f94-7e7eabdac725,
Roland McCaig,FJ,f8783391-fffc-445e-b706-9a6a6d46bbb7,
The RelatiV,FJ,cd98d402-367e-4471-9534-50d7240345c6,
VT1S,FJ,728e1d09-4c61-4e35-bc21-6687ee6eddd7,
Paradise Rootz,FJ,4de6e50d-d605-43e4-827e-cc5aa67461c7,
