name,country,mbid,youtube_channel
Eivør,FO,cdcc26ed-818f-4c95-b177-b56ac1410f8f,
Týr,FO,50fc4742-1389-45a0-8c6f-6a5159ae20c2,
Teitur,FO,dfef0f62-de5a-48e6-9546-29b26e907a6d,
200,FO,de916344-bf24-4fa3-bfff-659a2533d772,
Annika Hoydal,FO,e3bbe531-c3e9-48fe-a20a-8ed0bda03e9b,
Spælimenninir,FO,b60bfe80-8966-4f7d-a2c0-7aebee9c1efd,
Frændur,FO,0055869a-f5e5-4fdf-a91c-1d982cbdf876,
Kristian Blak,FO,229a5cfc-0935-4e6b-87e0-2edbf0a6158c,
Páll Finnur Páll,FO,e920f0de-bbbc-4da6-b53f-72fa23a6f392,
Rasmus Rasmussen,FO,c7a9f352-af32-4e97-ac7e-dc09517ffb28,
Enekk,FO,d25cdfa3-f8a7-497f-a747-5753f411e5b8,
Hanus G. Johansen,FO,205ff95d-452d-4a72-8837-b4b8ae1701ce,
Hamferð,FO,98e9584e-ace8-453e-8374-961584908f65,
Orka,FO,1a955974-a7f4-41f0-85fe-55aa15eea7a1,
Trølla Pætur,FO,5ba9f6ac-4973-4f10-b0d5-b9c0c0719cd5,
Guðrið Hansdóttir,FO,7832ec42-468d-4b68-9067-3647a8615156,
Greta Svabo Bech,FO,448ce1b7-4efc-4aca-b793-174745cc4e68,
Yggdrasil,FO,ed464836-9a6c-4a60-8fda-ef36cec67e73,
Petur Pólson,FO,d332ef52-93a5-43c6-930a-79af2565ce47,
Brandur Enni,FO,b8f8e73c-1548-478b-99e1-5080854546bd,
Robert Mc’Birnie,FO,567742c4-e1bf-4002-9e30-d5bd09b7c7f1,
Joe & The Shitboys,FO,af33d1d2-c90a-4ad6-8eaa-9039ad173f76,
Anfinn & Co.,FO,a53ba07d-5bea-4e98-8681-f1714282cbc8,
Makrel,FO,295ec7de-9d54-48ff-8c71-1d7d3406f0bb,
Vhernen,FO,8761866b-6be6-4ccc-8694-51a0e3995169,
Ævintýraferðin,FO,2578f2ee-b248-46c0-b68b-23423c9ca081,
Kári Leivsson,FO,9e44956e-87f8-43d3-8866-b0b47c584eaf,
Moirae,FO,5f88c20b-37ce-48af-8899-5b60ead5efc4,
Konni Kass,FO,2b0bebd3-c76a-424b-9d21-8c0105e052ad,
Steintór Rasmussen,FO,aa62cdf8-87fb-429f-b019-785eba4ac5fe,
Harkaliðið,FO,de54685f-e70a-4a4f-aa04-17fb9e32b1a9,
Jensina Olsen,FO,3f823b83-1dd7-459b-9739-d937d45c9793,
SIC,FO,59354f83-1b17-446f-aa0f-f6bf9622e04b,
Mold,FO,37b335b7-30e4-4edb-9b81-61116c6cdd4f,
Aldubáran,FO,7a555baf-37dd-482d-b1e0-b4bcb86fb348,
Benjamin,FO,5949eabb-ca9a-4068-ab8d-7abfb8b486fc,
Synarchy,FO,b7c4fd40-98a1-4510-b89f-27ec3b5325fd,
Salt,FO,f79f0e3e-0bd6-436a-88d5-399f2532200c,
Blátt Gras,FO,bd860abc-c53b-49a8-a71f-d88f02e5d49e,
Joka,FO,ce361715-51b6-4f5a-a268-50ffa53ff3cf,
Niels Midjord,FO,20b731f8-f146-4906-9817-95891706ed35,
Flytifólk,FO,a4fa086a-0803-4e7f-bfb7-6126bbdb2109,
Boys in a Band,FO,f3f5f2fb-354e-43cf-a184-a0380ee23d58,
Hallur Joensen,FO,cc44ed5b-b12b-4258-b1df-685906161870,
Dynamit,FO,d27e72c5-f52f-4027-a5f2-422ab3e43d22,
Skeyk,FO,23e4fc7d-4181-4ba9-a8bc-44ec81714bb5,
Kular Røtur,FO,69a631be-d68b-4436-ac9d-9d55d9d97d87,
Vágaverk,FO,67fa25e5-1403-43de-a9cf-5b95da3009c5,
MC-Hár,FO,254b2c7d-a3f3-444e-aaaf-0818f40f58d6,
Elin Heinesen,FO,c4de02aa-90b0-4599-aa6d-98013145c8a3,
Heðin Ziska Davidsen,FO,b561dbca-5f56-4fe3-a071-2ac241708ed5,
Safir,FO,afdecd5a-7d45-4f77-8c87-3146caec40ae,
Elin & Kári,FO,f0dea3e8-c400-46b3-9d32-7bcbd9fa48d1,
Goresquad,FO,e4db1e33-e9d7-4608-8040-e068bcbc97fc,
All That Rain,FO,e1e45e9d-f070-45b6-a966-7608c6d41e71,
Fuglafjarðar gentukór yngra,FO,acc1f031-84ea-4a68-bf1b-3a5159418514,
Paradox,FO,83e62797-4914-417b-96da-0125833133d4,
Kata,FO,2f835467-ba1e-4022-84e9-63b198224e7e,
Bendar Spónir,FO,5157a30e-2702-4d50-9e2e-f6ff0d44a5c7,
Mark No Limits,FO,a8cffa09-7879-426f-8997-dfd5c473d508,
Marius Ziska,FO,727ef6d6-5888-4daa-a069-0e0a490d562f,
Marius,FO,e7ec596c-e9b2-4bd0-8f16-4914c4f8ee0e,
Elinborg,FO,cf811cc5-db40-4507-9d05-ab6bf1a2ba6e,
Malan Eyðunsdóttir,FO,d2c73d41-5779-41f0-8de0-48dd25f311d0,
Jens Marni,FO,58aa4eb9-604c-4dab-a206-402a703ea6bc,
Høgni Lisberg,FO,827af6f0-a08f-45fb-96e4-e5dc2d57b81e,
Mjørkaborg,FO,9f2e33ad-065c-475d-99ea-d55f666e0664,
Stanley Samuelsen,FO,939f9c18-a9b8-4b8c-bf59-7ca1fcbcc461,
Eyðun Nolsøe,FO,09a97dcf-0dfd-44c0-978d-5129e4fb33e1,
Andras & Jonfinn,FO,bff0bd37-2316-4d5c-9e34-09addeba63f6,
Chase,FO,6bb1d6c2-9823-408c-a862-e805e9f01bd6,
Heljareyga,FO,7abe18cf-9054-436e-83a6-c7b17c711708,
Rosa á Rógvu,FO,f00d0332-7639-46f4-bb90-e9c7c8154599,
Ólavur Højgaard,FO,6d363478-79c1-47fa-bdf4-08f697922c95,
Aria,FO,4c54a0e2-2306-405b-8277-7b0f2d304a64,
Anna Faroe,FO,14da0a77-2080-4486-af19-02d611fbdf49,
Rólant Samuelsen,FO,374fdbf4-a424-4d6b-bf06-7e85f6060e3f,
Elin Mouritsen,FO,3be0c6e6-109b-4c0c-b15e-f00d05ab7592,
Elinbjørg Højgaard,FO,df3b2b20-5e1d-43ab-8747-bed0471dc263,
Eyðun Johannesen,FO,e8126693-7e62-436a-a295-fed992bcc926,
Erling Johannesen,FO,160703d6-f268-4024-a4db-3d4256541bdf,
Árni Johannesen,FO,771edecc-d7b2-4e9d-bed3-08ffb0efa98c,
JASMIN,FO,eac63cd3-22f3-4f8a-ba13-3852c8449880,
Simme & ljómlið,FO,0c4fe6b1-aadf-4138-b091-db54c103730d,
Terji & Føstufressar,FO,73df5b8c-dce4-4a34-b995-eda7a9eb9060,
Jóan Petur Sandoy,FO,dc7d4b1d-e86e-4bfe-b87c-a8feafe1e01e,
Hans Dalsgaard,FO,2aef04b3-c322-4e73-a587-9fc27da8c2e6,
Dagstovnurin á Argjum,FO,f0ae2f65-39b2-48aa-8eae-4f3352a3e497,
Sigrid Simonsen,FO,344df86a-8cb0-4203-afb0-1211b9befb98,
Ungdómsdeildin á Føroya Barnaheimi,FO,210b850c-aeec-44d5-a453-9a66b8a3ccc2,
Guðrun & Bartal,FO,7cc6f439-a688-494d-895a-2abfdf3077e9,
Laila Av Reyni,FO,543a5a16-8ff9-4cc3-b773-218e64763c70,
Knút Háberg Eysturstein,FO,e9e16a92-35ac-43dc-8d3e-51bb0f467cc4,
Tinganest,FO,0bf31a2a-34e1-41b7-8c35-5ec16ccef86b,
Nicolina av Kamarinum,FO,73b71b69-800c-4681-b436-6c2dfddda1ac,
Høgni Reistrup,FO,82b60fbd-d10d-4639-8c8e-f2cd4cf4c5b3,
Clickhaze,FO,eebbe8f7-b9c8-45a2-957c-e32b1fd84780,
Árni & Marnar,FO,7daaf42a-6ca4-40e9-a8b7-56c2ce483f34,
Hatursvart,FO,8ba2acdc-f2bc-40f9-8534-b7c7bca646a5,
Jakobina Hansen,FO,d15c1cb3-a304-4474-b0c4-025ff8d4584a,
Jóhannus á Rógvu Joensen,FO,ab9e0e66-77d4-4ead-81f4-5064fb3fb91f,
Poppkorn,FO,ffcfa43a-f68e-4bd0-b6a2-cd5c0b4a656c,
Søguskrínið,FO,2a6454c5-0ed4-47dc-a7ff-b9fb7ffdf66e,
Lort í býin,FO,d04b69ef-bbf3-4aa3-901b-51e601b3192a,
Jóannes Jakobsen,FO,63a23e3f-68b4-4e30-ab65-bc0286df2059,
Byrta,FO,b11383a0-0392-42a0-ba96-5f7d05302916,
Anna Nielsen,FO,9e0f0568-31a0-4125-97c6-7df84785d032,
Danny & the Veetos,FO,06c777a2-0c44-475a-86b0-f3738bd9ba89,
M'as Blues Band,FO,d9de1429-89b4-4427-881e-b22728757b8f,
Nicolina Højgaard,FO,2bb169e1-f224-4ad1-a4d6-00b0f58b435e,
Jógvan Tróndarson,FO,2e4d2fd5-a0ae-44e2-b130-8737bc8884d1,
Sigmund Danielsen,FO,f80958c7-0d71-44dc-8167-1d109bd3b768,
Meyla & Molarnir,FO,22a5f341-632a-4f88-b2ca-214727073723,
Kristina Bærendsen,FO,c1696901-28bc-40f6-bf59-cac77806dcc3,
Eystanljóð,FO,5ad62d50-339a-4ea6-b4a2-a09730a5ed6c,
Rúni Brattaberg,FO,4a2b1c30-a678-4091-84da-b1dc055df194,
Sunleif Rasmussen,FO,327320a4-b6d2-4aa3-a968-fccfe32752ab,
Feðgar,FO,aff53f9f-672c-4395-afa3-81f071bf0aeb,
Hamradun,FO,95c12a89-a483-4be1-b746-de7682bdc3c5,
Reiley,FO,69d84209-f455-40bd-b300-9f02f7a05e02,
Punjab,FO,faec693d-f26a-4e45-93e5-86424a47e48b,
Bjørg Poulsen,FO,7cf437a0-7081-467c-a5e3-7f4c0486a4a3,
Axel Tórgarð,FO,f25041b8-2bd3-4003-8a74-251c8b34cc53,
Flux,FO,5acf5972-da8d-411b-9497-250b87d22caf,
Sámal Ravnfjall,FO,b2037f8c-c319-4c2d-b15c-dfe3280d2236,
Jóan Jakku Guttesen,FO,fbdc61b9-0579-443e-b932-2025e38a66ad,
Braquet,FO,abb6bdde-d08a-401f-b134-e38bb120774b,
Tamara,FO,06667b2c-3b74-4392-aca0-cb27b617f232,
Svartmálm,FO,3d03134d-db2c-461f-b7de-dba3850664a3,
Elin og Óli,FO,7113e1d7-4e21-4e6e-9a49-04eea21be6fb,
Blue Coat Brass Band,FO,ebae5a66-77ca-419b-bba3-15d797371b5b,
Jens Mortan Mortensen,FO,59863f18-033c-4f31-970b-9015ad33e312,
Turið,FO,1ba18961-647e-4be8-bc26-4998ee84d660,
Deyðin,FO,7bafbd6a-ce46-4f9e-8e39-a48e9ab599cb,
Zink,FO,20d3180e-bc33-452f-8c51-91e83f749401,
Henny Nikala Davidsen,FO,cf0e9819-5130-4344-9c31-a0569618546a,
Tangz,FO,b59e4924-bdcb-47f5-810f-848266aeefca,
Karl Martin Samuelsen,FO,cbab153f-4844-422c-bd5a-80ff9b1ae1be,
Wilhelmina Larsen,FO,68bce311-0799-441e-91b6-750a6b615490,
Jóhanna Maria Skylv Hansen,FO,46bc758e-3daf-41c4-8d5d-60ba8dcef06c,
Kristina Bolstad,FO,63f73bbe-7061-47ce-99e3-fe2116a96edc,
Nóatón,FO,bbfa401b-98a3-4479-9fb2-54ad19e1f000,
Lokum,FO,caeb2a5f-b675-4982-9133-bd3172203a8e,
Elisabeth Jacobsen,FO,a79d9ad5-d903-465d-a614-6932ec2b2e4a,
Kirstin Henriksen,FO,c81a9058-1e86-4632-886a-8ea0606093be,
Kim Hansen,FO,de8fa8c4-973a-47f6-9855-ec95574ccaad,
Vanja Justinussen,FO,28c3988f-2c7c-4f01-b05e-27b80515c9f3,
Mary-Ann Isaksen,FO,86763b6f-c847-450c-8857-a7d055b07706,
Benjamin Gaasedal,FO,1ea92aad-5a8d-47f8-bfd1-2b7593d29c64,
Kári K. Mouritsen,FO,890e169e-a9c7-4967-a5bb-9cd922931183,
Kristel Lisberg,FO,29084eb9-2a84-4e18-bdd1-f23103596bdc,
Hans Jacob Højgaard,FO,6670004b-1623-4618-8340-0b831f257708,
Plúmm,FO,bd30eb48-9ce3-4890-9930-f4fb48353bf3,
Leifur Tróndarson,FO,1270c144-69e7-4f21-bf9b-e024fdf2df09,
Bjarni Mohr,FO,338f44ca-65b6-4b44-9b5c-007ae8a7b177,
Jógvan Waagstein,FO,73a8357b-8f6c-44b8-a6ff-2c5a364cee32,
48 Pages,FO,e099cf5f-e84b-40ae-a3eb-5b0ea3140564,
Guðrun Pætursdóttir Háberg,FO,9b435cb8-9a97-4f3d-8910-bf1fb086614a,
I Am,FO,31dbc93d-e0a6-420c-8e2b-adc98a423876,
Sámal Petur Hansen,FO,6ce79906-cac9-4a5c-bcf2-bb6626750d65,
Súsanna Katrina Samuelsen,FO,5a9b392d-2846-439a-a325-957d6aaa082e,
Zacharias Jakobsen,FO,24b39a12-356e-413e-83ac-1555eb32cd2e,
Jakob Heinesen,FO,7efc4ca2-7f1d-4309-bc73-2aa077fa2dad,
Jacob Petur Symphor,FO,5a83de5d-b911-4764-962f-8f63e6c7fcf9,
Albert Djurhuus,FO,238eb02e-6cae-41cc-90c5-8e6e4e8ab6be,
Marianna Jacobsen,FO,2f7c4116-2910-47dd-8c79-3d6516a3bbd8,
Magni Christiansen,FO,6ef689cd-632a-4772-94dc-7e0862305b85,
Róðin S. Nielsen,FO,da2c5c1a-ea25-40bd-b073-1a31caa976b5,
Beinta Zachariassen,FO,ea36ee4d-e075-40cd-8419-ec0a05a7b076,
Maria Eide Petersen,FO,dccefeb0-b767-44d0-ad69-42819699674b,
Guðrun Sólja Jacobsen,FO,4a2f963c-a51f-4c2f-a096-758e7327ad2a,
Dávur Emil Samuelsen,FO,8f8b05dd-7b65-4bd5-817b-d544cd2dfda8,
Heri Joensen,FO,a372b76c-08dc-4cd7-b7f3-c336f86966bb,
Rake Wickman,FO,87b15c61-332a-4615-ae5e-0b41ece2610f,
Ívar Bærentsen,FO,836ebc6b-2529-460a-9e02-c26d42aecc5a,
Diatribes,FO,f7e50a19-103f-44f9-9ca0-2faa2d2510af,
Jákup Berg,FO,a07791b7-c425-464a-94b7-0939c6433522,
William Kornus Jóanersarson,FO,1f72e491-81cf-4523-b4fe-2b0bc9e8a2e1,
Maria Danielsen,FO,26b1d58f-f632-4c8a-a74b-d3423c185d7a,
Anna Klett,FO,b8007512-10d0-4f2d-a01b-52b2c11b6030,
Elisabeth Hansen,FO,886634c1-f759-46a0-a1ac-6d6b83653708,
Louisa Jensen,FO,003d273c-d79e-42ac-af85-7edcf73c2234,
FRUM,FO,2e881c45-1715-48c1-a248-88cddf69f9fc,
Frostfeld,FO,d7515522-dcef-4878-a3da-d3df39a38ba3,
Magnus,FO,8bd29fe8-11ef-4bfd-8725-9a1742a09b2a,
Fiddling Faroes,FO,081aa267-c15b-4226-a248-65f2ee482b9a,
Haldurs Café,FO,1363840e-b8e1-4e14-9205-a6daa2f4f90d,
Tarira,FO,a42bea4e-b52d-468c-a23e-2167471b0e1d,
Fredo,FO,de67fa7b-9910-4a52-aaea-ccf5064d3faf,
Havnar Dansifelag,FO,c27a5de8-8b43-4fee-a848-8b094c40cd5b,
Faroe 5,FO,01462dcc-7807-4a02-b61c-2e644d2b0a56,
Carlsen,FO,37891938-625e-4308-a02b-8de5f92898f4,
Crawling Blue,FO,a0b57670-6acd-4384-af2e-7588827dd5ac,
Finnur Jensen,FO,0befb2da-28a9-4364-bf16-a27ea7cb9e05,
Fróði,FO,0f58eaec-810a-4808-96eb-035085caf86a,
Uni Arge,FO,78f64efa-ab1b-4959-8ed8-d6cc8228dccd,
