name,country,mbid,youtube_channel
Claude Debussy,FR,be50643c-0377-4968-b48c-47e06b2e2a3b,
Maurice Ravel,FR,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,
Django Reinhardt,FR,650bf385-6f6d-4992-a3b9-779d144920a4,
Johnny Hallyday,FR,323ed974-8bf6-4f54-9525-b774a659f805,
Georges Bizet,FR,9bd20e6a-b41d-4983-a5b6-c0ff849fa235,
Erik Satie,FR,e1d521ea-5b97-4981-987c-ba988b2a87d7,
Camille Saint‐Saëns,FR,4137c070-15b2-4d00-a9f0-3517d02a9ba8,
Édith Piaf,FR,4f8ef4a3-40fa-46b5-8773-97686a8424f4,
Jean‐Philippe Rameau,FR,b29a3b55-785c-4072-9daf-0153cac864b6,
Jean C. Roché,FR,31e7bab6-66ce-4aa5-87f0-0333c4b6c5d2,
Mireille Mathieu,FR,0c321fba-7d1d-4d48-b99a-1e4811970d26,
Hector Berlioz,FR,274774a7-1cde-486a-bc3d-375ec54d552d,
Vladimir Cosma,FR,5dfa70d0-d170-4b5d-a901-e6c2edc96dd1,
Gabriel Fauré,FR,fa19a8b6-e7f4-40d4-af15-7a7c41ac7d8f,
Francis Poulenc,FR,5e1ef22b-310a-46ad-885b-4897b8c9c85a,
Charles Aznavour,FR,5f264b87-d5f6-487d-aa3e-ae4c5f0c6fc9,
François Couperin,FR,86523090-6085-42c1-80b7-772f1bc80472,
Mylène Farmer,FR,18b23026-ed29-445a-9bb4-4e86598ab5a9,
Richard Clayderman,FR,0baceb7b-6237-48c4-9550-3a02e9a71f44,
Serge Gainsbourg,FR,b21ef19b-c6aa-4775-90d3-3cc3e067ce6d,
Léo Ferré,FR,15b1cbac-060a-4136-9e07-4622c52c0f60,
Stéphane Grappelli,FR,bfc03211-a3a2-4700-8fa3-00968c02c5d0,
Georges Brassens,FR,b58165ba-ac55-49a1-8855-caf16c68f5f2,
Georges Delerue,FR,3e46f4da-eee2-455f-bb72-9ca83887e9e4,
Jean‐Michel Jarre,FR,86e2e2ad-6d1b-44fd-9463-b6683718a1cc,
Paul Mauriat,FR,87496c04-c857-4bd5-b86b-345129a1be63,
