name,country,mbid,youtube_channel
Pierre Akendengué,GA,a9db5ff3-1561-4e1f-aa83-8eb04f7275eb,
Oliver N’Goma,GA,6e72a62b-2098-4d8c-9feb-b8f4c23a4a7d,
Annie-Flore Batchiellilys,GA,28dd3d75-7101-4fc0-9059-191ff63e714c,
Patience Dabany,GA,2836910a-958c-49c3-8d57-ac51bbb383a4,
François N’Gwa,GA,e581548f-aaa1-4655-8cf1-81be57884284,
Orchestre Massako,GA,183dce67-9281-4690-86f4-8332345dc6a0,
Arielle T.,GA,fb86c1b8-da02-4317-8d15-c73be1a5a255,
Beez,GA,9c74b00d-d7f4-40f9-9281-5a2e5162211c,
Damas,GA,a91c3dc9-7a51-4231-ab45-1c1c457a0420,
Ali Bongo,GA,363ec95c-38b2-4387-bceb-e265601527ac,
Vicky R,GA,5e3108b4-2935-44b0-aafb-ec367c8d6e4c,
Mvomo Asumu Andre,GA,6d76e643-7b9f-448e-86cd-07568fc5f1b0,
Orchestre International Akweza de Libreville,GA,ce899a33-8e66-45e6-bda2-7f2c37da0a9d,
T8ddy,GA,b2a56bb4-f8f1-40f1-a3d4-709757d7d4cd,
Delasso,GA,2b0ddc6b-ddcb-4fce-94e6-a8a600b0ff24,
Ele Amana Michel,GA,507488df-cbbb-4c63-86f3-7dd51c713fd3,
Angélique Onanga,GA,92ec356a-3215-490a-baf6-84a6b615b8a5,
Claudine Ziza,GA,55c0bc4b-19f4-4369-9934-b1345bd53ff3,
Augustine Mborou,GA,8b0b70ad-414c-4c41-9f84-9f57c4d51575,
Darenn Mbadinga,GA,d51e6149-5fcc-40f3-ac15-256751893a06,
Hilarion Nguema,GA,3293886a-af9f-41e6-9a66-e833ddfe2710,
Essono Ona Pastor,GA,a9938308-f706-4ee1-9bf9-8f2e954076f5,
Ngema Amana Ivindja,GA,0a427d3f-56a4-42cf-9c35-0323b4ce8150,
Metogo Zogo Vincent,GA,31ec0df8-c9ec-4cc9-9bd6-384298b1b28e,
Bernadette Ngowa,GA,960ec020-fba5-49cb-ab3c-b0deeb0f345c,
SSOLOGOD,GA,4a12d29b-63d0-43b0-987c-f85f26cf22bf,
Léontine Mboumba,GA,a100d27e-5294-4550-8b8e-2e511e120f9c,
Movaizhaleine,GA,964b7056-a365-4ca4-963d-37134a9a5906,
Patrice Mboumba,GA,0dad4d9e-4bbe-474c-9e2e-25b10f6fe0ca,
Akwé Obiang,GA,d621888f-6f37-41ea-87f7-37464d9e2f6d,
Barthélémy Tchandi,GA,ad113cd2-c77e-426e-9d3b-c69357ad6fa3,
Bernadette Etombi,GA,61b2f9a1-e24b-40c4-b420-d0bc6e9019bc,
Tris,GA,31854a71-7169-466c-b105-0ee4fbe0c3b9,
MC Essone,GA,a6c45431-e5a1-4523-92a7-d58eeff0ce2d,
RodZeng,GA,3572eb90-238c-4023-9e3e-452da374e69a,
Dikundu,GA,d3917c59-cfba-4c46-a0b3-21ed9c9f05cd,
Georges Aleka Damas,GA,89790145-8d9a-4a5b-b311-ed96866937ab,
Lord Ekomy Ndong,GA,4094d252-3712-4514-8da8-1cf2a4db09fb,
Marie-Augustine Nganga,GA,99a18ba7-db58-464c-8139-e8f92f4b68d4,
Christine Ngwéré,GA,bc97c53b-f0e4-41bc-a96f-884255519587,
Priscilla Ngwanga,GA,50c58eed-2ce4-4c09-8a37-a1f42e346fab,
Jean-Christian Makaya,GA,10d9885c-3d30-4173-9d1b-a0502ccfdc55,
Marcel Djabioh,GA,caa4cd2b-f4dd-4c4e-a1af-d7481667c25f,
Duty Christ,GA,28d08221-884d-4343-95c0-99135718b579,
Ba'Ponga,GA,ca3760d8-c81d-4dff-abcb-fa0a52b3cf31,
Bikok T. Pierre,GA,60049a94-a65b-4d60-b556-5dd51801332f,
petit Loïck,GA,207a4e37-a565-42bb-8c8d-e73b1e0510be,
Tita Nzebi,GA,679f1563-2da9-42d2-9961-8ba60cfb1601,
