name,country,mbid,youtube_channel
The Beatles,GB,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
The Rolling Stones,GB,b071f9fa-14b0-4217-8e97-eb41da73f598,
George Frideric Handel,GB,27870d47-bb98-42d1-bf2b-c7e972e6befc,
J. K. Rowling,GB,569c0d90-28dd-413b-83e4-aaa7c27e667b,
Led Zeppelin,GB,678d88b2-87b0-403b-b63d-5da7465aecc3,
Stephen Fry,GB,fad46635-5d90-484e-bcf9-5a8e3c1f8830,
Queen,GB,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,
Radiohead,GB,a74b1b7f-71a5-4011-9441-d0b5e4122711,
Depeche Mode,GB,8538e728-ca0b-4321-b7e5-cff6565dd4c0,
Enid Blyton,GB,8060e859-1f5d-4912-a998-9f7aacc0d448,
Eric Clapton,GB,618b6900-0618-4f1e-b835-bccb17f84294,
Elton John,GB,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,
Sir Arthur Conan Doyle,GB,0568c60f-9852-4708-82ab-1afb8bb1342f,
Genesis,GB,8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,
The Who,GB,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,
The Cure,GB,69ee3720-a7cb-4402-b48d-a02c366f2bcf,
Deep Purple,GB,79491354-3d83-40e3-9d8e-7592d58d790a,
John Lennon,GB,4d5447d7-c61c-4120-ba1b-d7f471d385b9,
Marillion,GB,1932f5b6-0b7b-4050-b1df-833ca89e5f44,
The Kinks,GB,17b53d9f-5c63-4a09-a593-dde4608e0db9,
J.R.R. Tolkien,GB,97f3efea-558f-4137-9e4c-8a2fcec3c2d4,
Benjamin Britten,GB,49ae5227-605a-47a8-9b8e-cd89bf01a97c,
Paul McCartney,GB,ba550d0e-adac-4864-b88b-407cab5e76af,
Fleetwood Mac,GB,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,
Hawkwind,GB,5a28f8c2-31fb-4047-ae57-c5c326989262,
